source_table,constraint,source_column,target_table,target_column
Products,Products_stock_move_line_id_fkey,stock_move_line_id,stock_move_line,id
Products,Products_stock_package_destination_id_fkey,stock_package_destination_id,stock_package_destination,id
account_account_account_asset_rel,account_account_account_asset_rel_account_account_id_fkey,account_account_id,account_account,id
account_account_account_asset_rel,account_account_account_asset_rel_account_asset_id_fkey,account_asset_id,account_asset,id
account_account_account_auto_reconcile_wizard_rel,account_account_account_auto__account_auto_reconcile_wizar_fkey,account_auto_reconcile_wizard_id,account_auto_reconcile_wizard,id
account_account_account_auto_reconcile_wizard_rel,account_account_account_auto_reconcile__account_account_id_fkey,account_account_id,account_account,id
account_account_account_import_summary_rel,account_account_account_import_s_account_import_summary_id_fkey,account_import_summary_id,account_import_summary,id
account_account_account_import_summary_rel,account_account_account_import_summary__account_account_id_fkey,account_account_id,account_account,id
account_account_account_merge_wizard_rel,account_account_account_merge_wiza_account_merge_wizard_id_fkey,account_merge_wizard_id,account_merge_wizard,id
account_account_account_merge_wizard_rel,account_account_account_merge_wizard_re_account_account_id_fkey,account_account_id,account_account,id
account_account,account_account_account_stock_expense_id_fkey,account_stock_expense_id,account_account,id
account_account,account_account_account_stock_variation_id_fkey,account_stock_variation_id,account_account,id
account_account_account_tag,account_account_account_tag_account_account_id_fkey,account_account_id,account_account,id
account_account_account_tag,account_account_account_tag_account_account_tag_id_fkey,account_account_tag_id,account_account_tag,id
account_account,account_account_create_uid_fkey,create_uid,res_users,id
account_account_create_withholding_tax_cert_rel,account_account_create_withho_create_withholding_tax_cert__fkey,create_withholding_tax_cert_id,create_withholding_tax_cert,id
account_account_create_withholding_tax_cert_rel,account_account_create_withholding_tax__account_account_id_fkey,account_account_id,account_account,id
account_account,account_account_currency_id_fkey,currency_id,res_currency,id
account_account_exclude_res_currency_provision,account_account_exclude_res_currency_pr_account_account_id_fkey,account_account_id,account_account,id
account_account_exclude_res_currency_provision,account_account_exclude_res_currency_provi_res_currency_id_fkey,res_currency_id,res_currency,id
account_account,account_account_fiscal_category_id_fkey,fiscal_category_id,account_fiscal_category,id
account_account_fiscal_rate,account_account_fiscal_rate_company_id_fkey,company_id,res_company,id
account_account_fiscal_rate,account_account_fiscal_rate_create_uid_fkey,create_uid,res_users,id
account_account_fiscal_rate,account_account_fiscal_rate_related_account_id_fkey,related_account_id,account_account,id
account_account_fiscal_rate,account_account_fiscal_rate_write_uid_fkey,write_uid,res_users,id
account_account_res_company_rel,account_account_res_company_rel_account_account_id_fkey,account_account_id,account_account,id
account_account_res_company_rel,account_account_res_company_rel_res_company_id_fkey,res_company_id,res_company,id
account_account_tag_account_move_line_rel,account_account_tag_account_move_li_account_account_tag_id_fkey,account_account_tag_id,account_account_tag,id
account_account_tag_account_move_line_rel,account_account_tag_account_move_line_account_move_line_id_fkey,account_move_line_id,account_move_line,id
account_account_tag_account_tax_repartition_line_rel,account_account_tag_account_t_account_tax_repartition_line_fkey,account_tax_repartition_line_id,account_tax_repartition_line,id
account_account_tag_account_tax_repartition_line_rel,account_account_tag_account_tax_rep_account_account_tag_id_fkey,account_account_tag_id,account_account_tag,id
account_account_tag_account_withholding_tax_rel,account_account_tag_account_wit_account_withholding_tax_id_fkey,account_withholding_tax_id,account_withholding_tax,id
account_account_tag_account_withholding_tax_rel,account_account_tag_account_withhol_account_account_tag_id_fkey,account_account_tag_id,account_account_tag,id
account_account_tag,account_account_tag_country_id_fkey,country_id,res_country,id
account_account_tag,account_account_tag_create_uid_fkey,create_uid,res_users,id
account_account_tag_product_template_rel,account_account_tag_product_templat_account_account_tag_id_fkey,account_account_tag_id,account_account_tag,id
account_account_tag_product_template_rel,account_account_tag_product_template_r_product_template_id_fkey,product_template_id,product_template,id
account_account_tag,account_account_tag_write_uid_fkey,write_uid,res_users,id
account_account_tax_default_rel,account_account_tax_default_rel_account_id_fkey,account_id,account_account,id
account_account_tax_default_rel,account_account_tax_default_rel_tax_id_fkey,tax_id,account_tax,id
account_account,account_account_write_uid_fkey,write_uid,res_users,id
account_accrued_orders_wizard,account_accrued_orders_wizard_account_id_fkey,account_id,account_account,id
account_accrued_orders_wizard,account_accrued_orders_wizard_company_id_fkey,company_id,res_company,id
account_accrued_orders_wizard,account_accrued_orders_wizard_create_uid_fkey,create_uid,res_users,id
account_accrued_orders_wizard,account_accrued_orders_wizard_currency_id_fkey,currency_id,res_currency,id
account_accrued_orders_wizard,account_accrued_orders_wizard_journal_id_fkey,journal_id,account_journal,id
