module,table_count,outgoing_fk,incoming_fk,sample_tables
AI_Knowledge,22,64,22,"ai_agent, ai_agent_ai_topic_rel, ai_agent_source, ai_composer, ai_composer_ir_model_rel, ai_documents_sort, ai_documents_sort_ir_act_server_rel, ai_embedding, ai_prompt_button, ai_tool_ids_rel, ai_topic, ai_topic_ir_act_server_rel, chatbot_message, chatbot_script, chatbot_script_answer, chatbot_script_answer_chatbot_script_step_rel, chatbot_script_step, chatbot_script_step_im_livechat_expertise_rel, digest_digest, digest_digest_res_users_rel"
Accounting_Finance,178,702,396,"account_account, account_account_account_asset_rel, account_account_account_auto_reconcile_wizard_rel, account_account_account_import_summary_rel, account_account_account_merge_wizard_rel, account_account_account_tag, account_account_create_withholding_tax_cert_rel, account_account_exclude_res_currency_provision, account_account_fiscal_rate, account_account_res_company_rel, account_account_tag, account_account_tag_account_move_line_rel, account_account_tag_account_tax_repartition_line_rel, account_account_tag_account_withholding_tax_rel, account_account_tag_product_template_rel, account_account_tax_default_rel, account_accrued_orders_wizard, account_analytic_account, account_analytic_account_mrp_bom_rel, account_analytic_account_mrp_production_rel"
HR_Payroll,179,694,353,"hr_applicant, hr_applicant_category, hr_applicant_category_hr_talent_pool_rel, hr_applicant_category_talent_pool_add_applicants_rel, hr_applicant_hr_applicant_category_rel, hr_applicant_hr_recruitment_sign_document_wizard_rel, hr_applicant_hr_skill_rel, hr_applicant_hr_talent_pool_rel, hr_applicant_job_add_applicants_rel, hr_applicant_refuse_reason, hr_applicant_res_users_interviewers_rel, hr_applicant_skill, hr_applicant_talent_pool_add_applicants_rel, hr_appraisal, hr_appraisal_campaign_wizard, hr_appraisal_goal, hr_appraisal_goal_hr_appraisal_goal_tag_rel, hr_appraisal_goal_hr_appraisal_skill_rel, hr_appraisal_goal_hr_department_rel, hr_appraisal_goal_hr_employee_manager_rel"
Inventory_Purchase,169,739,495,"delivery_carrier, delivery_carrier_country_rel, delivery_carrier_state_rel, delivery_price_rule, delivery_zip_prefix, delivery_zip_prefix_rel, product_accessory_rel, product_alternative_rel, product_attr_exclusion_value_ids_rel, product_attribute, product_attribute_category, product_attribute_custom_value, product_attribute_product_template_rel, product_attribute_value, product_attribute_value_product_template_attribute_line_rel, product_category, product_category_quality_point_rel, product_category_stock_picking_type_rel, product_combo, product_combo_item"
Manufacturing_Maintenance,109,470,212,"fleet_disallowed_expenses_rate, fleet_service_type, fleet_service_type_fleet_vehicle_log_contract_rel, fleet_vehicle, fleet_vehicle_assignation_log, fleet_vehicle_fleet_vehicle_send_mail_rel, fleet_vehicle_log_contract, fleet_vehicle_log_services, fleet_vehicle_mail_compose_message_ir_attachments_rel, fleet_vehicle_model, fleet_vehicle_model_brand, fleet_vehicle_model_category, fleet_vehicle_model_vendors, fleet_vehicle_odometer, fleet_vehicle_send_mail, fleet_vehicle_state, fleet_vehicle_tag, fleet_vehicle_vehicle_tag_rel, maintenance_equipment, maintenance_equipment_category"
Odoo_Core_Technical,210,725,2893,"auth_passkey_key, auth_passkey_key_create, auth_totp_device, auth_totp_rate_limit_log, auth_totp_wizard, barcode_nomenclature, barcode_rule, base_automation, base_automation_ir_model_fields_rel, base_automation_onchange_fields_rel, base_document_layout, base_enable_profiling_wizard, base_geo_provider, base_import_import, base_import_mapping, base_import_module, base_language_export, base_language_import, base_language_install, base_language_install_website_rel"
Other_Unclassified,293,887,268,"Products, activity_attachment_rel, add_iot_box, adjusting_entries__account_move, applicant_get_refuse_reason, applicant_get_refuse_reason_duplicate_applicants_rel, applicant_get_refuse_reason_hr_applicant_rel, applicant_get_refuse_reason_ir_attachment_rel, applicant_send_mail, applicant_send_mail_hr_applicant_rel, applicant_send_mail_ir_attachment_rel, appraisal_ask_feedback, appraisal_ask_feedback_hr_employee_rel, appraisal_manager_rel, appraisal_select_survey, appraisal_select_survey_survey_user_input_rel, approval_rule_users_to_notify_rel, asset_modify, asset_move_line_rel, auto_gen_job_type_cancel_wizard"
Project_Service,120,419,236,"appointment_answer, appointment_answer_input, appointment_booking_line, appointment_invite, appointment_invite_appointment_resource_rel, appointment_invite_appointment_type_rel, appointment_invite_res_users_rel, appointment_manage_leaves, appointment_manage_leaves_appointment_resource_rel, appointment_question, appointment_resource, appointment_resource_appointment_slot_rel, appointment_resource_linked_appointment_resource, appointment_slot, appointment_slot_res_users_rel, appointment_type, appointment_type_appointment_question_rel, appointment_type_appointment_resource_rel, appointment_type_calendar_alarm_rel, appointment_type_country_rel"
Sales_CRM,60,231,145,"crm_convert_lead_mass_lead_rel, crm_iap_lead_helpers, crm_iap_lead_industry, crm_iap_lead_industry_crm_iap_lead_mining_request_rel, crm_iap_lead_mining_request, crm_iap_lead_mining_request_crm_iap_lead_role_rel, crm_iap_lead_mining_request_crm_tag_rel, crm_iap_lead_mining_request_res_country_rel, crm_iap_lead_mining_request_res_country_state_rel, crm_iap_lead_role, crm_iap_lead_seniority, crm_lead, crm_lead2opportunity_partner, crm_lead2opportunity_partner_mass, crm_lead2opportunity_partner_mass_res_users_rel, crm_lead_convert2ticket, crm_lead_crm_lead2opportunity_partner_mass_rel, crm_lead_crm_lead2opportunity_partner_rel, crm_lead_crm_lead_lost_rel, crm_lead_lost"
Website_eCommerce,55,210,121,"im_livechat_channel, im_livechat_channel_country_rel, im_livechat_channel_im_user, im_livechat_channel_member_history, im_livechat_channel_member_history_discuss_channel_agent_rel, im_livechat_channel_member_history_discuss_channel_bot_rel, im_livechat_channel_member_history_discuss_channel_customer_rel, im_livechat_channel_member_history_im_livechat_expertise_rel, im_livechat_channel_rule, im_livechat_conversation_tag, im_livechat_expertise, im_livechat_expertise_res_users_settings_rel, slide_answer, slide_channel, slide_channel_invite, slide_channel_partner, slide_channel_prerequisite_slide_channel_rel, slide_channel_tag, slide_channel_tag_group, slide_channel_tag_rel"
