category,table,column,type
PII_Contact,account_account,name,jsonb NOT NULL
Communication_Content,account_account,description,jsonb
Communication_Content,account_account,note,text
PII_Contact,account_account_create_withholding_tax_cert_rel,create_withholding_tax_cert_id,integer CONSTRAINT account_account_create_with_create_withholding_tax_cer_not_null NOT NULL
PII_Contact,account_account_tag,name,jsonb NOT NULL
PII_Contact,account_account_tag_account_tax_repartition_line_rel,account_tax_repartition_line_id,integer CONSTRAINT account_account_tag_account_account_tax_repartition_li_not_null NOT NULL
PII_Contact,account_account_tag_account_withholding_tax_rel,account_withholding_tax_id,integer CONSTRAINT account_account_tag_account_account_withholding_tax_id_not_null NOT NULL
PII_Contact,account_account_tax_default_rel,tax_id,integer NOT NULL
Financial_Bank,account_accrued_orders_wizard,amount,numeric
PII_Contact,account_analytic_account,name,jsonb NOT NULL
PII_Contact,account_analytic_line,name,character varying NOT NULL
Financial_Bank,account_analytic_line,amount,numeric NOT NULL
Financial_Bank,account_analytic_line,unit_amount,double precision
HR_Private,account_analytic_line,employee_id,integer
HR_Private,account_analytic_line_calendar_employee,employee_id,integer
PII_Contact,account_analytic_plan,complete_name,character varying
PII_Contact,account_analytic_plan,name,jsonb NOT NULL
Communication_Content,account_analytic_plan,description,text
PII_Contact,account_asset,name,character varying NOT NULL
PII_Contact,account_asset,non_deductible_tax_value,numeric
Financial_Bank,account_asset,already_depreciated_amount_import,numeric
PII_Contact,account_asset,name_asset,integer
PII_Contact,account_asset_group,name,character varying
Financial_Bank,account_automatic_entry_wizard,total_amount,numeric
PII_Contact,account_bank_statement,name,character varying
Financial_Bank,account_bank_statement,balance_start,numeric
Financial_Bank,account_bank_statement,balance_end,numeric
Financial_Bank,account_bank_statement,balance_end_real,numeric
Communication_Content,account_bank_statement,message_main_attachment_id,integer
Financial_Bank,account_bank_statement_ir_attachment_rel,account_bank_statement_id,integer CONSTRAINT account_bank_statement_ir_at_account_bank_statement_id_not_null NOT NULL
Financial_Bank,account_bank_statement_line,account_number,character varying
PII_Contact,account_bank_statement_line,partner_name,character varying
Financial_Bank,account_bank_statement_line,payment_ref,character varying
Financial_Bank,account_bank_statement_line,amount,numeric
Financial_Bank,account_bank_statement_line,amount_currency,numeric
Financial_Bank,account_bank_statement_line,amount_residual,double precision
Communication_Content,account_bank_statement_line,message_main_attachment_id,integer
Financial_Bank,account_bank_statement_line_transient,payment_ref,character varying
Financial_Bank,account_bank_statement_line_transient,account_number,character varying
PII_Contact,account_bank_statement_line_transient,partner_name,character varying
Financial_Bank,account_bank_statement_line_transient,amount,numeric
Financial_Bank,account_bank_statement_line_transient,amount_currency,numeric
PII_Contact,account_cash_rounding,name,jsonb NOT NULL
PII_Contact,account_change_lock_date,tax_lock_date,date
PII_Contact,account_fiscal_category,name,jsonb NOT NULL
PII_Contact,account_fiscal_position,zip_from,character varying
PII_Contact,account_fiscal_position,zip_to,character varying
PII_Contact,account_fiscal_position,foreign_vat,character varying
PII_Contact,account_fiscal_position,name,jsonb NOT NULL
