area,technical_name,manifest_file,name,version,license,category,author,website,installable,application,auto_install,depends_count,depends,summary,parse_error
01_ACCOUNT,account,__manifest__.py,Invoicing,1.4,LGPL-3,Accounting/Accounting,Odoo S.A.,https://www.odoo.com/app/invoicing,True,True,False,6,base_setup;onboarding;product;analytic;portal;digest,Invoices & Payments,
01_ACCOUNT,account_3way_match,__manifest__.py,Vendor Bill: Release to Pay,,OEEL-1,Supply Chain/Purchase,Odoo S.A.,,True,False,False,1,purchase,,
01_ACCOUNT,account_accountant,__manifest__.py,Invoicing,1.1,OEEL-1,Accounting/Accounting,Odoo S.A.,https://www.odoo.com/app/accounting,True,False,True,3,account;mail_enterprise;web_tour,"Invoices, Payments, Follow-ups & Bank synchronization (Enterprise)",
01_ACCOUNT,account_accountant_batch_payment,__manifest__.py,Account Batch Payment Reconciliation,1.0,OEEL-1,Accounting,Odoo S.A.,,True,False,True,2,account_accountant;account_batch_payment,Allows using Reconciliation with the Batch Payment feature.,
01_ACCOUNT,account_accountant_check_printing,__manifest__.py,Account accountant check printing,1.0,OEEL-1,Accounting,Odoo S.A.,,True,False,True,2,account_accountant;account_check_printing,Allows using Reconciliation with the account check printing.,
01_ACCOUNT,account_accountant_fleet,__manifest__.py,Accounting/Fleet bridge,1.0,OEEL-1,Accounting/Accounting,Odoo S.A.,,True,False,True,2,account_fleet;account_accountant,Manage accounting with fleet features,
01_ACCOUNT,account_add_gln,__manifest__.py,Add Partner GLN,1.0,LGPL-3,Accounting/Accounting,Odoo S.A.,,True,False,True,1,account,"This module adds the Global Location Number to the partner. Used on delivery addresses, it is used to identify stock locations and is mandatory on the UBL/CII eInvoices (but not only). The module is i",
01_ACCOUNT,account_asset,__manifest__.py,Assets Management,,OEEL-1,Accounting/Accounting,Odoo S.A.,,True,False,True,1,accountant,,
01_ACCOUNT,account_asset_fleet,__manifest__.py,Assets/Fleet bridge,1.0,OEEL-1,Accounting/Accounting,Odoo S.A.,,True,False,True,2,account_fleet;account_asset,Manage assets with fleets,
01_ACCOUNT,account_avatax,__manifest__.py,Avatax,1.0,OEEL-1,Accounting/Accounting,Odoo S.A.,,True,False,['payment'],2,payment;account_external_tax,,
01_ACCOUNT,account_avatax_geolocalize,__manifest__.py,Avatax for geo localization,1.0,OEEL-1,Accounting/Accounting,Odoo S.A.,,True,False,True,2,account_avatax;base_geolocalize,,
01_ACCOUNT,account_avatax_sale,__manifest__.py,Avatax for SO,1.0,OEEL-1,Accounting/Accounting,Odoo S.A.,,True,False,True,3,sale_external_tax;account_avatax;sale,,
01_ACCOUNT,account_avatax_stock,__manifest__.py,Avatax for Inventory,1.0,OEEL-1,Accounting/Accounting,Odoo S.A.,,True,False,True,2,account_avatax_sale;stock,,
01_ACCOUNT,account_bank_statement_extract,__manifest__.py,Account Bank Statement Extract,1.0,OEEL-1,Accounting/Accounting,Odoo S.A.,,True,False,True,4,accountant;account_bank_statement_import;iap_extract;account_extract,Extract data from bank statement scans to fill them automatically,
01_ACCOUNT,account_bank_statement_import,__manifest__.py,Account Bank Statement Import,1.0,OEEL-1,Accounting/Accounting,Odoo S.A.,,True,False,True,2,account_accountant;base_import,,
01_ACCOUNT,account_bank_statement_import_camt,__manifest__.py,Import CAMT Bank Statement,,OEEL-1,Accounting/Accounting,Odoo S.A.,,True,False,True,1,account_bank_statement_import,,
01_ACCOUNT,account_bank_statement_import_csv,__manifest__.py,Import CSV Bank Statement,1.0,OEEL-1,Accounting/Accounting,Odoo S.A.,,True,False,True,2,account_bank_statement_import;base_import,,
