id,sequence,parent_id,create_uid,write_uid,parent_path,web_icon,action,name,active,create_date,write_date
509,99,483,1,42,482/483/509/,\N,"ir.actions.act_window,808","{""en_US"": ""Preparation Printers"", ""th_TH"": ""การเตรียมเครื่องพิมพ์""}",f,2026-03-30 06:57:43.846231,2026-06-29 08:32:52.924585
583,30,99,1,1,1/8/99/583/,\N,"ir.actions.act_window,951","{""en_US"": ""Ratings"", ""th_TH"": ""การให้คะแนน""}",t,2026-06-23 09:40:12.420858,2026-06-23 09:40:12.420858
392,55,149,1,1,323/149/392/,\N,\N,"{""en_US"": ""Purchases""}",t,2026-03-18 05:32:15.551708,2026-03-29 06:24:52.472386
393,10,392,1,1,323/149/392/393/,\N,"ir.actions.act_window,645","{""en_US"": ""Bill To Receive""}",t,2026-03-18 05:32:15.551708,2026-03-29 06:24:52.472386
597,10,590,1,1,551/584/590/597/,\N,"ir.actions.act_window,966","{""en_US"": ""Product Ribbons""}",t,2026-06-23 09:40:20.979711,2026-06-23 09:40:20.979711
605,150,598,1,1,551/569/598/605/,\N,"ir.actions.act_window,962","{""en_US"": ""Product Feeds""}",t,2026-06-23 09:40:20.979711,2026-06-23 09:40:20.979711
588,3,585,1,1,551/584/585/588/,\N,"ir.actions.act_window,972","{""en_US"": ""Abandoned Carts"", ""th_TH"": ""รถเข็นที่ถูกละทิ้ง""}",t,2026-06-23 09:40:20.979711,2026-06-23 09:40:20.979711
594,5,590,1,1,551/584/590/594/,\N,"ir.actions.act_window,182","{""en_US"": ""Attributes"", ""th_TH"": ""คุณลักษณะ""}",t,2026-06-23 09:40:20.979711,2026-06-23 09:40:20.979711
595,6,590,1,1,551/584/590/595/,\N,"ir.actions.act_window,184","{""en_US"": ""Combo Choices"", ""th_TH"": ""ทางเลือกคอมโบ""}",t,2026-06-23 09:40:20.979711,2026-06-23 09:40:20.979711
589,4,585,1,1,551/584/585/589/,\N,"ir.actions.act_window,56","{""en_US"": ""Customers"", ""th_TH"": ""ลูกค้า""}",t,2026-06-23 09:40:20.979711,2026-06-23 09:40:20.979711
585,2,584,1,1,551/584/585/,\N,\N,"{""en_US"": ""Orders"", ""th_TH"": ""คำสั่ง""}",t,2026-06-23 09:40:20.979711,2026-06-23 09:40:20.979711
1,550,\N,1,1,1/,"base,static/description/settings.png",\N,"{""en_US"": ""Settings"", ""th_TH"": ""การตั้งค่า""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
603,90,598,1,1,551/569/598/603/,\N,"ir.actions.act_window,757","{""en_US"": ""Delivery Methods"", ""th_TH"": ""วิธีจัดส่ง""}",t,2026-06-23 09:40:20.979711,2026-06-23 09:40:20.979711
606,30,561,1,1,551/561/606/,\N,"ir.actions.act_window,960","{""en_US"": ""Online Sales"", ""th_TH"": ""การขายออนไลน์""}",t,2026-06-23 09:40:20.979711,2026-06-23 09:40:20.979711
586,1,585,1,1,551/584/585/586/,\N,"ir.actions.act_window,968","{""en_US"": ""Orders"", ""th_TH"": ""คำสั่ง""}",t,2026-06-23 09:40:20.979711,2026-06-23 09:40:20.979711
600,20,598,1,1,551/569/598/600/,\N,"ir.actions.act_window,227","{""en_US"": ""Payment Methods"", ""th_TH"": ""วิธีการชำระเงิน""}",t,2026-06-23 09:40:20.979711,2026-06-23 09:40:20.979711
