id,name,sequence,privilege_id,create_uid,write_uid,comment,share,create_date,write_date,api_key_duration
91,"{""en_US"": ""Product Feed""}",\N,\N,1,1,\N,\N,2026-06-23 09:40:20.979711,2026-06-23 09:40:20.979711,\N
90,"{""en_US"": ""Comparison Price"", ""th_TH"": ""เปรียบเทียบราคา""}",\N,\N,1,1,\N,\N,2026-06-23 09:40:20.979711,2026-06-23 09:40:20.979711,\N
89,"{""en_US"": ""UOM Price Display for eCommerce"", ""th_TH"": ""การแสดงราคา UOM สำหรับอีคอมเมิร์ซ""}",\N,\N,1,1,\N,\N,2026-06-23 09:40:20.979711,2026-06-23 09:40:20.979711,\N
4,"{""en_US"": ""Role / Administrator""}",\N,\N,1,1,"{""en_US"": ""Access to the settings to configure the apps""}",\N,2026-03-18 04:58:50.421471,2026-03-18 05:03:38.577538,\N
13,"{""en_US"": ""Technical Documentation""}",\N,\N,1,1,\N,\N,2026-03-18 04:59:17.90355,2026-03-29 06:22:13.641553,\N
33,"{""en_US"": ""Partial Purchase Deductibility""}",\N,\N,1,1,\N,\N,2026-03-18 05:04:07.882243,2026-03-29 06:22:49.558331,\N
2,"{""en_US"": ""Access Rights"", ""th_TH"": ""สิทธิ์การเข้าใช้งาน""}",\N,\N,1,1,\N,\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,\N
8,"{""en_US"": ""Allowed"", ""th_TH"": ""อนุญาต""}",\N,1,1,1,\N,\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,\N
3,"{""en_US"": ""Bypass HTML Field Sanitize"", ""th_TH"": ""ข้ามช่อง HTML ฆ่าเชื้อ""}",\N,\N,1,1,\N,\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,\N
1,"{""en_US"": ""Role / User""}",\N,\N,\N,2,"{""en_US"": ""Access to the home menu""}",\N,\N,2026-06-25 04:30:52.331734,90
10,"{""en_US"": ""Role / Portal""}",\N,\N,1,1,"{""en_US"": ""Portal members have specific access rights (such as record rules and restricted menus).\\n                They usually do not belong to the usual Odoo groups."", ""th_TH"": ""สมาชิกพอร์ทัลมีสิทธิ์การเข้าถึงเฉพาะ (เช่น กฎการบันทึกและเมนูที่จำกัด)\\n                โดยปกติแล้วพวกเขาจะไม่ได้อยู่ในกลุ่ม Odoo ปกติ""}",\N,2026-03-18 04:58:50.421471,2026-04-01 04:52:07.614842,\N
73,"{""en_US"": ""Preset Menu""}",30,\N,1,1,\N,\N,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231,\N
9,"{""en_US"": ""Creation"", ""th_TH"": ""การสร้าง""}",\N,2,1,1,\N,\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,\N
12,"{""en_US"": ""Default access for new users"", ""th_TH"": ""การเข้าถึงเริ่มต้นสำหรับผู้ใช้ใหม่""}",\N,\N,1,1,\N,\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,\N
5,"{""en_US"": ""Multi Companies"", ""th_TH"": ""หลายบริษัท""}",\N,\N,1,1,\N,\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,\N
6,"{""en_US"": ""Multi Currencies"", ""th_TH"": ""หลายสกุลเงิน""}",\N,\N,1,1,\N,\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,\N
