id,ir_actions_server_id,user_id,interval_number,priority,failure_count,create_uid,write_uid,cron_name,interval_type,active,nextcall,lastcall,first_failure_date,create_date,write_date
27,389,1,1,5,0,1,1,automatic invoicing: send ready invoice,days,f,2026-03-18 05:04:35,\N,\N,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
28,390,1,1,5,0,1,1,Sales: Send pending emails,days,f,2026-03-18 05:04:35,\N,\N,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
33,443,1,9999,5,0,1,1,AI Embedding: Generate Embeddings,months,t,2859-06-18 05:04:47,2026-03-18 05:06:34,\N,2026-03-18 05:04:43.422975,2026-03-29 06:22:28.742976
61,938,1,15,5,0,1,1,TikTok Shop: Sync Orders,minutes,t,2026-07-23 10:37:22,2026-07-23 10:22:40,\N,2026-04-16 09:07:18.496391,2026-04-16 09:07:18.496391
17,305,1,1,5,0,1,1,Account: Post draft entries with auto_post enabled and accounting date up to today,days,t,2026-07-24 02:00:54,2026-07-23 02:01:02,\N,2026-03-18 05:04:07.882243,2026-03-29 06:22:49.558331
6,136,1,5,5,0,1,1,Mail: Fetchmail Service,minutes,f,2026-03-18 05:03:45,\N,\N,2026-03-18 05:03:38.577538,2026-03-18 05:03:38.577538
36,446,1,1,5,0,1,1,Calendar: Event Reminder,days,t,2026-07-24 05:05:36,2026-07-23 05:06:13,\N,2026-03-18 05:05:32.057443,2026-03-18 05:05:32.057443
41,612,1,1,5,0,1,1,Stock Account: Inventory Valuation Closing,days,t,2026-07-24 05:31:09,2026-07-23 05:31:58,\N,2026-03-18 05:31:08.152547,2026-03-18 05:31:08.152547
4,134,1,1,1000,0,1,1,Publisher: Update Notification,weeks,f,2026-04-29 05:03:45,2026-04-22 05:04:05,\N,2026-03-18 05:03:38.577538,2026-03-18 05:03:38.577538
26,364,1,1,5,0,1,1,Generate or refresh account return for every companies,days,t,2026-07-24 06:24:49,2026-07-23 06:25:05,\N,2026-03-18 05:04:27.13783,2026-03-29 06:24:47.586321
45,688,1,1,5,0,1,1,HR Expense: Send Submitted Expenses Mail,weeks,t,2026-07-29 05:33:49,2026-07-22 05:34:01,\N,2026-03-18 05:33:47.704597,2026-03-29 06:23:17.433729
37,453,1,1,5,0,1,1,Predictive Lead Scoring: Recompute Automated Probabilities,days,f,2026-03-18 05:05:39,\N,\N,2026-03-18 05:05:38.118228,2026-03-29 06:22:55.489688
15,221,1,1,5,0,1,1,Digest Emails,days,t,2026-07-24 08:22:46,2026-07-23 08:23:17,\N,2026-03-18 05:04:01.483532,2026-03-29 06:22:46.803546
63,940,1,15,5,0,1,1,TikTok Shop: Sync Products to TikTok,minutes,t,2026-07-23 10:37:22,2026-07-23 10:22:40,\N,2026-04-16 09:07:18.496391,2026-04-16 09:07:18.496391
22,335,1,5,5,0,1,1,Account: Journal online Waiting Synchronization,minutes,f,2026-03-18 05:04:26,\N,\N,2026-03-18 05:04:25.828127,2026-03-18 05:04:25.828127
42,627,1,1,5,0,1,1,Purchase reminder,days,t,2026-07-24 05:32:14,2026-07-23 05:33:06,\N,2026-03-18 05:32:08.430974,2026-03-18 05:32:08.430974
58,910,1,1,5,0,1,1,Disable unused snippets assets,weeks,t,2026-07-29 04:52:17,2026-07-22 04:52:24,\N,2026-04-01 04:52:07.614842,2026-04-01 04:52:07.614842
