id,sequence,parent_id,create_uid,write_uid,parent_path,web_icon,action,name,active,create_date,write_date
1,550,\N,1,1,1/,"base,static/description/settings.png",\N,"{""en_US"": ""Settings""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
2,50,1,1,1,1/2/,\N,\N,"{""en_US"": ""Custom Shortcuts""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
3,1,1,1,1,1/3/,\N,\N,"{""en_US"": ""Users & Companies""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
389,0,378,1,1,375/378/389/,\N,"ir.actions.act_window,641","{""en_US"": ""Settings""}",t,2026-03-18 05:32:08.430974,2026-03-29 06:23:22.248742
4,2,1,1,1,1/4/,\N,\N,"{""en_US"": ""Translations""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
5,4,4,1,1,1/4/5/,\N,\N,"{""en_US"": ""Application Terms""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
6,3,4,1,1,1/4/6/,\N,\N,"{""en_US"": ""Import / Export""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
7,3,1,1,1,1/7/,\N,\N,"{""en_US"": ""General Settings""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
8,110,1,1,1,1/8/,\N,\N,"{""en_US"": ""Technical""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
9,10,8,1,1,1/8/9/,\N,\N,"{""en_US"": ""User Interface""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
391,99,390,1,1,375/390/391/,\N,"ir.actions.act_window,644","{""en_US"": ""Purchase""}",t,2026-03-18 05:32:08.430974,2026-03-29 06:23:22.248742
11,10,8,1,1,1/8/11/,\N,\N,"{""en_US"": ""Database Structure""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
214,10,156,1,1,323/153/156/214/,\N,"ir.actions.client,342","{""en_US"": ""Executive Summary""}",t,2026-03-18 05:04:27.13783,2026-03-29 06:24:47.586321
12,10,8,1,1,1/8/12/,\N,\N,"{""en_US"": ""Automation""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
13,25,8,1,1,1/8/13/,\N,\N,"{""en_US"": ""Security""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
14,24,8,1,1,1/8/14/,\N,\N,"{""en_US"": ""Parameters""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
222,40,149,1,1,323/149/222/,\N,\N,"{""en_US"": ""Inventory""}",t,2026-03-18 05:04:27.13783,2026-03-29 06:24:47.586321
16,1000,\N,1,1,16/,"base,static/description/exception.png",\N,"{""en_US"": ""Tests""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
17,10,11,1,1,1/8/11/17/,\N,"ir.actions.act_window,5","{""en_US"": ""Decimal Accuracy""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
18,5,8,1,1,1/8/18/,\N,\N,"{""en_US"": ""Actions""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
19,10,18,1,1,1/8/18/19/,\N,"ir.actions.act_window,6","{""en_US"": ""Actions""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
20,10,18,1,1,1/8/18/20/,\N,"ir.actions.act_window,7","{""en_US"": ""Reports""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
274,10,\N,1,1,274/,"calendar,static/description/icon.png",\N,"{""en_US"": ""Calendar""}",t,2026-03-18 05:05:32.057443,2026-03-29 06:22:31.880088
21,10,18,1,1,1/8/18/21/,\N,"ir.actions.act_window,8","{""en_US"": ""Window Actions""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
238,10,237,1,1,228/237/238/,\N,"ir.actions.act_window,413","{""en_US"": ""Products""}",t,2026-03-18 05:04:33.38448,2026-03-29 06:23:41.334943
22,10,18,1,1,1/8/18/22/,\N,"ir.actions.act_window,9","{""en_US"": ""Client Actions""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
392,55,149,1,1,323/149/392/,\N,\N,"{""en_US"": ""Purchases""}",t,2026-03-18 05:32:15.551708,2026-03-29 06:24:52.472386
