id,parent_id,create_uid,write_uid,name,complete_name,parent_path,product_properties_definition,create_date,write_date,property_account_income_categ_id,property_account_expense_categ_id,removal_strategy_id,packaging_reserve_method,property_valuation,property_cost_method,property_stock_journal,property_stock_valuation_account_id,property_price_difference_account_id,property_stock_account_production_cost_id,tiktok_category_id
5,1,2,2,SANDALS,02 GOODS / SANDALS,1/5/,\N,2026-03-29 10:28:23.316768,2026-03-30 02:32:09.074142,\N,\N,\N,partial,"{""1"": ""real_time""}","{""1"": ""average""}",\N,\N,\N,\N,\N
24,1,2,2,APPAREL,02 GOODS / APPAREL,1/24/,\N,2026-03-29 10:29:43.008767,2026-04-29 08:14:12.035945,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N
77,1,2,2,SHOES,02 GOODS / SHOES,1/77/,\N,2026-04-29 13:50:03.866266,2026-04-29 13:50:47.142502,\N,\N,\N,partial,"{""1"": ""real_time""}","{""1"": ""average""}",\N,\N,\N,\N,\N
1,\N,1,2,02 GOODS,02 GOODS,1/,\N,2026-03-18 05:03:51.572879,2026-07-20 08:47:56.927872,\N,\N,\N,partial,"{""1"": ""real_time""}","{""1"": ""average""}",\N,\N,\N,\N,\N
26,1,2,2,ACCESSORIES,02 GOODS / ACCESSORIES,1/26/,\N,2026-03-29 10:29:43.008767,2026-03-29 10:47:07.781217,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N
27,1,2,2,GIFTS,02 GOODS / GIFTS,1/27/,\N,2026-03-29 10:29:43.008767,2026-03-29 10:47:07.781217,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N
28,1,2,2,ASSETS,02 GOODS / ASSETS,1/28/,\N,2026-03-29 10:29:43.008767,2026-03-29 10:47:07.781217,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N
29,1,2,2,PACKAGING,02 GOODS / PACKAGING,1/29/,\N,2026-03-29 10:29:43.008767,2026-03-29 10:47:07.781217,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N
71,5,2,2,CHIKA,02 GOODS / SANDALS / CHIKA,1/5/71/,\N,2026-03-29 10:44:05.590523,2026-03-30 02:42:24.461957,\N,\N,\N,partial,"{""1"": ""real_time""}","{""1"": ""average""}",\N,\N,\N,\N,\N
30,5,2,2,ELITE,02 GOODS / SANDALS / ELITE,1/5/30/,\N,2026-03-29 10:42:54.084337,2026-03-30 02:42:24.461957,\N,\N,\N,partial,"{""1"": ""real_time""}","{""1"": ""average""}",\N,\N,\N,\N,\N
57,5,2,2,KIRION_KIDS,02 GOODS / SANDALS / KIRION_KIDS,1/5/57/,\N,2026-03-29 10:44:05.590523,2026-03-30 02:42:24.461957,\N,\N,\N,partial,"{""1"": ""real_time""}","{""1"": ""average""}",\N,\N,\N,\N,\N
60,5,2,2,MEKI,02 GOODS / SANDALS / MEKI,1/5/60/,\N,2026-03-29 10:44:05.590523,2026-03-30 02:42:24.461957,\N,\N,\N,partial,"{""1"": ""real_time""}","{""1"": ""average""}",\N,\N,\N,\N,\N
62,5,2,2,NIRUN,02 GOODS / SANDALS / NIRUN,1/5/62/,\N,2026-03-29 10:44:05.590523,2026-03-30 02:42:24.461957,\N,\N,\N,partial,"{""1"": ""real_time""}","{""1"": ""average""}",\N,\N,\N,\N,\N
63,5,2,2,TORANI,02 GOODS / SANDALS / TORANI,1/5/63/,\N,2026-03-29 10:44:05.590523,2026-03-30 02:42:24.461957,\N,\N,\N,partial,"{""1"": ""real_time""}","{""1"": ""average""}",\N,\N,\N,\N,\N
64,5,2,2,VARI_O,02 GOODS / SANDALS / VARI_O,1/5/64/,\N,2026-03-29 10:44:05.590523,2026-03-30 02:42:24.461957,\N,\N,\N,partial,"{""1"": ""real_time""}","{""1"": ""average""}",\N,\N,\N,\N,\N
