id,create_uid,write_uid,key,value,create_date,write_date
5,1,1,base.login_cooldown_after,10,2023-06-20 03:55:19.517597,2023-06-20 03:55:19.517597
6,1,1,base.login_cooldown_duration,60,2023-06-20 03:55:19.517597,2023-06-20 03:55:19.517597
7,1,1,mail.catchall.alias,catchall,2023-06-20 03:55:19.517597,2023-06-20 03:55:19.517597
8,1,1,mail.bounce.alias,bounce,2023-06-20 03:55:19.517597,2023-06-20 03:55:19.517597
9,1,1,mail.default.from,notifications,2023-06-20 03:55:19.517597,2023-06-20 03:55:19.517597
10,1,1,base.template_portal_user_id,5,2023-06-20 03:55:19.517597,2023-06-20 03:55:19.517597
11,1,1,base_setup.show_effect,True,2023-06-20 04:01:40.866,2023-06-20 04:01:40.866
14,1,1,spreadsheet_edition.revisions_limit_days,60,2023-06-20 04:01:56.552406,2023-06-20 04:01:56.552406
15,1,1,mail_mobile.enable_ocn,True,2023-06-20 04:01:57.107426,2023-06-20 04:01:57.107426
17,1,1,digest.default_digest_id,1,2023-06-20 04:02:00.630545,2023-06-20 04:02:00.630545
19,1,1,account_payment.enable_portal_payment,True,2023-06-20 04:02:17.164954,2023-06-20 04:02:17.164954
20,1,1,sale.default_confirmation_template,13,2023-06-20 04:02:17.673357,2023-06-20 04:02:17.673357
21,1,1,sale.default_invoice_email_template,8,2023-06-20 04:02:17.673357,2023-06-20 04:02:17.673357
22,1,1,crm.pls_fields,"phone_state,email_state",2023-06-20 04:04:30.343186,2023-06-20 04:04:30.343186
23,1,1,crm.pls_start_date,2023-06-12,2023-06-20 04:04:30.343186,2023-06-20 04:04:30.343186
24,1,1,account_online_synchronization.proxy_mode,production,2023-06-20 04:05:27.211611,2023-06-20 04:05:27.211611
25,1,1,account_online_synchronization.request_timeout,60,2023-06-20 04:05:27.211611,2023-06-20 04:05:27.211611
26,1,1,hr.hr_presence_control_login,True,2023-06-20 04:08:14.454882,2023-06-20 04:08:14.454882
27,1,1,hr_expense.use_mailgateway,True,2023-06-20 04:08:25.132889,2023-06-20 04:08:25.132889
30,2,2,partner_names_order,first_last,2023-08-02 08:14:03.34302,2023-08-02 08:14:03.34302
31,2,2,product.product_pricelist_setting,basic,2023-08-02 08:14:03.34302,2023-08-02 08:14:03.34302
32,2,2,product.weight_in_lbs,0,2023-08-02 08:14:03.34302,2023-08-02 08:14:03.34302
33,2,2,product.volume_in_cubic_feet,0,2023-08-02 08:14:03.34302,2023-08-02 08:14:03.34302
34,2,2,account.show_line_subtotals_tax_selection,tax_excluded,2023-08-02 08:14:03.34302,2023-08-02 08:14:03.34302
35,2,2,crm.iap.lead.enrich.setting,auto,2023-08-02 08:14:03.34302,2023-08-02 08:14:03.34302
36,2,2,web.base.title,SMEs,2023-08-02 09:03:17.69396,2023-08-02 09:03:17.69396
37,31,31,ocn.uuid,b2818653-9306-4beb-8970-9d7849ecbb7e,2023-08-11 08:28:36.074124,2023-08-11 08:28:36.074124
38,31,31,odoo_ocn.project_id,186813708685,2023-08-11 08:28:36.074124,2023-08-11 08:28:36.074124
12,1,2,auth_signup.invitation_scope,b2b,2023-06-20 04:01:50.785526,2023-09-01 07:00:11.419928
39,2,2,base.profiling_enabled_until,2023-09-12 03:28:25,2023-09-11 03:28:41.317806,2023-09-11 03:28:41.317806
41,2,2,portal.allow_api_keys,True,2023-09-11 05:21:48.012477,2023-09-11 05:21:48.012477
42,25,25,sale.default_deposit_product_id,1721,2023-09-13 09:46:59.961703,2023-09-13 09:46:59.961703
44,2,2,purchase.advance_default_product_id,9085,2023-09-22 04:55:10.748104,2023-09-22 04:55:10.748104
1,1,1,database.secret,5a28d0e0-6e5c-4001-b858-bb2ce5ebb934,2023-06-20 03:55:19.517597,2023-09-28 07:04:31.217085
2,1,1,database.uuid,45a8e08e-5dcd-11ee-90f5-5242ea102159,2023-06-20 03:55:19.517597,2023-09-28 07:04:31.217085
3,1,1,database.create_date,2023-09-28 07:04:31,2023-06-20 03:55:19.517597,2023-09-28 07:04:31.217085
40,2,2,scgl_currency_rate_live.bot_client_id,eyJvcmciOiI2NzM1NzgwZWM4YzFlYjAwMDEyYTM3NzEiLCJpZCI6ImMyNzUxYTYwYzM5YjRhNTQ5M2UyYWU5NTFiMjM5ZjllIiwiaCI6Im11cm11cjEyOCJ9,2023-09-11 05:03:40.427389,2026-01-09 12:06:35.005935
46,2,2,base_setup.default_user_rights,True,2023-09-28 10:12:23.111748,2023-09-28 10:12:23.111748
51,2,2,mrp.use_manufacturing_lead,True,2023-11-03 07:53:14.982187,2023-11-03 07:53:14.982187
52,2,2,base_setup.default_external_email_server,True,2023-11-10 07:58:32.064506,2023-11-10 07:58:32.064506
53,2,2,mail.catchall.domain,scgl.co.th,2023-11-10 07:58:32.064506,2023-11-10 07:58:32.064506
54,2,2,py3o.conversion_command,/bin/libreoffice,2024-08-05 04:48:54.213847,2024-08-05 04:58:26.57013
4,1,2,web.base.url,https://swr.smeplus.asia,2023-06-20 03:55:19.517597,2025-04-01 04:46:28.465658
