id,create_uid,create_date,write_date,write_uid,website,summary,name,author,icon,state,latest_version,shortdesc,category_id,description,application,demo,web,license,sequence,auto_install,to_buy,maintainer,published_version,url,contributors,menus_by_module,reports_by_module,views_by_module,imported
576,\N,\N,2023-09-05 08:36:46.236671,1,https://www.odoo.com/app/manufacturing,"{""en_US"": ""Analytic accounting in Manufacturing"", ""th_TH"": ""การบัญชีเชิงวิเคราะห์ในการผลิต""}",mrp_account_enterprise,Odoo S.A.,/base/static/description/icon.png,installed,16.0.1.0,"{""en_US"": ""Accounting - MRP"", ""th_TH"": ""การบัญชี - MRP""}",26,"{""en_US"": ""\\nAnalytic Accounting in MRP\\n==========================\\n\\n* Cost structure report\\n""}",f,f,f,OEEL-1,100,t,f,\N,\N,,\N,Manufacturing/Reporting/Production Analysis,Cost Analysis\nCost Structure Analysis,* INHERIT cost_structure_product_product_inherit (form)\n* INHERIT cost_structure_product_template_inherit (form)\n* INHERIT mrp.production.form.inherit (form)\n* INHERIT mrp.workcenter.form.inherit (form)\n* INHERIT mrp.workcenter.tree.inherited (tree)\n* INHERIT product_template_cost_structure (qweb)\nmrp.report.view.form (form)\nmrp.report.view.graph (graph)\nmrp.report.view.pivot (pivot)\nmrp.report.view.search (search)\nmrp.report.view.tree (tree)\nmrp_cost_structure (qweb),\N
986,23,2023-09-06 06:45:15.009637,2023-09-06 06:45:15.009637,23,https://www.scgl.co.th/,"{""en_US"": """"}",scgl_swr_payment_term,SCG Legacy,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""SWR Custom Payment Term""}",104,"{""en_US"": ""Custom any for SWR""}",f,f,f,LGPL-3,100,f,f,\N,\N,,\N,,,,\N
996,1,2023-09-27 05:07:29.262209,2023-09-27 08:23:58.977379,1,https://scgl.co.th,"{""en_US"": """"}",message_product_category,"SCG LEGACY(THAILAND) CO.,LTD(HEAD OFFICE)",/base/static/description/icon.png,installed,16.0.1.0.0,"{""en_US"": ""message_product_category""}",134,"{""en_US"": ""\\nExport report using Report Designer\\n""}",f,f,f,LGPL-3,100,f,f,\N,\N,,\N,,,* INHERIT view_category (form),\N
971,1,2023-08-02 08:06:01.21556,2023-08-02 09:02:52.936394,1,https://renjie.me,"{""en_US"": ""The custom web window title""}",web_window_title,renjie <i@renjie.me>,/web_window_title/static/description/icon.png,installed,16.0.1.1,"{""en_US"": ""Web Window Title""}",69,"{""en_US"": """"}",f,f,f,LGPL-3,100,f,f,\N,\N,,\N,,,* INHERIT res.config.settings.web.window.title (form),\N
968,1,2023-08-02 08:06:01.21556,2023-08-02 08:06:01.21556,1,,"{""en_US"": """"}",footer_layout,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""footer_layout""}",1,"{""en_US"": """"}",f,f,f,LGPL-3,100,f,f,\N,\N,,\N,,,,\N
985,2,2023-09-05 08:40:17.842452,2023-09-05 08:40:17.842452,2,\N,\N,studio_customization,บริษัท ข้าวสุวรรณภูมิ จำกัด (สำนักงานใหญ่),/base/static/description/icon.png,installed,\N,"{""en_US"": ""Studio customizations""}",81,"{""en_US"": ""This module has been generated by Odoo Studio.\\nIt contains the apps created with Studio and the customizations of existing apps.""}",f,f,f,OPL-1,100,f,f,\N,\N,\N,\N,,,* INHERIT Odoo Studio: account.payment.term.form customization (form),t
243,\N,\N,2026-04-04 11:00:36.531869,1,,"{""en_US"": """"}",digest_enterprise,Odoo S.A.,/base/static/description/icon.png,installed,16.0.1.0,"{""en_US"": ""Digest Enterprise""}",15,"{""en_US"": ""\\n        Enterprise digest data\\n    ""}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,,,,\N
970,1,2023-08-02 08:06:01.21556,2023-08-02 08:06:01.21556,1,,"{""en_US"": ""POS Price per unit of measure""}",pos_multi_uom_price,ehuerta _at_ ixer.mx,/pos_multi_uom_price/static/description/icon.png,uninstalled,\N,"{""en_US"": ""POS multi uom price""}",39,"{""en_US"": ""\\n        With this module you can sell your products with different units of measure in POS.\\n    ""}",f,f,f,AGPL-3,100,f,f,\N,\N,,\N,,,,\N
290,\N,\N,2023-09-05 08:03:55.920303,1,,"{""en_US"": ""Improved Import in Accounting""}",account_base_import,Odoo S.A.,/base/static/description/icon.png,installed,16.0.1.0,"{""en_US"": ""Accounting Import""}",30,"{""en_US"": ""\\nAccounting Import\\n==================\\n    ""}",f,f,f,OEEL-1,100,t,f,\N,\N,,\N,,,* INHERIT account.base.import.account.account.list (tree)\n* INHERIT account.setup.opening.account.account.tree.account.base.import (tree)\n* INHERIT res.config.settings.view.form.inherit.account.base.import (form),\N
991,1,2023-09-18 07:01:00.965114,2023-09-18 07:15:14.573848,1,,"{""en_US"": ""\\n        ""}",field_translatable,,/base/static/description/icon.png,installed,16.0.0.1,"{""en_US"": ""field_translatable""}",133,"{""en_US"": ""\\n       \\n    ""}",f,f,f,LGPL-3,100,f,f,\N,\N,,\N,,,,\N
