id,sequence,parent_id,create_uid,write_uid,parent_path,web_icon,action,name,active,create_date,write_date,is_studio_configuration
1,260,\N,1,1,1/,"base,static/description/board.png",\N,"{""en_US"": ""Dashboards"", ""th_TH"": ""Dashboards""}",t,2023-06-20 03:55:19.517597,2023-06-20 03:55:19.517597,\N
2,0,1,1,1,1/2/,\N,\N,"{""en_US"": ""Dashboards"", ""th_TH"": ""Dashboards""}",t,2023-06-20 03:55:19.517597,2023-06-20 03:55:19.517597,\N
617,11,13,1,1,4/12/13/617/,\N,"ir.actions.act_window,929","{""en_US"": ""Studio Approval Entries"", ""th_TH"": ""รายการอนุมัติสตูดิโอ""}",t,2023-09-05 08:38:45.996607,2023-09-05 08:38:45.996607,\N
3,100,1,1,1,1/3/,\N,\N,"{""en_US"": ""Configuration"", ""th_TH"": ""การกำหนดค่า""}",t,2023-06-20 03:55:19.517597,2023-06-20 03:55:19.517597,\N
618,10,13,1,1,4/12/13/618/,\N,"ir.actions.act_window,930","{""en_US"": ""Studio Approvals Rules"", ""th_TH"": ""การอนุมัติสตูดิโอ""}",t,2023-09-05 08:38:45.996607,2023-09-05 08:38:45.996607,\N
4,550,\N,1,1,4/,"base,static/description/settings.png",\N,"{""en_US"": ""Settings"", ""th_TH"": ""การตั้งค่า""}",t,2023-06-20 03:55:19.517597,2023-06-20 03:55:19.517597,\N
195,3,192,1,2,178/192/195/,\N,\N,"{""en_US"": ""Sales Orders"", ""th_TH"": ""คำสั่งขาย""}",t,2023-06-20 04:02:17.673357,2023-09-07 03:08:48.895284,\N
197,4,192,1,2,178/192/197/,\N,\N,"{""en_US"": ""Products"", ""th_TH"": ""สินค้า""}",t,2023-06-20 04:02:17.673357,2023-09-07 03:08:48.895284,\N
199,5,192,1,2,178/192/199/,\N,\N,"{""en_US"": ""Units of Measure"", ""th_TH"": ""หน่วยวัด""}",t,2023-06-20 04:02:17.673357,2023-09-07 03:08:48.895284,\N
202,6,192,1,2,178/192/202/,\N,"ir.actions.act_window,313","{""en_US"": ""Activity Types"", ""th_TH"": ""ประเภทกิจกรรม""}",t,2023-06-20 04:02:17.673357,2023-09-07 03:08:48.895284,\N
198,10,197,1,1,178/192/197/198/,\N,"ir.actions.act_window,164","{""en_US"": ""Attributes"", ""th_TH"": ""คุณลักษณะ""}",t,2023-06-20 04:02:17.673357,2023-09-01 02:55:17.558929,\N
196,10,195,1,1,178/192/195/196/,\N,"ir.actions.act_window,177","{""en_US"": ""Tags"", ""th_TH"": ""แท็ก""}",t,2023-06-20 04:02:17.673357,2023-09-01 02:55:17.558929,\N
200,10,199,1,1,178/192/199/200/,\N,"ir.actions.act_window,86","{""en_US"": ""Units of Measure"", ""th_TH"": ""หน่วยวัด""}",t,2023-06-20 04:02:17.673357,2023-09-01 02:55:17.558929,\N
201,20,199,1,1,178/192/199/201/,\N,"ir.actions.act_window,87","{""en_US"": ""Units of Measure Categories"", ""th_TH"": ""หมวดหมู่ของหน่วยวัด""}",t,2023-06-20 04:02:17.673357,2023-09-01 02:55:17.558929,\N
