id,parent_id,create_uid,write_uid,name,complete_name,parent_path,create_date,write_date,removal_strategy_id,packaging_reserve_method,hs_code_id,message_main_attachment_id
32,3,25,2,Test,All / Expenses / Test,1/3/32/,2023-09-15 04:32:27.304265,2023-09-22 07:26:53.976841,1,partial,\N,\N
1,\N,1,1,All,All,1/,2023-06-20 04:01:52.810758,2023-06-20 04:01:52.810758,\N,partial,\N,\N
3,1,1,1,Expenses,All / Expenses,1/3/,2023-06-20 04:01:52.810758,2023-06-20 04:01:52.810758,\N,partial,\N,\N
21,3,2,2,Manufacturing Cost,All / Expenses / Manufacturing Cost,1/3/21/,2023-09-01 04:54:03.743406,2023-09-22 08:24:17.702146,1,partial,\N,\N
9,5,2,25,Tamarind,All / Saleable / Finished goods / Tamarind,1/2/5/9/,2023-08-17 06:39:12.151813,2024-05-25 15:39:32.28155,1,partial,\N,\N
10,6,2,25,Rice,All / Expenses / Material / Rice,1/3/6/10/,2023-08-17 06:39:55.065277,2024-09-28 09:06:50.768098,1,partial,\N,\N
27,3,25,25,Service,All / Expenses / Service,1/3/27/,2023-09-06 09:29:59.285909,2023-11-15 08:11:37.351016,\N,partial,\N,\N
6,3,2,2,Material,All / Expenses / Material,1/3/6/,2023-08-02 08:30:57.007174,2023-11-17 03:03:00.0014,1,partial,\N,\N
28,3,25,25,IT,All / Expenses / IT,1/3/28/,2023-09-06 09:43:17.659067,2023-10-04 09:24:32.756477,\N,partial,\N,\N
15,6,2,25,แม่พิมพ์,All / Expenses / Material / แม่พิมพ์,1/3/6/15/,2023-08-18 02:17:00.63896,2025-01-21 06:52:06.613172,1,partial,\N,\N
25,3,25,25,Supplies,All / Expenses / Supplies,1/3/25/,2023-09-06 09:24:27.152256,2024-03-23 06:32:12.747068,\N,partial,\N,\N
29,3,49,2,Medical,All / Expenses / Medical,1/3/29/,2023-09-14 08:28:00.609055,2023-10-10 05:15:13.82528,\N,partial,\N,\N
33,6,31,25,กระดาษการ์ด TAG,All / Expenses / Material / กระดาษการ์ด TAG,1/3/6/33/,2023-10-06 04:37:49.559477,2023-12-04 02:59:07.304036,1,partial,\N,\N
24,3,25,2,Stationery,All / Expenses / Stationery,1/3/24/,2023-09-06 06:27:47.888308,2023-10-10 05:15:35.42102,\N,partial,\N,\N
2,1,1,2,Saleable,All / Saleable,1/2/,2023-06-20 04:01:52.810758,2023-10-10 05:15:55.89529,\N,partial,\N,\N
5,2,2,2,Finished goods,All / Saleable / Finished goods,1/2/5/,2023-08-02 08:20:12.486215,2023-10-10 05:16:02.98232,\N,partial,\N,\N
20,1,2,2,Semi-Finish Goods,All / Semi-Finish Goods,1/20/,2023-08-18 04:04:03.17328,2023-10-10 05:16:13.91335,\N,partial,\N,\N
8,6,2,2,กระสอบ,All / Expenses / Material / กระสอบ,1/3/6/8/,2023-08-11 06:45:28.284783,2024-03-25 13:41:15.232017,1,partial,\N,\N
12,6,2,2,"กล่อง,พาเลท","All / Expenses / Material / กล่อง,พาเลท",1/3/6/12/,2023-08-17 06:56:05.251116,2024-03-25 13:41:29.606885,1,partial,\N,\N
30,3,49,25,Transport&Loading,All / Expenses / Transport&Loading,1/3/30/,2023-09-14 08:30:11.826586,2023-10-23 08:59:48.130596,\N,partial,\N,\N
13,6,2,2,ด้าย,All / Expenses / Material / ด้าย,1/3/6/13/,2023-08-18 02:14:24.973934,2024-03-25 13:41:49.174037,1,partial,\N,\N
14,6,2,2,ถุง,All / Expenses / Material / ถุง,1/3/6/14/,2023-08-18 02:16:36.306721,2024-03-25 13:42:06.56224,1,partial,\N,\N
16,6,2,2,ริบบิ้น,All / Expenses / Material / ริบบิ้น,1/3/6/16/,2023-08-18 02:17:26.355919,2024-03-25 13:42:20.803366,1,partial,\N,\N
26,3,25,25,Spare Part&Maintenance&Project,All / Expenses / Spare Part&Maintenance&Project,1/3/26/,2023-09-06 09:25:38.278634,2025-05-15 09:44:06.414902,\N,partial,\N,\N
17,6,2,25,สติ๊กเกอร์+Other PKG,All / Expenses / Material / สติ๊กเกอร์+Other PKG,1/3/6/17/,2023-08-18 02:17:53.638847,2025-05-26 09:05:59.578074,1,partial,\N,\N
22,20,2,25,คัดแล้ว,All / Semi-Finish Goods / คัดแล้ว,1/20/22/,2023-09-05 04:47:22.309895,2023-12-08 09:54:14.065178,1,partial,\N,\N
19,5,2,2,Sales Revenue - Overseas,All / Saleable / Finished goods / Sales Revenue - Overseas,1/2/5/19/,2023-08-18 03:54:59.773692,2024-03-25 13:45:29.403248,1,partial,\N,\N
18,5,2,2,Sales revenue - Domestic,All / Saleable / Finished goods / Sales revenue - Domestic,1/2/5/18/,2023-08-18 03:54:28.192958,2024-03-25 13:46:01.233555,1,partial,\N,\N
34,20,2,2,ชุดสำเร็จ,All / Semi-Finish Goods / ชุดสำเร็จ,1/20/34/,2023-12-08 09:32:43.911856,2024-03-25 13:48:34.433026,\N,partial,\N,\N
11,20,2,2,By Product,All / Semi-Finish Goods / By Product,1/20/11/,2023-08-17 06:40:24.359609,2024-05-03 03:04:49.624881,1,partial,\N,\N
