id,name,category_id,color,create_uid,write_uid,comment,share,create_date,write_date
91,"{""en_US"": ""Manage Multiple Stock Locations""}",15,\N,1,1,\N,\N,2023-09-05 08:11:04.183042,2023-09-05 08:11:04.183042
92,"{""en_US"": ""Manage Multiple Warehouses""}",15,\N,1,1,\N,\N,2023-09-05 08:11:04.183042,2023-09-05 08:11:04.183042
3,"{""en_US"": ""Bypass HTML Field Sanitize""}",\N,\N,1,1,\N,\N,2023-06-20 03:55:19.517597,2023-06-20 03:55:19.517597
96,"{""en_US"": ""Print GS1 Barcodes for Lot & Serial Numbers""}",15,\N,1,1,\N,\N,2023-09-05 08:11:04.183042,2023-09-05 08:11:04.183042
27,"{""en_US"": ""Read-only""}",30,\N,1,1,\N,\N,2023-06-20 04:02:03.189511,2023-09-05 08:03:50.15137
121,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",34,\N,1,1,"{""en_US"": ""The user will have access to the approvals configuration."", ""th_TH"": ""ผู้ใช้จะสามารถเข้าถึงการกำหนดค่าการอนุมัติ""}",\N,2023-09-11 02:37:44.625473,2023-09-11 03:53:56.2079
8,"{""en_US"": ""Access to export feature""}",15,\N,1,1,\N,\N,2023-06-20 03:55:19.517597,2023-06-20 03:55:19.517597
102,"{""en_US"": ""Require a signature on your delivery orders""}",15,\N,1,1,\N,\N,2023-09-05 08:11:04.183042,2023-09-05 08:11:04.183042
103,"{""en_US"": ""Manage Storage Categories""}",15,\N,1,1,\N,\N,2023-09-05 08:11:04.183042,2023-09-05 08:11:04.183042
104,"{""en_US"": ""Use Reception Report""}",15,\N,1,1,\N,\N,2023-09-05 08:11:04.183042,2023-09-05 08:11:04.183042
105,"{""en_US"": ""Use wave pickings""}",15,\N,1,1,\N,\N,2023-09-05 08:11:04.183042,2023-09-05 08:11:04.183042
33,"{""en_US"": ""Sale Receipt""}",15,\N,1,1,\N,\N,2023-06-20 04:02:03.189511,2023-09-01 02:54:37.613236
93,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",16,\N,1,1,\N,\N,2023-09-05 08:11:04.183042,2023-09-05 08:11:04.183042
94,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",16,\N,1,1,\N,\N,2023-09-05 08:11:04.183042,2023-09-05 08:11:04.183042
95,"{""en_US"": ""Manage Lots / Serial Numbers"", ""th_TH"": ""จัดการล็อต / เลขซีเรียล""}",15,\N,1,1,\N,\N,2023-09-05 08:11:04.183042,2023-09-05 08:11:04.183042
97,"{""en_US"": ""Display Serial & Lot Number in Delivery Slips"", ""th_TH"": ""Display Serial & Lot Number in Delivery Slips""}",15,\N,1,1,\N,\N,2023-09-05 08:11:04.183042,2023-09-05 08:11:04.183042
98,"{""en_US"": ""Manage Packages"", ""th_TH"": ""จัดการหีบห่อ""}",15,\N,1,1,\N,\N,2023-09-05 08:11:04.183042,2023-09-05 08:11:04.183042
99,"{""en_US"": ""Manage Push and Pull inventory flows"", ""th_TH"": ""จัดการการไหลของสินค้าแบบผลักและแบบดึง""}",15,\N,1,1,\N,\N,2023-09-05 08:11:04.183042,2023-09-05 08:11:04.183042
14,"{""en_US"": ""Mail Template Editor""}",15,\N,1,1,\N,\N,2023-06-20 04:01:42.817387,2023-06-20 04:01:42.817387
100,"{""en_US"": ""Manage Different Stock Owners"", ""th_TH"": ""จัดการเจ้าของสต็อกที่แตกต่าง""}",15,\N,1,1,\N,\N,2023-09-05 08:11:04.183042,2023-09-05 08:11:04.183042
101,"{""en_US"": ""A warning can be set on a partner (Stock)"", ""th_TH"": ""A warning can be set on a partner (Stock)""}",15,\N,1,1,\N,\N,2023-09-05 08:11:04.183042,2023-09-05 08:11:04.183042
16,"{""en_US"": ""Basic Pricelists""}",15,\N,1,1,\N,\N,2023-06-20 04:01:52.810758,2023-06-20 04:01:52.810758
18,"{""en_US"": ""Manage Product Packaging""}",15,\N,1,1,\N,\N,2023-06-20 04:01:52.810758,2023-06-20 04:01:52.810758
19,"{""en_US"": ""Manage Product Variants""}",15,\N,1,1,\N,\N,2023-06-20 04:01:52.810758,2023-06-20 04:01:52.810758
120,"{""en_US"": ""Officer : Approve all requests""}",34,\N,1,1,"{""en_US"": ""The user will be able to access all requests and approve/refuse them.""}",\N,2023-09-11 02:37:44.625473,2023-09-11 03:53:56.2079
4,"{""en_US"": ""Settings"", ""th_TH"": ""การตั้งค่า""}",122,\N,1,1,\N,\N,2023-06-20 03:55:19.517597,2023-06-20 04:01:42.817387
106,"{""en_US"": ""Display Serial & Lot Number on Invoices""}",15,\N,1,1,\N,\N,2023-09-05 08:11:14.585871,2023-09-05 08:11:14.585871
25,"{""en_US"": ""Tax display B2B"", ""th_TH"": ""แสดงภาษีแบบ B2B""}",15,\N,1,1,"{""en_US"": ""Show line subtotals without taxes (B2B)"", ""th_TH"": ""Show line subtotals without taxes (B2B)""}",\N,2023-06-20 04:02:03.189511,2023-09-01 02:54:37.613236
107,"{""en_US"": ""Display incoterms on Sales Order and related invoices"", ""th_TH"": ""แสดง incoterm ในคำสั่งขายและใบแจ้งหนี้ที่เกี่ยวข้อง""}",15,\N,1,1,\N,\N,2023-09-05 08:11:19.214886,2023-09-05 08:11:19.214886
