id,parent_id,create_uid,write_uid,name,complete_name,parent_path,product_properties_definition,create_date,write_date,property_account_income_categ_id,property_account_expense_categ_id,removal_strategy_id,packaging_reserve_method,property_valuation,property_cost_method,property_stock_journal,property_stock_valuation_account_id,property_price_difference_account_id,property_stock_account_production_cost_id,seq_id,prefix_seq,complete_seq,prefix_complete,selected_show
5464,5462,2,1,CLAMP,Goods / SEMI / 32 ASSEMBLY / TELECOM / CLAMP,1/5404/5443/5462/5464/,\N,2026-02-06 04:30:18.43023,2026-02-12 03:02:32.67412,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,,,\N
5465,5462,2,1,ENCLOSURE,Goods / SEMI / 32 ASSEMBLY / TELECOM / ENCLOSURE,1/5404/5443/5462/5465/,\N,2026-02-06 04:30:18.43023,2026-02-12 03:02:32.67412,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,,,\N
5466,5462,2,1,MOUNTING,Goods / SEMI / 32 ASSEMBLY / TELECOM / MOUNTING,1/5404/5443/5462/5466/,\N,2026-02-06 04:30:18.43023,2026-02-12 03:02:32.67412,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,,,\N
5467,5462,2,1,NAME PLATE,Goods / SEMI / 32 ASSEMBLY / TELECOM / NAME PLATE,1/5404/5443/5462/5467/,\N,2026-02-06 04:30:18.43023,2026-02-12 03:02:32.67412,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,,,\N
5418,5417,2,1,ALUMINIUM,Goods / SEMI / 31 PROCESSED PART / GENERAL PART / PROFILE / ALUMINIUM,1/5404/5405/5411/5417/5418/,\N,2026-02-06 04:30:18.43023,2026-02-12 03:02:32.67412,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,,,\N
5420,5419,2,1,ABS,Goods / SEMI / 31 PROCESSED PART / GENERAL PART / SHEET / ABS,1/5404/5405/5411/5419/5420/,\N,2026-02-06 04:30:18.43023,2026-02-12 03:02:32.67412,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,,,\N
5421,5419,2,1,AC,Goods / SEMI / 31 PROCESSED PART / GENERAL PART / SHEET / AC,1/5404/5405/5411/5419/5421/,\N,2026-02-06 04:30:18.43023,2026-02-12 03:02:32.67412,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,,,\N
5422,5419,2,1,AL A1100 0,Goods / SEMI / 31 PROCESSED PART / GENERAL PART / SHEET / AL A1100 0,1/5404/5405/5411/5419/5422/,\N,2026-02-06 04:30:18.43023,2026-02-12 03:02:32.67412,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,,,\N
11755,10735,524,524,TRUE,Goods / FG / 91 FINISH GOODS / TELECOM / HUAWEI / NOKIA / TRUE,1/748/749/10025/10163/10735/11755/,\N,2026-05-04 12:16:54.025631,2026-05-04 12:46:20.636287,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,,,f
12873,10697,524,524,ACCESSORIES,Goods / FG / 91 FINISH GOODS / RETAIL_SHOWCASE / YINDEE / EVEANDBOY / ACCESSORIES,1/748/749/10024/10155/10697/12873/,\N,2026-05-04 15:12:31.182219,2026-05-04 15:12:31.182219,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,,,f
