id,create_uid,write_uid,key,value,create_date,write_date
5,1,1,base.login_cooldown_after,10,2026-08-18 06:08:59.75533,2026-08-18 06:08:59.75533
6,1,1,base.login_cooldown_duration,60,2026-08-18 06:08:59.75533,2026-08-18 06:08:59.75533
7,1,1,base.template_portal_user_id,5,2026-08-18 06:08:59.75533,2026-08-18 06:08:59.75533
8,1,1,base.default_max_email_size,10,2026-08-18 06:08:59.75533,2026-08-18 06:08:59.75533
1,1,1,database.secret,58871b73-c444-4139-b613-ee19140f441f,2026-08-18 06:08:59.75533,2026-08-18 06:08:59.75533
2,1,1,database.uuid,551ab874-9acb-11f1-b150-6ec7a480be3d,2026-08-18 06:08:59.75533,2026-08-18 06:08:59.75533
3,1,1,database.create_date,2026-08-18 06:09:12,2026-08-18 06:08:59.75533,2026-08-18 06:08:59.75533
9,1,1,base_setup.show_effect,True,2026-08-18 06:09:17.201077,2026-08-18 06:09:17.201077
10,1,1,base_setup.default_user_rights,True,2026-08-18 06:09:17.201077,2026-08-18 06:09:17.201077
11,1,1,mail.activity.gc.delete_overdue_years,3,2026-08-18 06:09:22.878829,2026-08-18 06:09:22.878829
13,1,1,analytic.project_plan,1,2026-08-18 06:09:29.116087,2026-08-18 06:09:29.116087
15,1,1,auth_signup.reset_password,True,2026-08-18 06:09:29.661875,2026-08-18 06:09:29.661875
16,1,1,iap_extract_endpoint,https://extract.api.odoo.com,2026-08-18 06:09:36.746879,2026-08-18 06:09:36.746879
17,1,1,mail_mobile.enable_ocn,True,2026-08-18 06:09:36.883362,2026-08-18 06:09:36.883362
18,1,1,digest.default_digest_emails,True,2026-08-18 06:09:40.337382,2026-08-18 06:09:40.337382
19,1,1,digest.default_digest_id,1,2026-08-18 06:09:40.337382,2026-08-18 06:09:40.337382
20,1,1,stock.barcode_separator,",",2026-08-18 06:09:52.748993,2026-08-18 06:09:52.748993
21,1,1,account_payment.enable_portal_payment,True,2026-08-18 06:10:01.64871,2026-08-18 06:10:01.64871
24,1,1,account_online_synchronization.proxy_mode,production,2026-08-18 06:10:11.272628,2026-08-18 06:10:11.272628
25,1,1,account_online_synchronization.request_timeout,60,2026-08-18 06:10:11.272628,2026-08-18 06:10:11.272628
26,1,1,sale.default_confirmation_template,17,2026-08-18 06:10:14.380796,2026-08-18 06:10:14.380796
27,1,1,sale.default_invoice_email_template,8,2026-08-18 06:10:14.380796,2026-08-18 06:10:14.380796
28,1,1,sale.async_emails,False,2026-08-18 06:10:19.296195,2026-08-18 06:10:19.296195
29,1,1,crm.pls_fields,"phone_state,email_state",2026-08-18 09:27:38.891832,2026-08-18 09:27:38.891832
30,1,1,crm.pls_start_date,2026-08-10,2026-08-18 09:27:38.891832,2026-08-18 09:27:38.891832
31,1,1,document.max_fileupload_size,67000000,2026-08-18 09:27:43.25143,2026-08-18 09:27:43.25143
32,1,1,documents.deletion_delay,30,2026-08-18 09:27:43.25143,2026-08-18 09:27:43.25143
33,1,1,knowledge.knowledge_article_trash_limit_days,30,2026-08-18 09:28:02.004491,2026-08-18 09:28:02.004491
12,1,2,mail.restrict.template.rendering,True,2026-08-18 06:09:22.878829,2026-08-18 09:29:22.032391
36,2,2,discuss.tenor_content_filter,low,2026-08-18 09:29:22.032391,2026-08-18 09:29:22.032391
37,2,2,discuss.tenor_gif_limit,8,2026-08-18 09:29:22.032391,2026-08-18 09:29:22.032391
38,2,2,product.weight_in_lbs,0,2026-08-18 09:29:22.032391,2026-08-18 09:29:22.032391
39,2,2,product.volume_in_cubic_feet,0,2026-08-18 09:29:22.032391,2026-08-18 09:29:22.032391
40,2,2,barcode.max_time_between_keys_in_ms,100,2026-08-18 09:29:22.032391,2026-08-18 09:29:22.032391
41,2,2,base_geolocalize.geo_provider,1,2026-08-18 09:29:22.032391,2026-08-18 09:29:22.032391
42,2,2,crm.iap.lead.enrich.setting,auto,2026-08-18 09:29:22.032391,2026-08-18 09:29:22.032391
43,2,2,sale.invoiced_timesheet,approved,2026-08-18 09:29:22.032391,2026-08-18 09:29:22.032391
44,1,1,hr_expense.use_mailgateway,True,2026-08-18 09:35:57.024565,2026-08-18 09:35:57.024565
34,1,1,timesheet_grid.timesheet_rounding,15,2026-08-18 09:28:43.63803,2026-08-18 10:07:57.048152
35,1,1,timesheet_grid.timesheet_min_duration,15,2026-08-18 09:28:43.63803,2026-08-18 10:07:57.048152
45,2,2,partner_names_order,first_last,2026-08-18 10:24:25.003923,2026-08-18 10:24:25.003923
46,2,2,hr_fleet.delay_alert_contract,30,2026-08-23 05:46:21.133183,2026-08-23 05:46:21.133183
47,2,2,digital_signature.enable_options_po,True,2026-08-23 05:46:21.133183,2026-08-23 05:46:21.133183
48,2,2,digital_signature.enable_options_inventory,True,2026-08-23 05:46:21.133183,2026-08-23 05:46:21.133183
49,2,2,digital_signature.sign_applicable,picking_operations,2026-08-23 05:46:21.133183,2026-08-23 05:46:21.133183
54,1,1,base.image_autoresize_max_px,0,2026-08-24 07:17:07.507826,2026-08-24 07:17:07.507826
55,1,2,scgl.web.base.title,OCC GROUP,2026-08-24 10:03:31.680161,2026-08-24 10:04:57.376385
59,1,1,web.base.url.freeze,True,2026-08-25 17:17:00.665447,2026-08-25 17:17:00.665447
4,1,1,web.base.url,https://occ.smeplus.cloud,2026-08-18 06:08:59.75533,2026-08-25 17:17:00.665447
60,2,2,account.use_invoice_terms,True,2026-08-25 21:17:40.030994,2026-08-25 21:17:40.030994
61,92,92,ocn.uuid,f1cd83c0-6d3a-4785-9611-4943328a543d,2026-08-25 23:20:38.485311,2026-08-25 23:20:38.485311
62,92,92,odoo_ocn.project_id,186813708685,2026-08-25 23:20:38.485311,2026-08-25 23:20:38.485311
65,100,100,mail.web_push_vapid_private_key,aqxCuv3cnqtcEcINjczDRAvfTLRqejLq8Xj94nzxl5w,2026-08-27 02:26:17.132499,2026-08-27 02:26:17.132499
67,100,100,mail.web_push_vapid_public_key,BE7JUQgW5uSvcvgDJnD2TKH22uUPCTXtaF96F-eNOGmOJahIOsYjo5XFi3_-LtKfG-W_7z7OHQ_4SNg2VVubFyY,2026-08-27 02:26:17.132499,2026-08-27 02:26:17.132499
68,1,1,hr_referral.show_grass,True,2026-08-29 08:43:42.157975,2026-08-29 08:43:42.157975
14,1,1,auth_signup.invitation_scope,b2c,2026-08-18 06:09:29.661875,2026-08-29 09:00:58.963786
