id,sequence,parent_id,create_uid,write_uid,parent_path,web_icon,action,name,active,create_date,write_date,is_studio_configuration
1,550,\N,1,1,1/,"base,static/description/settings.png",\N,"{""en_US"": ""Settings"", ""th_TH"": ""การตั้งค่า""}",t,2026-08-18 06:08:59.75533,2026-08-18 06:08:59.75533,\N
2,50,1,1,1,1/2/,\N,\N,"{""en_US"": ""Custom Shortcuts"", ""th_TH"": ""ทางลัดกำหนดเอง""}",t,2026-08-18 06:08:59.75533,2026-08-18 06:08:59.75533,\N
3,1,1,1,1,1/3/,\N,\N,"{""en_US"": ""Users & Companies"", ""th_TH"": ""บริษัท""}",t,2026-08-18 06:08:59.75533,2026-08-18 06:08:59.75533,\N
345,30,95,1,1,1/8/95/345/,\N,"ir.actions.act_window,555","{""en_US"": ""Ratings"", ""th_TH"": ""การให้คะแนน""}",t,2026-08-18 06:36:30.35655,2026-08-18 06:36:30.35655,\N
4,2,1,1,1,1/4/,\N,\N,"{""en_US"": ""Translations"", ""th_TH"": ""การแปล""}",t,2026-08-18 06:08:59.75533,2026-08-18 06:08:59.75533,\N
139,2,315,1,1,315/139/,\N,\N,"{""en_US"": ""Customers"", ""th_TH"": ""ลูกค้า""}",t,2026-08-18 06:09:44.73875,2026-08-18 06:34:43.027999,\N
140,1,139,1,1,315/139/140/,\N,"ir.actions.act_window,264","{""en_US"": ""Invoices"", ""th_TH"": ""การแจ้งหนี้""}",t,2026-08-18 06:09:44.73875,2026-08-18 06:09:44.73875,\N
141,2,139,1,1,315/139/141/,\N,"ir.actions.act_window,265","{""en_US"": ""Credit Notes"", ""th_TH"": ""ใบลดหนี้""}",t,2026-08-18 06:09:44.73875,2026-08-18 06:09:44.73875,\N
5,4,4,1,1,1/4/5/,\N,\N,"{""en_US"": ""Application Terms"", ""th_TH"": ""ศัพท์แอพพลิเคชัน""}",t,2026-08-18 06:08:59.75533,2026-08-18 06:08:59.75533,\N
142,3,139,1,1,315/139/142/,\N,"ir.actions.act_window,270","{""en_US"": ""Receipts"", ""th_TH"": ""ใบเสร็จ""}",t,2026-08-18 06:09:44.73875,2026-08-18 06:09:44.73875,\N
143,15,139,1,1,315/139/143/,\N,"ir.actions.act_window,240","{""en_US"": ""Payments"", ""th_TH"": ""การชำระเงิน""}",t,2026-08-18 06:09:44.73875,2026-08-18 06:09:44.73875,\N
6,3,4,1,1,1/4/6/,\N,\N,"{""en_US"": ""Import / Export"", ""th_TH"": ""นำเข้า / ส่งออก""}",t,2026-08-18 06:08:59.75533,2026-08-18 06:08:59.75533,\N
144,100,139,1,1,315/139/144/,\N,"ir.actions.act_window,291","{""en_US"": ""Products"", ""th_TH"": ""สินค้า""}",t,2026-08-18 06:09:44.73875,2026-08-18 06:09:44.73875,\N
145,110,139,1,1,315/139/145/,\N,"ir.actions.act_window,300","{""en_US"": ""Customers"", ""th_TH"": ""ลูกค้า""}",t,2026-08-18 06:09:44.73875,2026-08-18 06:09:44.73875,\N
146,3,315,1,1,315/146/,\N,\N,"{""en_US"": ""Vendors"", ""th_TH"": ""ผู้จำหน่าย""}",t,2026-08-18 06:09:44.73875,2026-08-18 06:34:43.027999,\N
