id,parent_id,create_uid,write_uid,name,complete_name,parent_path,product_properties_definition,create_date,write_date,property_account_income_categ_id,property_account_expense_categ_id,removal_strategy_id,packaging_reserve_method,property_valuation,property_cost_method,property_stock_journal,property_stock_account_input_categ_id,property_stock_account_output_categ_id,property_stock_valuation_account_id,property_account_creditor_price_difference_categ,property_account_downpayment_categ_id,property_stock_account_production_cost_id,usage_type,active,show_on_product,scgl_allow_sale,scgl_allow_purchase,scgl_allow_expense
92,70,2,117,2100-02 Aggregate / Stone,ทั้งหมด / คชจ. / 2100 - มวลรวม / 2100-02 Aggregate / Stone,1/3/70/92/,\N,2026-08-24 08:38:51.693547,2026-08-25 12:16:47.729792,"{""1"": 272, ""2"": 403}","{""1"": 280, ""2"": 411, ""3"": 532, ""4"": 649}",\N,partial,\N,"{""1"": ""average""}",\N,"{""1"": 176, ""2"": 62, ""3"": 100, ""4"": 138}","{""1"": 701, ""2"": 702, ""3"": 703, ""4"": 704}","{""1"": 218, ""2"": 350, ""3"": 481, ""4"": 598}",\N,\N,\N,expense,t,t,t,t,t
99,73,2,117,2400-01 Electrical & Plumbing Material,ทั้งหมด / คชจ. / 2400 - วัสดุไฟฟ้าและประปา / 2400-01 Electrical & Plumbing Material,1/3/73/99/,\N,2026-08-24 08:38:53.669468,2026-08-25 12:21:35.335587,"{""1"": 272, ""2"": 403}","{""1"": 295, ""2"": 426, ""3"": 532, ""4"": 649}",\N,partial,\N,\N,\N,"{""1"": 176, ""2"": 62, ""3"": 100, ""4"": 138}","{""1"": 701, ""2"": 702, ""3"": 703, ""4"": 704}","{""1"": 169, ""2"": 55, ""3"": 481, ""4"": 598}",\N,\N,\N,expense,t,t,t,t,t
128,2,1,1,Booking Fees,ทั้งหมด / รายได้ / Booking Fees,1/2/128/,\N,2026-08-29 09:00:46.444004,2026-08-29 09:00:46.444004,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,t,t,t,t,t
91,70,2,117,2100-01 Sand,ทั้งหมด / คชจ. / 2100 - มวลรวม / 2100-01 Sand,1/3/70/91/,\N,2026-08-24 08:38:51.476087,2026-08-25 12:17:17.492153,"{""1"": 272, ""2"": 403}","{""1"": 279, ""2"": 410, ""3"": 532, ""4"": 649}",\N,partial,\N,"{""1"": ""average""}",\N,"{""1"": 176, ""2"": 62, ""3"": 100, ""4"": 138}","{""1"": 701, ""2"": 702, ""3"": 703, ""4"": 704}","{""1"": 217, ""2"": 349, ""3"": 481, ""4"": 598}",\N,\N,\N,expense,t,t,t,t,t
113,80,2,117,4400-01 Project Operating Expense,ทั้งหมด / คชจ. / 4400 - ค่าดำเนินงานโครงการ / 4400-01 Project Operating Expense,1/3/80/113/,\N,2026-08-24 08:38:58.001816,2026-08-25 12:23:14.874733,\N,"{""1"": 189, ""2"": 75, ""3"": 541, ""4"": 658}",\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,t,t,t,t
90,69,2,117,2000-04 Other Production Material - Raw Material,ทั้งหมด / คชจ. / 2000 - วัสดุก่อสร้าง / 2000-04 Other Production Material - Raw Material,1/3/69/90/,\N,2026-08-24 08:38:51.2599,2026-08-25 12:50:46.604175,"{""1"": 272, ""2"": 403}","{""3"": 532, ""4"": 649}",\N,partial,\N,"{""1"": ""average""}",\N,"{""1"": 176, ""2"": 62, ""3"": 100, ""4"": 138}","{""1"": 701, ""2"": 702, ""3"": 703, ""4"": 704}","{""1"": 169, ""2"": 55, ""3"": 481, ""4"": 598}",\N,\N,\N,expense,t,t,t,t,t
65,\N,2,2,Workforce,Workforce,65/,\N,2026-08-18 09:29:22.032391,2026-08-24 08:57:36.11656,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
93,70,2,117,2100-03 Fly Ash / Additive,ทั้งหมด / คชจ. / 2100 - มวลรวม / 2100-03 Fly Ash / Additive,1/3/70/93/,\N,2026-08-24 08:38:51.931311,2026-08-25 12:16:36.03491,"{""1"": 272, ""2"": 403}","{""1"": 282, ""2"": 413, ""3"": 532, ""4"": 649}",\N,partial,\N,"{""1"": ""average""}",\N,"{""1"": 176, ""2"": 62, ""3"": 100, ""4"": 138}","{""1"": 701, ""2"": 702, ""3"": 703, ""4"": 704}","{""1"": 220, ""2"": 352, ""3"": 481, ""4"": 598}",\N,\N,\N,expense,t,t,f,t,t
73,3,2,117,2400 - วัสดุไฟฟ้าและประปา,ทั้งหมด / คชจ. / 2400 - วัสดุไฟฟ้าและประปา,1/3/73/,\N,2026-08-24 08:38:48.753648,2026-08-25 12:21:42.448528,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,f,t,t,t
86,68,2,117,1000-01 Construction Service Revenue,ทั้งหมด / รายได้ / 1000 - รายได้งานรับเหมาก่อสร้าง / 1000-01 Construction Service Revenue,1/2/68/86/,\N,2026-08-24 08:38:50.286383,2026-08-25 12:24:39.567994,"{""3"": 525, ""4"": 642}",\N,\N,partial,\N,"{""1"": ""average""}",\N,\N,\N,\N,\N,\N,\N,saleable,t,t,t,t,t
