id,name,category_id,color,create_uid,write_uid,comment,share,create_date,write_date,api_key_duration
64,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",115,\N,1,1,\N,\N,2026-08-18 06:36:37.603062,2026-08-18 06:36:37.603062,\N
66,"{""en_US"": ""Use Rating on Project"", ""th_TH"": ""ใช้การให้คะแนนในโปรเจ็กต์""}",17,\N,1,1,\N,\N,2026-08-18 06:36:37.603062,2026-08-18 06:36:37.603062,\N
67,"{""en_US"": ""Use Stages on Project"", ""th_TH"": ""ใช้ขั้นตอนในโปรเจ็กต์""}",17,\N,1,1,\N,\N,2026-08-18 06:36:37.603062,2026-08-18 06:36:37.603062,\N
68,"{""en_US"": ""Use Recurring Tasks"", ""th_TH"": ""ใช้งานที่เกิดซ้ำ""}",17,\N,1,1,\N,\N,2026-08-18 06:36:37.603062,2026-08-18 06:36:37.603062,\N
69,"{""en_US"": ""Use Task Dependencies"", ""th_TH"": ""ใช้การขึ้นต่อกันของงาน""}",17,\N,1,1,\N,\N,2026-08-18 06:36:37.603062,2026-08-18 06:36:37.603062,\N
70,"{""en_US"": ""Use Milestones"", ""th_TH"": ""ใช้ไมล์สโตน""}",17,\N,1,1,\N,\N,2026-08-18 06:36:37.603062,2026-08-18 06:36:37.603062,\N
80,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",32,\N,1,1,\N,\N,2026-08-18 09:27:47.254749,2026-08-18 09:27:47.254749,\N
81,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",32,\N,1,1,\N,\N,2026-08-18 09:27:47.254749,2026-08-18 09:27:47.254749,\N
82,"{""en_US"": ""Show SLA Policies"", ""th_TH"": ""แสดงนโยบาย SLA""}",17,\N,1,1,\N,\N,2026-08-18 09:27:47.254749,2026-08-18 09:27:47.254749,\N
83,"{""en_US"": ""Show Customer Ratings"", ""th_TH"": ""แสดงการให้คะแนนของลูกค้า""}",17,\N,1,1,\N,\N,2026-08-18 09:27:47.254749,2026-08-18 09:27:47.254749,\N
84,"{""en_US"": ""Auto Assigment"", ""th_TH"": ""การมอบหมายอัตโนมัติ""}",17,\N,1,1,\N,\N,2026-08-18 09:27:47.254749,2026-08-18 09:27:47.254749,\N
20,"{""en_US"": ""Product Creation""}",161,\N,1,1,\N,\N,2026-08-18 06:09:33.341157,2026-08-18 06:09:33.341157,\N
93,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",63,\N,1,1,\N,\N,2026-08-18 09:28:49.226076,2026-08-18 10:08:00.905796,\N
110,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",52,\N,1,1,\N,\N,2026-08-18 09:35:57.024565,2026-08-18 10:07:24.370847,\N
109,"{""en_US"": ""All Approver"", ""th_TH"": ""ผู้อนุมัติทั้งหมด""}",52,\N,1,1,\N,\N,2026-08-18 09:35:57.024565,2026-08-18 10:07:24.370847,\N
108,"{""en_US"": ""Team Approver"", ""th_TH"": ""ผู้อนุมัติทีม""}",52,\N,1,1,\N,\N,2026-08-18 09:35:57.024565,2026-08-18 10:07:24.370847,\N
96,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",99,\N,1,1,\N,\N,2026-08-18 09:30:22.095914,2026-08-18 09:30:22.095914,\N
