id,product_id,lot_id,move_id,company_id,user_id,create_uid,write_uid,description,value,date,create_date,write_date
1,1,\N,\N,1,1,1,1,Price update from None to 0.0 by OdooBot,0.00,0001-01-01 00:00:00,2026-03-18 05:33:47.704597,2026-03-18 05:33:47.704597
2,2,\N,\N,1,1,1,1,Price update from None to 0.0 by OdooBot,0.00,0001-01-01 00:00:00,2026-03-18 05:33:47.704597,2026-03-18 05:33:47.704597
3,3,\N,\N,1,1,1,1,Price update from 0 to 1.0 by OdooBot,1.00,0001-01-01 00:00:00,2026-03-18 05:33:47.704597,2026-03-18 05:33:47.704597
4,4,\N,\N,1,1,1,1,Price update from None to 0.0 by OdooBot,0.00,0001-01-01 00:00:00,2026-03-18 05:33:47.704597,2026-03-18 05:33:47.704597
5,5,\N,\N,1,1,1,1,Price update from None to 0.0 by OdooBot,0.00,0001-01-01 00:00:00,2026-03-18 05:33:47.704597,2026-03-18 05:33:47.704597
6,6,\N,\N,1,1,1,1,Price update from None to 0.0 by OdooBot,0.00,0001-01-01 00:00:00,2026-03-18 05:33:47.704597,2026-03-18 05:33:47.704597
7,7,\N,\N,1,1,1,1,Price update from None to 0.0 by OdooBot,0.00,0001-01-01 00:00:00,2026-03-18 12:25:34.329804,2026-03-18 12:25:34.329804
8,8,\N,\N,1,1,1,1,Price update from None to 0.0 by OdooBot,0.00,0001-01-01 00:00:00,2026-03-18 12:25:37.400056,2026-03-18 12:25:37.400056
9,9,\N,\N,1,1,1,1,Price update from None to 0.0 by OdooBot,0.00,0001-01-01 00:00:00,2026-03-18 12:25:37.400056,2026-03-18 12:25:37.400056
10,10,\N,\N,1,1,1,1,Price update from None to 0.0 by OdooBot,0.00,0001-01-01 00:00:00,2026-03-18 12:25:37.400056,2026-03-18 12:25:37.400056
1270,\N,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:44:56,2026-03-31 07:44:56.356354,2026-03-31 07:44:56.356354
1274,\N,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:46:45,2026-03-31 07:46:45.737327,2026-03-31 07:46:45.737327
1464,1464,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1465,1465,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1466,1466,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1467,1467,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
19,19,\N,\N,1,2,2,2,Price update from None to 0.0 by Administrator,0.00,2026-03-30 04:16:43,2026-03-30 04:16:43.502286,2026-03-30 04:16:43.502286
20,20,\N,\N,1,2,2,2,Price update from None to 0.0 by Administrator,0.00,2026-03-30 04:16:43,2026-03-30 04:16:43.502286,2026-03-30 04:16:43.502286
1468,1468,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1469,1469,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1470,1470,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1471,1471,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1472,1472,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1474,1474,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1475,1475,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1476,1476,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1477,1477,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1478,1478,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1479,1479,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1480,1480,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1481,1481,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1482,1482,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1484,1484,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1485,1485,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1486,1486,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1487,1487,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1488,1488,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1489,1489,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1490,1490,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1491,1491,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1492,1492,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
4119,916,\N,\N,1,2,2,2,Price update from 0.0 to 200.0 by SOMCHART J.,200.00,2026-06-26 02:52:01,2026-06-26 02:51:48.991944,2026-06-26 02:51:48.991944
1494,1494,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1495,1495,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1496,1496,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
57,\N,\N,\N,1,2,2,2,Price update from None to 0.0 by Administrator,0.00,2026-03-30 04:16:44,2026-03-30 04:16:43.502286,2026-03-30 04:16:43.502286
58,\N,\N,\N,1,2,2,2,Price update from None to 0.0 by Administrator,0.00,2026-03-30 04:16:44,2026-03-30 04:16:43.502286,2026-03-30 04:16:43.502286
26,\N,\N,\N,1,2,2,2,Price update from None to 0.0 by Administrator,0.00,2026-03-30 04:16:43,2026-03-30 04:16:43.502286,2026-03-30 04:16:43.502286
27,\N,\N,\N,1,2,2,2,Price update from None to 0.0 by Administrator,0.00,2026-03-30 04:16:43,2026-03-30 04:16:43.502286,2026-03-30 04:16:43.502286
28,\N,\N,\N,1,2,2,2,Price update from None to 0.0 by Administrator,0.00,2026-03-30 04:16:43,2026-03-30 04:16:43.502286,2026-03-30 04:16:43.502286
29,\N,\N,\N,1,2,2,2,Price update from None to 0.0 by Administrator,0.00,2026-03-30 04:16:43,2026-03-30 04:16:43.502286,2026-03-30 04:16:43.502286
30,\N,\N,\N,1,2,2,2,Price update from None to 0.0 by Administrator,0.00,2026-03-30 04:16:43,2026-03-30 04:16:43.502286,2026-03-30 04:16:43.502286
31,\N,\N,\N,1,2,2,2,Price update from None to 0.0 by Administrator,0.00,2026-03-30 04:16:43,2026-03-30 04:16:43.502286,2026-03-30 04:16:43.502286
32,\N,\N,\N,1,2,2,2,Price update from None to 0.0 by Administrator,0.00,2026-03-30 04:16:43,2026-03-30 04:16:43.502286,2026-03-30 04:16:43.502286
1497,1497,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1498,1498,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1499,1499,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1473,\N,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
1483,\N,\N,\N,1,2,2,2,Price update from None to 0.0 by SOMCHART J.,0.00,2026-03-31 07:56:15,2026-03-31 07:56:14.831412,2026-03-31 07:56:14.831412
4120,917,\N,\N,1,2,2,2,Price update from 0.0 to 200.0 by SOMCHART J.,200.00,2026-06-26 02:52:01,2026-06-26 02:51:48.991944,2026-06-26 02:51:48.991944
4121,928,\N,\N,1,2,2,2,Price update from 0.0 to 200.0 by SOMCHART J.,200.00,2026-06-26 02:52:01,2026-06-26 02:51:48.991944,2026-06-26 02:51:48.991944
18,\N,\N,\N,1,2,2,2,Price update from None to 0.0 by Administrator,0.00,2026-03-30 04:14:26,2026-03-30 04:14:25.94007,2026-03-30 04:14:25.94007
17,\N,\N,\N,1,2,2,2,Price update from None to 0.0 by Administrator,0.00,2026-03-30 04:14:14,2026-03-30 04:14:14.375434,2026-03-30 04:14:14.375434
16,\N,\N,\N,1,2,2,2,Price update from None to 0.0 by Administrator,0.00,2026-03-30 04:14:06,2026-03-30 04:14:06.190512,2026-03-30 04:14:06.190512
11,\N,\N,\N,1,2,2,2,Price update from None to 0.0 by Administrator,0.00,2026-03-30 03:56:36,2026-03-30 03:56:36.826771,2026-03-30 03:56:36.826771
12,\N,\N,\N,1,2,2,2,Price update from None to 0.0 by Administrator,0.00,2026-03-30 04:13:17,2026-03-30 04:13:17.777471,2026-03-30 04:13:17.777471
13,\N,\N,\N,1,2,2,2,Price update from None to 0.0 by Administrator,0.00,2026-03-30 04:13:27,2026-03-30 04:13:27.872092,2026-03-30 04:13:27.872092
14,\N,\N,\N,1,2,2,2,Price update from None to 0.0 by Administrator,0.00,2026-03-30 04:13:42,2026-03-30 04:13:42.816052,2026-03-30 04:13:42.816052
15,\N,\N,\N,1,2,2,2,Price update from None to 0.0 by Administrator,0.00,2026-03-30 04:13:58,2026-03-30 04:13:58.494353,2026-03-30 04:13:58.494353
75,75,\N,\N,1,1,1,1,Price update from None to 0.0 by OdooBot,0.00,2026-03-30 06:57:49,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
76,76,\N,\N,1,1,1,1,Price update from None to 0.0 by OdooBot,0.00,2026-03-30 06:57:55,2026-03-30 06:57:54.559419,2026-03-30 06:57:54.559419
77,77,\N,\N,1,1,1,1,Price update from None to 0.0 by OdooBot,0.00,2026-03-30 06:57:56,2026-03-30 06:57:55.821417,2026-03-30 06:57:55.821417
78,78,\N,\N,1,1,1,1,Price update from None to 0.0 by OdooBot,0.00,2026-03-30 06:57:56,2026-03-30 06:57:55.821417,2026-03-30 06:57:55.821417
79,79,\N,\N,1,1,1,1,Price update from None to 0.0 by OdooBot,0.00,2026-03-30 06:57:56,2026-03-30 06:57:55.821417,2026-03-30 06:57:55.821417
80,80,\N,\N,1,1,1,1,Price update from None to 0.0 by OdooBot,0.00,2026-03-30 08:19:08,2026-03-30 08:19:02.866343,2026-03-30 08:19:02.866343
81,81,\N,\N,1,1,1,1,Price update from None to 0.0 by OdooBot,0.00,2026-03-30 08:19:08,2026-03-30 08:19:02.866343,2026-03-30 08:19:02.866343
