id,product_id,company_id,location_id,lot_id,package_id,owner_id,user_id,create_uid,write_uid,inventory_date,quantity,reserved_quantity,inventory_quantity,inventory_diff_quantity,inventory_quantity_set,in_date,create_date,write_date,accounting_date,expiration_date,removal_date
130364,250,1,5,\N,\N,\N,\N,2,42,2026-12-31,4.00,3.00,0.00,0.00,f,2026-06-26 06:37:09,2026-06-26 06:35:08.98363,2026-06-29 08:15:27.760212,\N,\N,\N
130277,2151,1,5,\N,\N,\N,\N,2,2,2026-12-31,104.00,37.00,0.00,0.00,f,2026-06-26 06:37:09,2026-06-26 06:35:08.98363,2026-07-31 10:36:08.811441,\N,\N,\N
130203,1160,1,5,\N,\N,\N,\N,2,2,2026-12-31,234.00,27.00,0.00,0.00,f,2026-06-26 06:37:08,2026-06-26 06:35:08.98363,2026-07-25 05:51:32.46487,\N,\N,\N
130396,835,1,5,\N,\N,\N,\N,2,2,2026-12-31,15.00,1.00,0.00,0.00,f,2026-06-26 06:37:09,2026-06-26 06:35:08.98363,2026-07-31 22:21:24.166364,\N,\N,\N
130158,809,1,5,\N,\N,\N,\N,2,2,2026-12-31,40.00,26.00,0.00,0.00,f,2026-06-26 06:37:08,2026-06-26 06:35:08.98363,2026-08-01 10:06:18.366366,\N,\N,\N
130204,1161,1,5,\N,\N,\N,\N,2,2,2026-12-31,106.00,46.00,0.00,0.00,f,2026-06-26 06:37:08,2026-06-26 06:35:08.98363,2026-08-01 23:36:30.170557,\N,\N,\N
130183,829,1,5,\N,\N,\N,\N,2,2,2026-12-31,96.00,64.00,0.00,0.00,f,2026-06-26 06:37:08,2026-06-26 06:35:08.98363,2026-08-02 06:36:41.207117,\N,\N,\N
130161,812,1,5,\N,\N,\N,\N,2,2,2026-12-31,102.00,43.00,0.00,0.00,f,2026-06-26 06:37:08,2026-06-26 06:35:08.98363,2026-08-02 16:36:13.645231,\N,\N,\N
130147,775,1,5,\N,\N,\N,\N,2,2,2026-12-31,161.00,52.00,0.00,0.00,f,2026-06-26 06:37:08,2026-06-26 06:35:08.98363,2026-08-03 05:06:14.109137,\N,\N,\N
130156,807,1,5,\N,\N,\N,\N,2,2,2026-12-31,33.00,17.00,0.00,0.00,f,2026-06-26 06:37:08,2026-06-26 06:35:08.98363,2026-07-26 06:36:41.598441,\N,\N,\N
132752,5867,1,5,\N,\N,\N,\N,2,2,2026-12-31,4050.00,0.00,0.00,0.00,f,2026-06-26 08:43:33,2026-06-26 08:43:32.293369,2026-06-26 08:43:33.615444,\N,\N,\N
132757,5869,1,11,\N,\N,\N,\N,2,2,\N,-600.00,0.00,\N,0.00,f,2026-06-26 08:45:59,2026-06-26 08:45:59.162,2026-06-26 08:45:59.162,\N,\N,\N
132756,5869,1,5,\N,\N,\N,\N,2,2,2026-12-31,600.00,0.00,0.00,0.00,f,2026-06-26 08:45:59,2026-06-26 08:45:59.065568,2026-06-26 08:45:59.162,\N,\N,\N
130700,1156,1,5,\N,\N,\N,\N,2,2,2026-12-31,2.00,1.00,0.00,0.00,f,2026-06-26 06:37:10,2026-06-26 06:35:08.98363,2026-07-05 17:36:42.172033,\N,\N,\N
132496,1938,1,5,\N,\N,\N,\N,2,46,2026-12-31,11.00,2.00,0.00,0.00,f,2026-06-26 07:33:14,2026-06-26 07:32:51.75853,2026-06-30 08:40:07.557949,\N,\N,\N
130276,2150,1,5,\N,\N,\N,\N,2,2,2026-12-31,210.00,31.00,0.00,0.00,f,2026-06-26 06:37:09,2026-06-26 06:35:08.98363,2026-07-26 14:36:13.927075,\N,\N,\N
130181,827,1,5,\N,\N,\N,\N,2,2,2026-12-31,74.00,74.00,0.00,0.00,f,2026-06-26 06:37:08,2026-06-26 06:35:08.98363,2026-07-27 02:51:58.838276,\N,\N,\N
130432,1484,1,5,\N,\N,\N,\N,2,2,2026-12-31,9.00,2.00,0.00,0.00,f,2026-06-26 06:37:09,2026-06-26 06:35:08.98363,2026-07-06 13:22:10.226954,\N,\N,\N
130065,634,1,5,\N,\N,\N,\N,2,61,2026-12-31,115.00,0.00,0.00,0.00,f,2026-06-26 06:37:08,2026-06-26 06:35:08.98363,2026-06-30 08:40:08.684148,\N,\N,\N
130041,1612,1,5,\N,\N,\N,\N,2,61,2026-12-31,1.00,1.00,0.00,0.00,f,2026-06-26 06:37:08,2026-06-26 06:35:08.98363,2026-06-30 08:40:08.684148,\N,\N,\N
132705,5847,1,5,\N,\N,\N,\N,2,2,2026-06-26,\N,0.00,3.00,3.00,t,2026-06-26 08:23:55,2026-06-26 08:23:52.780922,2026-06-26 08:23:52.780922,\N,\N,\N
132706,5848,1,5,\N,\N,\N,\N,2,2,2026-06-26,\N,0.00,1.00,1.00,t,2026-06-26 08:23:55,2026-06-26 08:23:52.780922,2026-06-26 08:23:52.780922,\N,\N,\N
132707,5825,1,5,\N,\N,\N,\N,2,2,2026-06-26,\N,0.00,482.00,482.00,t,2026-06-26 08:23:55,2026-06-26 08:23:52.780922,2026-06-26 08:23:52.780922,\N,\N,\N
132708,5851,1,5,\N,\N,\N,\N,2,2,2026-06-26,\N,0.00,451.00,451.00,t,2026-06-26 08:23:55,2026-06-26 08:23:52.780922,2026-06-26 08:23:52.780922,\N,\N,\N
132709,5849,1,5,\N,\N,\N,\N,2,2,2026-06-26,\N,0.00,482.00,482.00,t,2026-06-26 08:23:55,2026-06-26 08:23:52.780922,2026-06-26 08:23:52.780922,\N,\N,\N
