id,ir_actions_server_id,user_id,interval_number,priority,failure_count,create_uid,write_uid,cron_name,interval_type,active,nextcall,lastcall,first_failure_date,create_date,write_date
27,389,1,1,5,0,1,1,automatic invoicing: send ready invoice,days,f,2026-03-18 05:04:35,\N,\N,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
28,390,1,1,5,0,1,1,Sales: Send pending emails,days,f,2026-03-18 05:04:35,\N,\N,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
33,443,1,9999,5,0,1,1,AI Embedding: Generate Embeddings,months,t,2859-06-18 05:04:47,2026-03-18 05:06:34,\N,2026-03-18 05:04:43.422975,2026-03-29 06:22:28.742976
4,134,1,1,1000,1,1,1,Publisher: Update Notification,weeks,t,2026-04-01 05:03:45,2026-03-25 05:03:54,2026-03-25 05:03:54,2026-03-18 05:03:38.577538,2026-03-18 05:03:38.577538
26,364,1,1,5,0,1,1,Generate or refresh account return for every companies,days,t,2026-04-01 06:24:49,2026-03-31 06:24:54,\N,2026-03-18 05:04:27.13783,2026-03-29 06:24:47.586321
41,612,1,1,5,0,1,1,Stock Account: Inventory Valuation Closing,days,t,2026-04-01 05:31:09,2026-03-31 05:31:12,\N,2026-03-18 05:31:08.152547,2026-03-18 05:31:08.152547
6,136,1,5,5,0,1,1,Mail: Fetchmail Service,minutes,f,2026-03-18 05:03:45,\N,\N,2026-03-18 05:03:38.577538,2026-03-18 05:03:38.577538
42,627,1,1,5,0,1,1,Purchase reminder,days,t,2026-04-01 05:32:14,2026-03-31 05:32:21,\N,2026-03-18 05:32:08.430974,2026-03-18 05:32:08.430974
17,305,1,1,5,0,1,1,Account: Post draft entries with auto_post enabled and accounting date up to today,days,t,2026-04-01 02:00:54,2026-03-31 02:01:12,\N,2026-03-18 05:04:07.882243,2026-03-29 06:22:49.558331
29,418,1,1,5,0,1,1,Account Report Followup; Execute followup,days,t,2026-04-01 02:00:54,2026-03-31 02:01:12,\N,2026-03-18 05:04:37.883567,2026-03-29 06:24:53.886516
43,686,1,1,5,0,1,1,HR Employee: Notify Expiring Contract or Work Permit,days,t,2026-04-01 05:33:46,2026-03-31 05:33:47,\N,2026-03-18 05:33:40.052078,2026-03-18 05:33:40.052078
38,456,1,1,5,0,1,2,CRM: Lead Assignment,days,f,2026-03-31 09:12:58,\N,\N,2026-03-18 05:05:38.118228,2026-03-30 09:13:00.257097
37,453,1,1,5,0,1,1,Predictive Lead Scoring: Recompute Automated Probabilities,days,f,2026-03-18 05:05:39,\N,\N,2026-03-18 05:05:38.118228,2026-03-29 06:22:55.489688
44,687,1,1,5,0,1,1,HR Employee: Update Current Version,days,t,2026-04-01 05:33:46,2026-03-31 05:33:47,\N,2026-03-18 05:33:40.052078,2026-03-18 05:33:40.052078
22,335,1,5,5,0,1,1,Account: Journal online Waiting Synchronization,minutes,f,2026-03-18 05:04:26,\N,\N,2026-03-18 05:04:25.828127,2026-03-18 05:04:25.828127
46,710,1,1,5,0,1,1,Skills: Add an activity to employees with missing or expiring certifications,days,t,2026-04-01 05:33:53,2026-03-31 05:34:39,\N,2026-03-18 05:33:52.086694,2026-03-29 06:23:20.852916
45,688,1,1,5,0,1,1,HR Expense: Send Submitted Expenses Mail,weeks,t,2026-04-01 05:33:49,2026-03-25 05:33:56,\N,2026-03-18 05:33:47.704597,2026-03-29 06:23:17.433729
