id,create_uid,create_date,write_date,write_uid,website,summary,name,author,icon,state,latest_version,shortdesc,category_id,description,application,demo,web,license,sequence,auto_install,to_buy,maintainer,published_version,url,contributors,menus_by_module,reports_by_module,views_by_module,module_type,imported
1497,1,2026-03-29 10:48:55.475382,2026-03-29 10:48:55.475382,1,,"{""en_US"": """"}",web_100,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Web""}",11,"{""en_US"": ""\\nOdoo Web core module.\\n========================\\n\\nThis module provides the core of the Odoo Web Client.\\n""}",f,f,f,LGPL-3,100,t,f,\N,\N,,\N,,,,\N,\N
950,\N,\N,2026-03-29 06:23:02.034856,1,,"{""en_US"": ""A payment provider for custom flows like wire transfers.""}",payment_custom,Odoo S.A.,/payment_custom/static/description/icon.png,installed,19.0.2.0,"{""en_US"": ""Payment Provider: Custom Payment Modes""}",108,"{""en_US"": """"}",f,f,f,LGPL-3,350,f,f,\N,\N,,\N,,,* INHERIT Custom Provider Form (form)\n* INHERIT custom_state_header (qweb)\n* INHERIT payment_custom.payment_method_form (qweb)\n* INHERIT payment_custom.token_form (qweb)\nredirect_form (qweb),official,\N
259,\N,\N,2026-03-29 06:22:57.508173,1,https://www.odoo.com/app/employees,"{""en_US"": ""Centralize employee information""}",hr,Odoo S.A.,/hr/static/description/icon.png,installed,19.0.1.1,"{""en_US"": ""Employees""}",52,"{""en_US"": ""Odoo Human Resources\\n--------------------\\n\\nWith Odoo <a href=\\""https://www.odoo.com/app/employees\\"">Human Resources</a>,\\nmanage the most important asset in your company: People\\n\\nGet all your HR operations managed easily: knowledge sharing, recruitments,\\nappraisals, timesheets, contracts, attendances, payroll, etc.\\n\\nEach need is provided by a specific app that you activate on demand.\\n\\nManage Your Employees\\n---------------------\\n\\nOversee all important information in your company address book. Some\\ninformation are restricted to HR managers, others are public to easily look\\ncolleagues.\\n\\nRecord employee contracts and get alerts when they have to be renewed.\\n\\nStreamline Your Recruitment Process\\n-----------------------------------\\n\\nIndex resumes, track applicants, search profiles with <a href=\\""https://www.odoo.com/app/employees\\"">Odoo HR</a>.\\n\\nPost job offers and keep track of each application received. Follow applicants\\nin your recruitment process with the smart kanban view.\\n\\nSave time by automating some communications with email templates. Resumes are\\nindexed automatically, allowing you to easily find for specific profiles.\\n\\nEnterprise Social Network\\n-------------------------\\n\\nBreak down information silos. Share knowledge and best practices amongst all\\nemployees. Follow specific people or documents and join groups of interests to\\nshare expertise and documents.\\n\\nInteract with your coworkers in real time with website live chat.\\n\\nTrack time and attendances\\n--------------------------\\n\\nKeep track of the time spent by project, client or task. It's easy to record\\ntimesheets or check attendances for each employee. Get your analytic accounting\\nposted automatically based on time spent on your projects.\\n\\nTime Off Management\\n-------------------\\n\\nKeep track of the vacation days accrued by each employee. Employees enter their\\nrequests (paid time off, sick time off, etc), for managers to approve and\\nvalidate. It's all done in just a few clicks. The agenda of each employee is\\nupdated accordingly.\\n\\nKeep Track of Employee Expenses\\n-------------------------------\\n\\nGet rid of the paper work and follow employee's expenses directly in Odoo.\\nDon't loose time or money by controlling the full flow: expense validation,\\nreimbursement of employees, posting in the accounting and re-invoicing to\\ncustomers.\\n\\nFollow Periodic Appraisals\\n--------------------------\\n\\nSet-up appraisals plans and/or surveys for your employees and watch their\\nevolution. Define steps for interviews and Odoo will notify managers or\\nsubordinates automatically to prepare appraisals. Keep track of the progress of\\nyour staff periodically.\\n\\nBoost Engagement With Gamification\\n----------------------------------\\n\\n### Define clear objective and provide real time feedback\\n\\nInspire achievement with challenges, goals and rewards. Define clear objectives\\nand provide real time feedback and tangible results. Showcase the top\\nperformers to the entire channel and publicly recognize a job well done.\\n\\n### Leaderboards\\n\\nPromote leaders and competition amongst Sales Team with performance ratios.\\n\\n### Personal Objectives\\n\\nAssign clear goals to users to align them with the company objectives.\\n\\n### Team Targets\\n\\nCompare revenues with forecasts and budgets in real time.\\n\\n""}",t,f,f,LGPL-3,95,f,f,\N,\N,,\N,Employees\nEmployees/Configuration\nEmployees/Configuration/Employee\nEmployees/Configuration/Employee/Departure Reasons\nEmployees/Configuration/Employee/Onboarding / Offboarding\nEmployees/Configuration/Employee/Tags\nEmployees/Configuration/Employee/Work Locations\nEmployees/Configuration/Employee/Working Schedules\nEmployees/Configuration/Recruitment\nEmployees/Configuration/Recruitment/Contract Templates\nEmployees/Configuration/Recruitment/Employment Types\nEmployees/Configuration/Recruitment/Job Positions\nEmployees/Configuration/Settings\nEmployees/Departments\nEmployees/Directory\nEmployees/Employees\nEmployees/Human Resources\nEmployees/Reporting,Print Badge,* INHERIT discuss.channel.view.form.inherit.hr (form)\n* INHERIT mail.activity.plan.template.view.form.inherit.hr (form)\n* INHERIT mail.activity.plan.view.form.hr.employee (form)\n* INHERIT mail.activity.plan.view.form.inherit.hr (form)\n* INHERIT mail.activity.plan.view.list.inherit.hr (list)\n* INHERIT mail.activity.schedule.view.form.inherit.hr (form)\n* INHERIT res.config.settings.view.form.inherit.hr (form)\n* INHERIT res.partner.bank.form.inherit.hr (form)\n* INHERIT res.partner.search.inherit (search)\n* INHERIT res.partner.view.form.inherit.hr (form)\n* INHERIT res.users.form.inherit (form)\n* INHERIT res.users.preferences.form.inherit (form)\n* INHERIT res.users.preferences.form.resource (form)\n* INHERIT res.users.preferences.form.simplified.inherit (form)\n* INHERIT view.employee.form.smartbutton.inherited (form)\n* INHERIT view.users.simple.form.hr (form)\n* INHERIT view.users.simple.form.inherit.hr (form)\nhr.bank.account.allocation.wizard.form (form)\nhr.bank.account.allocation.wizard.line.list (list)\nhr.contract.template.form (form)\nhr.contract.template.list (list)\nhr.contract.type form (form)\nhr.contract.type list (list)\nhr.department.form (form)\nhr.department.kanban (kanban)\nhr.department.list (list)\nhr.department.search (search)\nhr.departure.reason form (form)\nhr.departure.reason list (list)\nhr.departure.wizard.view.form (form)\nhr.employee.activity (activity)\nhr.employee.category.form (form)\nhr.employee.category.list (list)\nhr.employee.form (form)\nhr.employee.kanban (kanban)\nhr.employee.kanban (kanban)\nhr.employee.list (list)\nhr.employee.list (list)\nhr.employee.list (list)\nhr.employee.list.activites.view (list)\nhr.employee.public.form (form)\nhr.employee.search (search)\nhr.employee.search (search)\nhr.employee.view.graph (graph)\nhr.employee.view.pivot (pivot)\nhr.job.form (form)\nhr.job.kanban (kanban)\nhr.job.list (list)\nhr.job.search (search)\nhr.version.graph (graph)\nhr.version.list (list)\nhr.version.pivot (pivot)\nhr.version.search (search)\nhr.version.wizard.view.form (form)\nhr.work.location.view.form (form)\nhr.work.location.view.list (list)\nhr_employee_plan_activity_summary (qweb)\nprint_employee_badge (qweb),official,\N
82,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": ""Implementation of AI server actions""}",ai_server_actions,Odoo S.A.,/base/static/description/icon.png,installed,19.0.0.1,"{""en_US"": ""ai_server_actions""}",11,"{""en_US"": ""This module allows you to update record fields with AI, in server actions.""}",f,f,f,LGPL-3,100,t,f,\N,\N,,\N,,,* INHERIT ir.actions.server.form.ai_server_actions (form),official,\N
106,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": ""Implement basic password policy configuration & check""}",auth_password_policy,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Password Policy""}",20,"{""en_US"": """"}",f,f,f,LGPL-3,100,f,f,\N,\N,\N,\N,,,,official,\N
38,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": ""Manage accounting with fleets""}",account_fleet,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Accounting/Fleet bridge""}",3,"{""en_US"": """"}",f,f,f,LGPL-3,100,t,f,\N,\N,\N,\N,,,,official,\N
980,\N,\N,2026-03-30 06:57:50.487212,1,,"{""en_US"": ""This module enables product creation by scanning barcodes with a camera, utilizing the Barcode Lookup API Key.""}",pos_barcodelookup,Odoo S.A.,/base/static/description/icon.png,installed,19.0.1.0,"{""en_US"": ""POS - Barcode Lookup""}",77,"{""en_US"": """"}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,,,* INHERIT product.product.view.form.normalized.pos.barcodelookup.inherit (form)\n* INHERIT product.template.view.form.normalized (form),official,\N
991,\N,\N,2026-03-30 06:57:52.752048,1,,"{""en_US"": ""Link module between Point of Sale and HR""}",pos_hr,Odoo S.A.,/base/static/description/icon.png,installed,19.0.1.0,"{""en_US"": ""POS - HR""}",77,"{""en_US"": ""\\nThis module allows Employees (and not users) to log in to the Point of Sale application using a barcode, a PIN number or both.\\nThe actual till still requires one user but an unlimited number of employees can log on to that till and process sales.\\n""}",f,f,f,LGPL-3,100,t,f,\N,\N,\N,\N,,,* INHERIT pos.config.form.view.inherit (form)\n* INHERIT pos.daily.sales.reports.wizard.form.inherit (form)\n* INHERIT pos.order.form.inherit (form)\n* INHERIT pos.order.list.inherit (list)\n* INHERIT pos.order.list.select.inherit (search)\n* INHERIT pos.payment.list.inherit (list)\n* INHERIT pos_hr.report_salesdetails_with_employee_reports (qweb)\n* INHERIT pos_hr.single_employee_sales_report (qweb)\n* INHERIT report.pos.order.search.inherit (search)\n* INHERIT report.pos.order.view.list.inherit.pos.hr (list)\n* INHERIT res.config.settings.view.form.inherit.pos_hr (form),official,\N
1005,\N,\N,2026-03-30 06:57:53.78755,1,,"{""en_US"": """"}",pos_online_payment,Odoo S.A.,/base/static/description/icon.png,installed,19.0.1.0,"{""en_US"": ""Point of Sale online payment""}",8,"{""en_US"": """"}",f,f,f,LGPL-3,100,t,f,\N,\N,\N,\N,,,* INHERIT payment.transaction.form (form)\n* INHERIT pos.payment.form (form)\n* INHERIT pos.payment.method.form.inherit.pos_online_payment (form)\n* INHERIT pos.payment.method.list.inherit.pos_online_payment (list)\n* INHERIT res.config.settings.view.form.inherit.pos.online.payment (form)\n* INHERIT view.account.payment.form.inherit.pos_online_payment (form)\npay (qweb)\npay_confirmation (qweb)\npay_summary (qweb),official,\N
992,\N,\N,2026-03-30 06:57:54.397911,1,,"{""en_US"": ""POS Barcode scan in Mobile""}",pos_hr_mobile,Odoo S.A.,/base/static/description/icon.png,installed,19.0.1.0,"{""en_US"": ""POS Barcode in Mobile""}",110,"{""en_US"": """"}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,,,,official,\N
