id,ir_actions_server_id,user_id,interval_number,numbercall,priority,create_uid,write_uid,interval_type,cron_name,active,doall,nextcall,lastcall,create_date,write_date
5,128,1,5,-1,5,1,1,minutes,"{""en_US"": ""Mail: Fetchmail Service""}",f,f,2023-06-20 04:01:48,\N,2023-06-20 04:01:42.817387,2023-06-20 04:01:42.817387
14,283,1,1,-1,5,1,1,days,"{""en_US"": ""EDI : Perform web services operations""}",f,\N,2023-06-20 04:02:13,\N,2023-06-20 04:02:12.5359,2023-06-20 04:02:12.5359
19,297,1,1,-1,5,1,1,days,"{""en_US"": ""automatic invoicing: send ready invoice""}",f,\N,2023-06-20 04:02:19,\N,2023-06-20 04:02:17.673357,2023-06-20 04:02:17.673357
42,961,1,1,-1,5,1,2,weeks,"{""en_US"": ""Auto-generate date ranges""}",t,f,2026-07-15 05:53:05,2026-07-08 05:53:05,2023-09-16 05:53:02.846333,2023-09-21 06:36:22.252023
1,33,1,1,-1,5,1,2,weeks,"{""en_US"": ""Base: Auto-vacuum internal data""}",t,\N,2026-07-16 03:55:29,2026-07-09 03:55:29,2023-06-20 03:55:19.517597,2023-09-21 06:38:22.77943
31,622,1,1,-1,4,1,2,months,"{""en_US"": ""HR Contract: update state"", ""th_TH"": ""สัญญา HR: สถานะอัปเดต""}",t,\N,2026-07-20 04:08:21,2026-06-20 04:08:21,2023-06-20 04:08:20.998127,2023-11-16 08:57:06.221716
20,319,1,1,-1,5,1,1,days,"{""en_US"": ""Calendar: Event Reminder"", ""th_TH"": ""ปฏิทิน: การแจ้งเตือนอีเวนต์""}",t,f,2026-07-12 04:04:28,2026-07-11 04:04:32,2023-06-20 04:04:26.694345,2023-06-20 04:04:26.694345
22,328,1,1,-1,5,1,2,\N,"{""en_US"": ""CRM: Lead Assignment"", ""th_TH"": ""CRM: การมอบหมายลูกค้าเป้าหมาย""}",f,f,2023-06-20 04:04:32,\N,2023-06-20 04:04:30.343186,2023-08-02 08:14:03.34302
21,324,1,1,-1,5,1,1,days,"{""en_US"": ""Predictive Lead Scoring: Recompute Automated Probabilities"", ""th_TH"": ""การให้คะแนนลูกค้าเป้าหมายที่คาดการณ์ได้: คำนวณความน่าจะเป็นอัตโนมัติใหม่""}",f,f,2023-06-20 04:04:32,\N,2023-06-20 04:04:30.343186,2023-06-20 04:04:30.343186
36,770,1,240,-1,5,1,2,minutes,"{""en_US"": ""Base Action Rule: check and execute""}",f,f,2023-09-05 03:33:49,\N,2023-09-05 03:33:48.733662,2023-09-07 05:23:28.865696
25,447,1,1,-1,5,1,1,days,"{""en_US"": ""Try to reconcile automatically your statement lines""}",t,\N,2026-07-12 04:05:24,2026-07-11 04:05:24,2023-06-20 04:05:22.368554,2023-09-05 08:03:50.15137
26,458,1,5,-1,5,1,2,days,"{""en_US"": ""Account automatic transfers : Perform transfers""}",t,\N,2026-07-12 04:05:26,2026-07-07 04:05:34,2023-06-20 04:05:25.384537,2023-09-21 06:38:12.945618
18,289,1,1,-1,3,1,1,days,"{""en_US"": ""Currency: rate update"", ""th_TH"": ""สกุลเงิน: อัปเดตอัตรา""}",t,f,2026-07-11 23:00:00,2026-07-10 23:00:03,2023-06-20 04:02:15.204415,2025-12-29 07:46:41.118209
9,189,1,1,-1,5,1,2,days,"{""en_US"": ""SMS: SMS Queue Manager""}",t,f,2026-07-11 12:01:59,2026-07-10 12:02:10,2023-06-20 04:01:58.364544,2023-09-21 06:38:54.996682
27,467,1,12,-1,5,1,1,hours,"{""en_US"": ""Account: Journal online sync""}",t,f,2026-07-11 16:05:27,2026-07-11 04:05:28,2023-06-20 04:05:27.211611,2023-09-05 08:03:55.920303
