id,company_id,product_id,stock_valuation_layer_id,stock_move_id,account_move_id,account_move_line_id,create_uid,write_uid,description,quantity,unit_cost,value,remaining_qty,remaining_value,create_date,write_date,price_diff_value,stock_landed_cost_id
115,1,1459,\N,216,\N,\N,2,2,Product Quantity Updated - กระสอบพีพีใส100% ลามิเนต 2 หน้า (AL YASMIN-ALIMENTOS),-5150.000000,0.00,0.00,0.000000,\N,2023-10-03 05:24:24.065548,2023-10-03 05:24:24.065548,\N,\N
114,1,1459,\N,214,\N,\N,2,2,Product Quantity Updated - กระสอบพีพีใส100% ลามิเนต 2 หน้า (AL YASMIN-ALIMENTOS),5150.000000,0.00,0.00,0.000000,0.00,2023-10-03 05:20:43.898416,2023-10-03 05:24:24.065548,\N,\N
2229,1,12178,\N,2425,\N,\N,36,36,WH/IN/00551 - กระบอกลม SDAW 40x20x15-B,6.000000,1550.00,9300.00,6.000000,9300.00,2023-11-27 01:21:28.86049,2023-11-27 01:21:28.86049,\N,\N
63894,1,13766,\N,103493,\N,\N,36,36,WH/IN/08754 - ปลอกสี,10.000000,15.00,150.00,10.000000,150.00,2025-12-17 03:31:26.606669,2025-12-17 03:31:26.606669,\N,\N
537,1,8251,494,\N,1069,2341,26,26,AP2023100086 (HS3100201) - สีรองพื้นกันสนิม,0.000000,0.00,1250.00,0.000000,0.00,2023-10-11 05:00:53.231597,2023-10-11 05:00:53.231597,0,\N
572,1,11367,\N,715,\N,\N,36,36,WH/IN/00175 - แก๊ส,3.000000,425.60,1276.80,3.000000,1276.80,2023-10-16 01:07:55.327333,2023-10-16 01:07:55.327333,\N,\N
1506,1,11714,\N,2755,\N,\N,220,220,WH/MO/00127/SWR-002 - ชั่วโมงการผลิต,-1.000000,200.00,-200.00,0.000000,\N,2023-11-16 07:59:54.269991,2023-11-16 07:59:54.269991,\N,\N
1006,1,8611,\N,1358,\N,\N,36,36,WH/IN/00438 - ถุงขยะดำ 36x45 นิ้ว,25.000000,36.00,900.00,25.000000,900.00,2023-11-03 10:04:57.359189,2023-11-03 10:04:57.359189,\N,\N
119,1,1531,\N,222,651,\N,2,2,Product Quantity Updated - กระสอบพีพีขาว 100% (GOLDEN J.R.) (Red),267.000000,4.90,1308.30,267.000000,1308.30,2023-10-03 06:58:54.169129,2023-10-03 06:58:54.169129,\N,\N
18892,1,13536,\N,28648,\N,\N,36,36,WH/IN/02707 - งานแสดงสินค้า-THAIFEX2567,1.000000,0.00,0.00,1.000000,0.00,2024-06-03 06:13:22.579916,2024-06-03 06:13:22.579916,\N,\N
1867,1,577,\N,2418,6066,\N,39,39,WH/IN/00546 - กระสอบพีพีขาว 100% (ZAM ZAM),1050.000000,5.10,5355.00,0.000000,0.00,2023-11-21 01:24:33.450672,2024-01-11 06:52:50.730517,\N,\N
590,1,958,\N,719,1946,\N,212,220,WH/IN/00178 - วัตถุดิบ-ข้าวหอมมะลิอีสาน66,56731.000000,30.00,1701930.00,0.000000,0.00,2023-10-16 12:23:44.227482,2023-11-14 08:16:11.77721,\N,\N
