id,create_uid,write_uid,key,value,create_date,write_date
5,1,1,base.login_cooldown_after,10,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
6,1,1,base.login_cooldown_duration,60,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
7,1,1,base.template_portal_user_id,4,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
8,1,1,base.default_max_email_size,10,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
1,1,1,database.secret,21ad62ba-9769-4cb6-a045-167a64cff5d9,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
2,1,1,database.uuid,a1430edc-0033-11f1-97d1-026da7621cc9,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
3,1,1,database.create_date,2026-02-02 12:35:17,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
9,1,1,base_setup.show_effect,True,2026-02-02 12:35:23.640206,2026-02-02 12:35:23.640206
10,1,1,mail.activity.gc.delete_overdue_years,3,2026-02-02 12:45:16.389543,2026-02-02 12:45:16.389543
12,1,1,analytic.project_plan,1,2026-02-02 12:45:25.688491,2026-02-02 12:45:25.688491
13,1,1,auth_signup.invitation_scope,b2c,2026-02-02 12:45:26.773096,2026-02-02 12:45:26.773096
14,1,1,auth_signup.reset_password,True,2026-02-02 12:45:26.773096,2026-02-02 12:45:26.773096
15,1,1,iap_extract_endpoint,https://extract.api.odoo.com,2026-02-02 12:45:35.262542,2026-02-02 12:45:35.262542
16,1,1,mail_mobile.enable_ocn,True,2026-02-02 12:45:35.382685,2026-02-02 12:45:35.382685
17,1,1,digest.default_digest_emails,True,2026-02-02 12:45:41.404602,2026-02-02 12:45:41.404602
18,1,1,digest.default_digest_id,1,2026-02-02 12:45:41.404602,2026-02-02 12:45:41.404602
19,1,1,account_accountant.bank_rec_payment_tolerance,0.00,2026-02-02 12:46:00.3669,2026-02-02 12:46:00.3669
20,1,1,account_payment.enable_portal_payment,True,2026-02-02 12:46:04.560968,2026-02-02 12:46:04.560968
21,1,1,account_online_synchronization.proxy_mode,production,2026-02-02 12:46:07.904296,2026-02-02 12:46:07.904296
22,1,1,account_online_synchronization.request_timeout,60,2026-02-02 12:46:07.904296,2026-02-02 12:46:07.904296
23,1,1,sale.default_confirmation_template,22,2026-02-02 12:46:16.192353,2026-02-02 12:46:16.192353
24,1,1,sale.default_invoice_email_template,9,2026-02-02 12:46:16.192353,2026-02-02 12:46:16.192353
25,1,1,sale.async_emails,False,2026-02-02 12:46:16.192353,2026-02-02 12:46:16.192353
26,1,1,calendar.default_privacy,public,2026-02-02 12:47:09.008714,2026-02-02 12:47:09.008714
27,1,1,crm.pls_fields,"phone_state,email_state,state_id,country_id,source_id,lang_id,tag_ids",2026-02-02 12:47:15.861119,2026-02-02 12:47:15.861119
28,1,1,crm.pls_start_date,2026-01-25,2026-02-02 12:47:15.861119,2026-02-02 12:47:15.861119
29,1,1,stock.barcode_separator,",",2026-02-02 12:48:32.885425,2026-02-02 12:48:32.885425
33,1,1,hr_expense.use_mailgateway,True,2026-02-02 12:51:15.626366,2026-02-02 12:51:15.626366
34,1,1,knowledge.knowledge_article_trash_limit_days,30,2026-02-02 12:52:14.004407,2026-02-02 12:52:14.004407
11,1,2,mail.restrict.template.rendering,True,2026-02-02 12:45:16.389543,2026-02-02 12:57:21.114861
35,2,2,product.weight_in_lbs,0,2026-02-02 12:57:21.114861,2026-02-02 12:57:21.114861
36,2,2,product.volume_in_cubic_feet,0,2026-02-02 12:57:21.114861,2026-02-02 12:57:21.114861
37,2,2,account.use_invoice_terms,True,2026-02-02 12:57:21.114861,2026-02-02 12:57:21.114861
38,2,2,crm.iap.lead.enrich.setting,auto,2026-02-02 12:57:21.114861,2026-02-02 12:57:21.114861
39,2,2,barcode.max_time_between_keys_in_ms,100,2026-02-02 12:57:21.114861,2026-02-02 12:57:21.114861
40,2,2,mail.web_push_vapid_private_key,433svl7J3KftiXvi-_5vsOCeI4T2ZOpKtoT9Rs37k7k,2026-02-03 08:23:09.204157,2026-02-03 08:23:09.204157
42,2,2,mail.web_push_vapid_public_key,BKHiZ6cWUBBHNzOGTnv7z7m9zX91tT1cERB7bn2R2Bxltr6aUakIqAcTljV1G98z939ifxQVlpTYmxrOruSTTl8,2026-02-03 08:23:09.204157,2026-02-03 08:23:09.204157
44,1,1,timesheet_grid.timesheet_rounding,15,2026-02-09 14:31:49.435188,2026-02-09 14:31:49.435188
45,1,1,timesheet_grid.timesheet_min_duration,15,2026-02-09 14:31:49.435188,2026-02-09 14:31:49.435188
46,1,1,databases.odoocom_project_template,3,2026-02-09 14:32:19.390778,2026-02-09 14:32:19.390778
47,1,1,mrp_workorder.wo_shop_floor_maximum_card_count,40,2026-02-09 14:35:20.101987,2026-02-09 14:35:20.101987
48,1,1,document.max_fileupload_size,67000000,2026-02-09 14:37:37.06107,2026-02-09 14:37:37.06107
49,1,1,documents.deletion_delay,30,2026-02-09 14:37:37.06107,2026-02-09 14:37:37.06107
50,1,1,documents.tracking_batch_size,500,2026-02-09 14:37:37.06107,2026-02-09 14:37:37.06107
51,1,1,hr_referral.show_grass,True,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114
52,1,1,hr_appraisal.appraisal_create_in_advance_days,8,2026-02-09 14:46:12.874725,2026-02-09 14:46:12.874725
53,395,395,iot.ws_channel,iot_channel-1b0df2a60e0fe96cb15bfec7c2c258b1,2026-02-09 14:48:15.029946,2026-02-09 14:48:15.029946
54,2,2,base_geolocalize.geo_provider,1,2026-02-10 01:08:25.728691,2026-02-10 01:08:25.728691
56,2,2,recaptcha_min_score,0.7,2026-02-10 01:08:25.728691,2026-02-10 01:08:25.728691
57,2,2,hr_fleet.delay_alert_contract,30,2026-02-10 01:08:25.728691,2026-02-10 01:08:25.728691
58,2,2,sale.invoiced_timesheet,all,2026-02-10 01:08:25.728691,2026-02-10 01:08:25.728691
59,2,2,web.web_app_name,BH PRO,2026-02-10 12:57:41.721049,2026-02-10 12:57:41.721049
61,2,2,documents.support_folder,233,2026-02-11 00:47:37.509592,2026-02-11 00:47:37.509592
64,2,2,partner_names_order,first_last,2026-02-27 03:54:52.282195,2026-02-27 03:54:52.282195
66,1,2,scgl.web.base.title,BHPRO LIVE,2026-03-06 05:03:40.720277,2026-03-21 09:04:08.812495
473,395,395,esg_csrd.esg_main_company,1,2026-03-22 00:05:06.861666,2026-03-22 00:05:06.861666
474,395,395,sale_stock.use_security_lead,True,2026-03-22 00:12:32.512029,2026-03-22 00:12:32.512029
475,646,646,jasper_report.url,http://192.168.5.105:8080/jasperserver,2026-04-20 04:19:06.108171,2026-04-20 04:19:06.108171
476,646,646,jasper_report.user,jasperadmin,2026-04-20 04:19:06.108171,2026-04-20 04:19:06.108171
477,646,646,jasper_report.password,jasperadmin,2026-04-20 04:19:06.108171,2026-04-20 04:19:06.108171
30,1,1,stock_barcode.barcode_separator_regex,"[;,]",2026-02-02 12:48:45.988436,2026-05-04 07:16:21.909772
31,1,1,stock_barcode.barcode_rfid_batch_time,1000,2026-02-02 12:48:45.988436,2026-05-04 07:16:21.909772
478,524,524,purchase.advance_default_product_id,210783,2026-05-05 09:43:55.249319,2026-05-05 09:43:55.249319
479,2,2,enable_recaptcha,False,2026-05-08 03:22:10.554435,2026-05-08 03:22:10.554435
1053,395,395,purchase_request_level_approve.require_manager,True,2026-05-25 10:36:04.983188,2026-05-25 10:36:04.983188
1054,395,395,purchase_request_level_approve.require_approver,True,2026-05-25 10:36:04.983188,2026-05-25 10:36:04.983188
1055,395,395,purchase_request_level_approve.send_back_allowed,True,2026-05-25 10:36:04.983188,2026-05-25 10:36:04.983188
1056,395,395,purchase_request_level_approve_po.require_manager,True,2026-05-25 10:36:04.983188,2026-05-25 10:36:04.983188
1057,395,395,purchase_request_level_approve_po.require_approver,True,2026-05-25 10:36:04.983188,2026-05-25 10:36:04.983188
1058,395,395,purchase_request_level_approve_po.send_back_allowed,True,2026-05-25 10:36:04.983188,2026-05-25 10:36:04.983188
1059,395,395,purchase_request_level_approve_po.block_draft_confirm,True,2026-05-25 10:36:04.983188,2026-05-25 10:36:04.983188
4,1,2,web.base.url,https://t9x.efaplus.cloud,2026-02-02 12:34:59.026001,2026-06-08 07:45:27.792373
