id,ir_actions_server_id,user_id,interval_number,priority,failure_count,create_uid,write_uid,cron_name,interval_type,active,nextcall,lastcall,first_failure_date,create_date,write_date
38,451,1,1,5,0,1,395,CRM: Lead Assignment,days,f,2026-05-26 10:35:49,\N,\N,2026-02-02 12:47:15.861119,2026-05-25 10:36:04.983188
27,384,1,1,5,0,1,1,automatic invoicing: send ready invoice,days,f,2026-02-02 12:46:18,\N,\N,2026-02-02 12:46:16.192353,2026-02-02 12:46:16.192353
28,385,1,1,5,0,1,1,Sales: Send pending emails,days,f,2026-02-02 12:46:18,\N,\N,2026-02-02 12:46:16.192353,2026-02-02 12:46:16.192353
34,439,1,9999,5,0,1,1,AI Agent Sources: Process Sources,months,t,2859-05-02 12:46:30,2026-02-02 12:48:22,\N,2026-02-02 12:46:26.219012,2026-02-02 12:46:26.219012
6,135,1,5,5,0,1,1,Mail: Fetchmail Service,minutes,f,2026-02-02 12:45:24,\N,\N,2026-02-02 12:45:16.389543,2026-02-02 12:45:16.389543
59,982,1,4,5,0,1,1,Automation Rules: check and execute,hours,f,2026-02-06 09:47:35,\N,\N,2026-02-06 09:47:30.795076,2026-02-06 09:47:30.795076
87,1778,1,1,11,0,2,2,Database Backup Schedule #1,days,f,2026-03-06 08:05:43,2026-03-09 08:06:20,\N,2026-03-06 08:07:19.58699,2026-03-10 07:34:10.009319
32,424,1,9999,5,0,1,1,Sale Pdf Quote Builder: assign form fields to documents post upgrade,months,t,2859-05-02 12:46:24,2026-02-02 12:48:22,\N,2026-02-02 12:46:24.385107,2026-02-02 12:46:24.385107
22,331,1,5,5,0,1,1,Account: Journal online Waiting Synchronization,minutes,f,2026-02-02 12:46:08,\N,\N,2026-02-02 12:46:07.904296,2026-02-02 12:46:07.904296
4,133,1,1,1000,0,1,1,Publisher: Update Notification,weeks,f,2026-03-16 12:45:24,2026-03-09 12:45:25,\N,2026-02-02 12:45:16.389543,2026-02-02 12:45:16.389543
37,448,1,1,5,0,1,1,Predictive Lead Scoring: Recompute Automated Probabilities,days,f,2026-02-02 12:47:17,\N,\N,2026-02-02 12:47:15.861119,2026-02-02 12:47:15.861119
33,438,1,9999,5,0,1,1,AI Embedding: Generate Embeddings,months,t,2859-05-02 12:46:30,2026-02-02 12:48:22,\N,2026-02-02 12:46:26.219012,2026-02-02 12:46:26.219012
12,206,1,9999,5,0,1,1,Product Images: Get product images from Barcode Lookup,months,t,2859-05-02 12:45:37,2026-02-02 12:48:22,\N,2026-02-02 12:45:37.133049,2026-02-02 12:45:37.133049
50,819,1,1,5,0,1,1,Gamification: Karma tracking consolidation,months,t,2026-07-01 04:00:00,2026-06-01 04:00:08,\N,2026-02-02 12:52:04.851472,2026-02-02 12:52:04.851472
5,134,1,1,5,0,1,1,Notification: Delete Notifications older than 6 Months,months,t,2026-07-02 12:45:24,2026-06-02 12:45:24,\N,2026-02-02 12:45:16.389543,2026-02-02 12:45:16.389543
68,1149,1,1,5,0,1,1,Helpdesk Ticket: Automatically close the tickets,days,f,2026-02-10 01:00:00,\N,\N,2026-02-09 14:32:53.524726,2026-02-09 14:32:53.524726
13,209,1,24,5,0,1,1,SMS: SMS Queue Manager,hours,t,2026-06-15 12:45:39,2026-06-14 12:45:42,\N,2026-02-02 12:45:37.567054,2026-02-02 12:45:37.567054
14,218,1,24,5,0,1,1,Snailmail: process letters queue,hours,t,2026-06-15 12:45:41,2026-06-14 12:45:42,\N,2026-02-02 12:45:40.488063,2026-02-02 12:45:40.488063
18,305,1,1,5,0,1,1,Send invoices automatically,days,t,2026-06-15 12:45:58,2026-06-14 12:46:20,\N,2026-02-02 12:45:47.890983,2026-02-02 12:45:47.890983
19,313,1,1,5,0,1,1,Try to reconcile automatically your statement lines,days,t,2026-06-15 12:46:01,2026-06-14 12:46:20,\N,2026-02-02 12:46:00.3669,2026-03-13 18:56:13.101778
20,328,1,1,5,0,1,1,Currency: rate update,days,t,2026-06-15 12:46:06,2026-06-14 12:46:20,\N,2026-02-02 12:46:06.458367,2026-02-02 12:46:06.458367
21,330,1,12,5,0,1,1,Account: Journal online sync,hours,t,2026-06-15 00:46:08,2026-06-14 12:46:20,\N,2026-02-02 12:46:07.904296,2026-02-02 12:46:07.904296
17,304,1,1,5,0,1,1,Account: Post draft entries with auto_post enabled and accounting date up to today,days,t,2026-06-15 02:00:58,2026-06-14 02:01:30,\N,2026-02-02 12:45:47.890983,2026-02-02 12:45:47.890983
29,413,1,1,5,0,1,1,Account Report Followup; Execute followup,days,t,2026-06-15 02:00:56,2026-06-14 02:01:30,\N,2026-02-02 12:46:20.935518,2026-03-13 18:56:55.704176
58,972,1,1,5,0,1,1,Project Stage: Send rating,days,t,2026-06-15 07:31:33,2026-06-14 07:32:05,\N,2026-02-04 07:31:27.821472,2026-02-04 07:31:27.821472
51,828,1,1,5,0,1,1,Sign: Send mail reminder,days,t,2026-06-15 10:00:00,2026-06-14 10:00:15,\N,2026-02-02 12:52:10.175496,2026-02-02 12:52:10.175496
79,1541,1,1,5,0,1,1,Payroll: Update data,weeks,t,2026-06-19 03:00:39.695731,2026-06-12 03:00:50,\N,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
7,136,1,1,5,0,1,1,Mail: Post scheduled messages,days,t,2026-06-15 12:45:24,2026-06-14 12:45:42,\N,2026-02-02 12:45:16.389543,2026-02-02 12:45:16.389543
40,519,1,1,5,0,1,1,Procurement: run scheduler,days,t,2026-06-15 12:48:39,2026-06-14 12:48:43,\N,2026-02-02 12:48:32.885425,2026-02-02 12:48:32.885425
41,618,1,1,5,0,1,1,Stock Account: Inventory Valuation Closing,days,t,2026-06-15 12:48:43,2026-06-14 12:48:43,\N,2026-02-02 12:48:42.758523,2026-02-02 12:48:42.758523
42,633,1,1,5,0,1,1,Purchase reminder,days,t,2026-06-15 12:49:17,2026-06-14 12:49:43,\N,2026-02-02 12:49:13.155761,2026-02-02 12:49:13.155761
43,692,1,1,5,0,1,1,HR Employee: Notify Expiring Contract or Work Permit,days,t,2026-06-15 12:50:28,2026-06-14 12:50:43,\N,2026-02-02 12:50:21.558669,2026-02-02 12:50:21.558669
44,693,1,1,5,0,1,1,HR Employee: Update Current Version,days,t,2026-06-15 12:50:28,2026-06-14 12:50:43,\N,2026-02-02 12:50:21.558669,2026-02-02 12:50:21.558669
47,803,1,1,5,0,1,1,Expense OCR: Update All Status,days,t,2026-06-15 12:51:23,2026-06-14 12:51:44,\N,2026-02-02 12:51:23.160576,2026-03-13 18:57:10.651097
48,804,1,1,5,0,1,1,Expense OCR: Validate Expenses,days,t,2026-06-15 12:51:23,2026-06-14 12:51:44,\N,2026-02-02 12:51:23.160576,2026-03-13 18:57:10.651097
49,818,1,1,5,0,1,1,Gamification: Goal Challenge Check,days,t,2026-06-15 12:52:06,2026-06-14 12:52:06,\N,2026-02-02 12:52:04.851472,2026-02-02 12:52:04.851472
61,994,1,1,5,0,1,1,Website Visitor : clean inactive visitors,days,t,2026-06-15 14:09:36,2026-06-14 14:09:52,\N,2026-02-09 14:09:26.195343,2026-02-09 14:09:26.195343
63,1089,1,1,5,0,1,1,Recruitment OCR: Validate CV,days,t,2026-06-15 14:31:04,2026-06-14 14:31:17,\N,2026-02-09 14:31:03.889953,2026-03-13 18:56:46.176532
64,1121,1,1,5,0,1,1,Timesheet: Employees Email Reminder,days,t,2026-06-15 14:31:50,2026-06-14 14:31:54,\N,2026-02-09 14:31:49.435188,2026-02-09 14:31:49.435188
65,1122,1,1,5,0,1,1,Timesheet: Approvers Email Reminder,days,t,2026-06-15 14:31:50,2026-06-14 14:31:54,\N,2026-02-09 14:31:49.435188,2026-02-09 14:31:49.435188
70,1382,1,1,5,0,1,1,AI Documents: Sort documents with AI,days,t,2026-06-15 14:37:46,2026-06-14 14:37:55,\N,2026-02-09 14:37:45.734569,2026-03-13 18:56:18.157531
26,360,1,1,5,0,1,1,Generate or refresh account return for every companies,days,t,2026-06-14 18:56:40,2026-06-13 18:56:44,\N,2026-02-02 12:46:09.338668,2026-03-13 18:56:38.341384
23,332,1,1,5,0,1,1,Account: Journal online sync reminder,days,t,2026-06-15 12:46:08,2026-06-14 12:46:20,\N,2026-02-02 12:46:07.904296,2026-02-02 12:46:07.904296
24,333,1,1,5,0,1,1,Account: Journal online sync cleanup unused connections,days,t,2026-06-15 12:46:08,2026-06-14 12:46:20,\N,2026-02-02 12:46:07.904296,2026-02-02 12:46:07.904296
69,1367,1,1,5,0,1,1,Documents: Access Tracking,months,t,2026-07-09 14:37:44,2026-06-09 14:38:30,\N,2026-02-09 14:37:37.06107,2026-02-09 14:37:37.06107
35,440,1,1,5,0,1,1,AI Fields: Compute AI fields,days,t,2026-06-15 12:46:34,2026-06-14 12:46:43,\N,2026-02-02 12:46:30.384592,2026-02-02 12:46:30.384592
36,441,1,1,5,0,1,1,Calendar: Event Reminder,days,t,2026-06-15 12:47:14,2026-06-14 12:47:29,\N,2026-02-02 12:47:09.008714,2026-02-02 12:47:09.008714
39,485,1,24,5,0,1,1,CRM: enrich leads (IAP),hours,t,2026-06-15 12:47:20,2026-06-14 12:47:29,\N,2026-02-02 12:47:19.850601,2026-02-02 12:47:19.850601
9,138,1,1,5,0,1,1,Mail: send web push notification,days,t,2026-06-15 12:45:24,2026-06-14 12:45:42,\N,2026-02-02 12:45:16.389543,2026-02-02 12:45:16.389543
10,139,1,1,5,0,1,1,Discuss: channel member unmute,days,t,2026-06-15 12:45:24,2026-06-14 12:45:42,\N,2026-02-02 12:45:16.389543,2026-02-02 12:45:16.389543
25,358,1,1,5,0,1,1,Send account reports automatically,days,t,2026-06-15 12:46:13,2026-06-14 12:46:20,\N,2026-02-02 12:46:09.338668,2026-03-13 18:56:38.341384
1,35,1,1,3,0,1,1,Base: Auto-vacuum internal data,days,t,2026-06-15 12:35:16,2026-06-14 12:35:38,\N,2026-02-02 12:34:59.026001,2026-02-02 12:45:16.389543
84,1684,1,1,5,0,1,1,eCommerce: send email to customers about their abandoned cart,hours,t,2026-06-14 15:28:49,2026-06-14 14:28:54,\N,2026-02-13 04:27:01.686903,2026-02-13 04:27:01.686903
86,1704,1,1,5,0,1,1,Auto-generate date ranges,days,t,2026-06-15 03:03:49,2026-06-14 03:03:57,\N,2026-02-14 03:03:43.427034,2026-02-14 03:03:43.427034
15,220,1,1,5,0,1,1,Digest Emails,days,t,2026-06-14 14:45:41,2026-06-13 14:45:50,\N,2026-02-02 12:45:41.404602,2026-02-02 12:45:41.404602
85,1703,1,1,5,0,1,1,Product: send email regarding products availability,hours,t,2026-06-14 15:29:21,2026-06-14 14:29:54,\N,2026-02-13 04:28:57.068672,2026-03-14 03:55:54.528875
2,36,1,1,8,0,1,1,Base: Portal Users Deletion,days,t,2026-06-15 12:35:16,2026-06-14 12:35:41,\N,2026-02-02 12:34:59.026001,2026-02-02 12:45:16.389543
83,1668,1,12,5,0,1,1,Google Calendar: synchronization,hours,t,2026-06-14 15:06:11,2026-06-14 03:06:16,\N,2026-02-09 15:06:10.586021,2026-02-09 15:06:10.586021
72,1432,1,1,5,0,1,1,Planning: generate next recurring shifts,weeks,t,2026-06-15 14:40:28,2026-06-08 14:41:20,\N,2026-02-09 14:40:21.562716,2026-02-09 14:40:21.562716
62,1088,1,1,5,0,1,1,Recruitment OCR: Update All Status,days,t,2026-06-15 14:31:04,2026-06-14 14:31:17,\N,2026-02-09 14:31:03.889953,2026-03-13 18:56:46.176532
73,1434,1,4,5,0,1,1,Attendance: Automatically check-out employees,hours,t,2026-06-14 14:41:14,2026-06-14 10:41:25,\N,2026-02-09 14:41:08.452798,2026-02-09 14:41:08.452798
81,1611,1,1,5,0,1,1,Appraisal: Run employee appraisal,days,t,2026-06-14 14:46:21,2026-06-13 14:47:00,\N,2026-02-09 14:46:12.874725,2026-02-09 14:46:12.874725
74,1435,1,4,5,0,1,1,Attendance: Detect Absences for employees,hours,t,2026-06-14 14:41:14,2026-06-14 10:41:25,\N,2026-02-09 14:41:08.452798,2026-02-09 14:41:08.452798
16,224,1,10,5,0,1,1,Payment: Post-process transactions,minutes,t,2026-06-14 14:45:46,2026-06-14 14:35:54,\N,2026-02-02 12:45:42.038248,2026-02-03 05:12:46.083618
82,1645,1,1,5,0,1,1,MPS: replenish automated schedules,days,t,2026-06-14 14:55:20,2026-06-13 14:55:21,\N,2026-02-09 14:55:13.517558,2026-03-14 03:55:22.487643
