id,model_id,group_id,create_uid,write_uid,name,active,perm_read,perm_write,perm_create,perm_unlink,create_date,write_date
1,114,4,1,1,decimal.precision configuration,t,t,t,f,f,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
2,30,1,1,1,ir_attachment group_user,t,t,t,t,t,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
3,30,\N,1,1,ir_attachment group_portal_public,t,f,f,f,f,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
4,32,4,1,1,ir_cron group_cron,t,t,t,t,t,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
5,34,4,1,1,ir_cron_progress group_cron,t,t,t,t,t,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
6,33,4,1,1,ir_cron_trigger group_cron,t,t,t,t,t,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
7,37,8,1,1,ir_exports group_system,t,t,t,t,t,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
8,38,1,1,1,ir_exports_line group_system,t,t,t,t,t,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
9,3,2,1,1,ir_model group_erp_manager,t,t,t,t,t,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
10,7,2,1,1,ir_model_constraint group_erp_manager,t,t,t,f,t,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
11,8,2,1,1,ir_model_relation group_erp_manager,t,t,t,t,t,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
12,5,\N,1,1,ir_model_inherit nobody,t,f,f,f,f,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
13,9,2,1,1,ir_model_access_group_erp_manager,t,t,t,t,t,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
14,10,2,1,1,ir_model_data group_erp_manager,t,t,t,t,t,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
15,4,2,1,1,ir_model_fields group_erp_manager,t,t,t,t,t,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
16,6,2,1,1,ir_model_fields_selection group_erp_manager,t,t,t,t,t,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
17,3,1,1,1,ir_model_all,t,f,f,f,f,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
18,10,1,1,1,ir_model_data user,t,f,f,f,f,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
19,4,1,1,1,ir_model_fields all,t,f,f,f,f,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
20,6,1,1,1,ir_model_fields_selection all,t,f,f,f,f,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
21,99,1,1,1,res_groups_privilege group_user,t,t,f,f,f,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
22,99,2,1,1,res_groups_privilege group_erp_manager,t,t,t,t,t,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
