id,model_id,create_uid,write_uid,name,domain_force,active,perm_read,perm_write,perm_create,perm_unlink,global,create_date,write_date
1,101,1,1,res.users.log per user,"[('create_uid','=', user.id)]",t,f,t,t,t,t,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
2,90,1,1,res.partner company,"['|', '|', ('partner_share', '=', False), ('company_id', 'parent_of', company_ids), ('company_id', '=', False)]",t,t,t,t,t,t,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
3,90,1,1,res_partner: portal/public: read access on my commercial partner,"[('id', 'child_of', user.commercial_partner_id.id)]",t,t,f,f,f,f,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
4,36,1,1,Defaults: alter personal defaults,"[('user_id','=',user.id)]",t,f,t,t,t,f,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
5,36,1,1,Defaults: alter all defaults,"[(1,'=',1)]",t,f,t,t,t,f,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
6,14,1,1,ir.ui.view_custom rule,"[('user_id','=',user.id)]",t,t,t,t,t,t,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
7,93,1,1,Partner bank company rule,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
8,97,1,1,multi-company currency rate rule,"['|', ('company_id', 'parent_of', company_ids), ('company_id', '=', False)]",t,t,t,t,t,t,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
9,105,1,1,change user password rule,"[('create_uid', '=', user.id)]",t,t,t,t,t,t,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
10,35,1,1,ir.filters.admin.all.rights,"[(1, '=', 1)]",t,t,t,t,t,f,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
11,35,1,1,ir.filter: owner or global,"[('user_ids','in',[False,user.id])]",t,t,t,t,t,f,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
12,35,1,1,ir.filter: portal/public,"[('user_ids', 'in', user.ids)]",t,t,t,t,t,f,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
13,98,1,1,company rule portal,"[('id','in', company_ids)]",t,t,t,t,t,f,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
14,98,1,1,company rule employee,"[('id','in', company_ids)]",t,t,t,t,t,f,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
15,98,1,1,company rule public,"[('id','in', company_ids)]",t,t,t,t,t,f,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
16,98,1,1,company rule erp manager,"[(1,'=',1)]",t,t,t,t,t,f,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001
