id,sequence,parent_id,create_uid,write_uid,parent_path,web_icon,action,name,active,create_date,write_date,is_studio_configuration
1093,1,8,1,1,1/8/1093/,\N,\N,"{""en_US"": ""Date ranges""}",t,2026-02-14 03:03:43.427034,2026-02-14 03:03:43.427034,\N
1094,10,1093,1,1,1/8/1093/1094/,\N,"ir.actions.act_window,1705","{""en_US"": ""Date Ranges""}",t,2026-02-14 03:03:43.427034,2026-02-14 03:03:43.427034,\N
1095,10,1093,1,1,1/8/1093/1095/,\N,"ir.actions.act_window,1706","{""en_US"": ""Date Range Types""}",t,2026-02-14 03:03:43.427034,2026-02-14 03:03:43.427034,\N
1096,10,1093,1,1,1/8/1093/1096/,\N,"ir.actions.act_window,1707","{""en_US"": ""Generate Date Ranges""}",t,2026-02-14 03:03:43.427034,2026-02-14 03:03:43.427034,\N
1097,10,282,1,1,280/282/1097/,\N,"ir.actions.act_window,1708","{""en_US"": ""Company Types""}",t,2026-02-14 03:05:08.009981,2026-02-14 03:05:08.009981,\N
1103,11,64,1,1,1/8/64/1103/,\N,"ir.actions.act_window,1747","{""en_US"": ""Jasper Report""}",t,2026-02-21 04:36:23.761127,2026-02-21 04:36:23.761127,\N
1099,1,160,1,1,321/160/1099/,\N,"ir.actions.act_window,1717","{""en_US"": ""Cheque Format""}",t,2026-02-14 03:29:16.553757,2026-02-25 12:36:14.068186,\N
1128,10,8,1,1,1/8/1128/,\N,\N,"{""en_US"": ""Automatic Database Backup""}",t,2026-03-06 08:04:51.219996,2026-03-06 08:04:51.219996,\N
1129,10,1128,1,1,1/8/1128/1129/,\N,"ir.actions.act_window,1777","{""en_US"": ""Backup Configuration""}",t,2026-03-06 08:04:51.219996,2026-03-06 08:04:51.219996,\N
199,67,148,1,1,321/144/148/199/,\N,"ir.actions.server,361","{""en_US"": ""Tax Returns""}",t,2026-02-02 12:46:09.338668,2026-03-13 18:56:38.341384,\N
333,20,331,1,1,329/331/333/,\N,"ir.actions.act_window,511","{""en_US"": ""Valuations""}",t,2026-02-02 12:48:05.277104,2026-02-02 12:48:05.277104,\N
1,550,\N,1,1,1/,"base,static/description/settings.png",\N,"{""en_US"": ""Settings"", ""th_TH"": ""การตั้งค่า""}",t,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001,\N
131,1,321,1,1,321/131/,\N,"ir.actions.act_window,303","{""en_US"": ""Dashboard"", ""th_TH"": ""แดชบอร์ด""}",t,2026-02-02 12:45:47.890983,2026-03-13 18:57:06.492633,\N
132,2,321,1,1,321/132/,\N,\N,"{""en_US"": ""Customers"", ""th_TH"": ""ลูกค้า""}",t,2026-02-02 12:45:47.890983,2026-03-13 18:57:06.492633,\N
138,3,321,1,1,321/138/,\N,\N,"{""en_US"": ""Vendors"", ""th_TH"": ""ผู้จำหน่าย""}",t,2026-02-02 12:45:47.890983,2026-03-13 18:57:06.492633,\N
144,4,321,1,1,321/144/,\N,\N,"{""en_US"": ""Accounting"", ""th_TH"": ""การบัญชี""}",t,2026-02-02 12:45:47.890983,2026-03-13 18:57:06.492633,\N
149,7,321,1,1,321/149/,\N,\N,"{""en_US"": ""Review"", ""th_TH"": ""รีวิว""}",t,2026-02-02 12:45:47.890983,2026-03-13 18:57:06.492633,\N
1100,0,\N,1,1,1100/,"import_bridge_axis,static/description/icon.png",\N,"{""en_US"": ""Import File Dashboard""}",t,2026-02-20 08:22:28.074154,2026-04-29 08:42:20.948573,\N
1101,2,1100,1,1,1100/1101/,\N,"ir.actions.act_window,1745","{""en_US"": ""Import File Dashboard""}",t,2026-02-20 08:22:28.074154,2026-04-29 08:42:20.948573,\N
1098,20,153,1,1,321/153/1098/,\N,"ir.actions.act_window,1714","{""en_US"": ""WT Income Tax Report""}",t,2026-02-14 03:06:38.90893,2026-05-14 09:03:37.88323,\N
334,30,331,1,1,329/331/334/,\N,"ir.actions.act_window,514","{""en_US"": ""UBO""}",t,2026-02-02 12:48:05.277104,2026-02-02 12:48:05.277104,\N
193,70,148,1,1,321/144/148/193/,\N,"ir.actions.act_window,326","{""en_US"": ""Lock Dates…""}",t,2026-02-02 12:46:00.3669,2026-03-13 18:56:13.101778,\N
60,5,3,1,1,1/3/60/,\N,"ir.actions.act_window,67","{""en_US"": ""Privileges""}",t,2026-02-02 12:34:59.026001,2026-02-02 12:34:59.026001,\N
402,55,149,1,1,321/149/402/,\N,\N,"{""en_US"": ""Purchases""}",t,2026-02-02 12:49:18.962727,2026-03-13 18:56:48.522005,\N
403,10,402,1,1,321/149/402/403/,\N,"ir.actions.act_window,651","{""en_US"": ""Bill To Receive""}",t,2026-02-02 12:49:18.962727,2026-03-13 18:56:48.522005,\N
404,10,402,1,1,321/149/402/404/,\N,"ir.actions.act_window,652","{""en_US"": ""Billed Not Received""}",t,2026-02-02 12:49:18.962727,2026-03-13 18:56:48.522005,\N
336,10,335,1,1,329/335/336/,\N,"ir.actions.client,508","{""en_US"": ""Cap Table""}",t,2026-02-02 12:48:05.277104,2026-02-02 12:48:05.277104,\N
337,20,335,1,1,329/335/337/,\N,"ir.actions.act_window,507","{""en_US"": ""Cap Table Pivot""}",t,2026-02-02 12:48:05.277104,2026-02-02 12:48:05.277104,\N
722,10,720,1,1,709/720/722/,\N,"ir.actions.act_window,1125","{""en_US"": ""All Timesheets"", ""th_TH"": ""ใบบันทึกเวลาทั้งหมด""}",t,2026-02-09 14:31:49.435188,2026-03-28 09:54:17.357616,\N
720,10,709,1,1,709/720/,\N,\N,"{""en_US"": ""To Validate"", ""th_TH"": ""เพื่อตรวจสอบ""}",t,2026-02-09 14:31:49.435188,2026-03-28 09:54:17.357616,\N
340,10,339,1,1,329/339/340/,\N,"ir.actions.act_window,510","{""en_US"": ""Security Classes""}",t,2026-02-02 12:48:05.277104,2026-02-02 12:48:05.277104,\N
120,15,119,1,1,83/119/120/,\N,"ir.actions.act_window,152","{""en_US"": ""Call History""}",t,2026-02-02 12:45:16.389543,2026-02-02 12:45:16.389543,\N
659,25,658,1,1,656/658/659/,\N,"ir.actions.act_window,1040","{""en_US"": ""All Conversations""}",t,2026-02-09 14:29:58.347111,2026-02-09 14:29:58.347111,\N
539,10,538,1,1,531/537/538/539/,\N,"ir.actions.act_window,864","{""en_US"": ""Carbon Analytics""}",t,2026-02-02 12:52:19.254975,2026-03-13 18:57:09.274177,\N
769,50,763,1,1,750/763/769/,\N,"ir.actions.act_window,965","{""en_US"": ""Activity Plans"", ""th_TH"": ""แผนกิจกรรม""}",t,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323,\N
768,45,763,1,1,750/763/768/,\N,"ir.actions.act_window,966","{""en_US"": ""Activity Types"", ""th_TH"": ""ประเภทกิจกรรม""}",t,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323,\N
362,230,354,1,1,341/354/362/,\N,"ir.actions.act_window,566","{""en_US"": ""Moves Analysis""}",t,2026-02-02 12:48:32.885425,2026-02-02 12:48:32.885425,\N
540,20,538,1,1,531/537/538/540/,\N,"ir.actions.client,861","{""en_US"": ""Carbon Footprint""}",t,2026-02-02 12:52:19.254975,2026-03-13 18:57:09.274177,\N
754,15,750,1,1,750/754/,\N,\N,"{""en_US"": ""All Tasks"", ""th_TH"": ""งานทั้งหมด""}",t,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323,\N
755,10,754,1,1,750/754/755/,\N,"ir.actions.server,1195","{""en_US"": ""All Tasks"", ""th_TH"": ""งานทั้งหมด""}",t,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323,\N
760,25,757,1,1,750/757/760/,\N,"ir.actions.server,1208","{""en_US"": ""By Location"", ""th_TH"": ""ตามสถานที่ตั้ง""}",t,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323,\N
544,30,543,1,1,531/541/543/544/,\N,"ir.actions.act_window,866","{""en_US"": ""Emission Factors""}",t,2026-02-02 12:52:19.254975,2026-03-13 18:57:09.274177,\N
545,40,543,1,1,531/541/543/545/,\N,"ir.actions.act_window,868","{""en_US"": ""Emission Sources""}",t,2026-02-02 12:52:19.254975,2026-03-13 18:57:09.274177,\N
759,15,757,1,1,750/757/759/,\N,"ir.actions.server,1205","{""en_US"": ""By Project"", ""th_TH"": ""ตามโปรเจ็กต์""}",t,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323,\N
758,10,757,1,1,750/757/758/,\N,"ir.actions.server,1202","{""en_US"": ""By User"", ""th_TH"": ""โดยผู้ใช้""}",t,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323,\N
763,50,750,1,1,750/763/,\N,\N,"{""en_US"": ""Configuration"", ""th_TH"": ""การกำหนดค่า""}",t,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323,\N
762,20,761,1,1,750/761/762/,\N,"ir.actions.act_window,1187","{""en_US"": ""Customer Ratings"", ""th_TH"": ""การให้คะแนนลูกค้า""}",t,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323,\N
750,80,\N,1,1,750/,"industry_fsm,static/description/icon.png",\N,"{""en_US"": ""Field Service"", ""th_TH"": ""การบริการภาคสนาม""}",t,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323,\N
1188,100,1136,1,1,1136/1188/,\N,\N,"{""en_US"": ""Configuration""}",t,2026-05-23 09:05:35.208918,2026-06-12 06:22:24.892669,\N
1190,100,388,1,1,385/388/1190/,\N,"ir.actions.act_window,1843","{""en_US"": ""PO Level Approve Settings""}",t,2026-05-25 05:57:05.220032,2026-06-12 06:22:53.076004,\N
753,20,751,1,1,750/751/753/,\N,"ir.actions.server,1192","{""en_US"": ""Map"", ""th_TH"": ""แผนที่""}",t,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323,\N
751,10,750,1,1,750/751/,\N,\N,"{""en_US"": ""My Tasks"", ""th_TH"": ""งานของฉัน""}",t,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323,\N
757,20,750,1,1,750/757/,\N,\N,"{""en_US"": ""Planning"", ""th_TH"": ""การวางแผน""}",t,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323,\N
765,10,763,1,1,750/763/765/,\N,"ir.actions.act_window,1213","{""en_US"": ""Projects"", ""th_TH"": ""โปรเจ็กต์""}",t,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323,\N
761,40,750,1,1,750/761/,\N,\N,"{""en_US"": ""Reporting"", ""th_TH"": ""การรายงาน""}",t,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323,\N
222,10,221,1,1,321/149/221/222/,\N,"ir.actions.client,343","{""en_US"": ""Unrealized Currencies""}",t,2026-02-02 12:46:09.338668,2026-03-13 18:56:38.341384,\N
223,10,221,1,1,321/149/221/223/,\N,"ir.actions.client,352","{""en_US"": ""Deferred Revenues""}",t,2026-02-02 12:46:09.338668,2026-03-13 18:56:38.341384,\N
224,10,221,1,1,321/149/221/224/,\N,"ir.actions.client,351","{""en_US"": ""Deferred Expenses""}",t,2026-02-02 12:46:09.338668,2026-03-13 18:56:38.341384,\N
764,0,763,1,1,750/763/764/,\N,"ir.actions.act_window,1211","{""en_US"": ""Settings"", ""th_TH"": ""การตั้งค่า""}",t,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323,\N
215,11,162,1,1,321/160/162/215/,\N,"ir.actions.act_window,366","{""en_US"": ""Return Types""}",t,2026-02-02 12:46:09.338668,2026-03-13 18:56:38.341384,\N
263,10,162,1,1,321/160/162/263/,\N,"ir.actions.act_window,410","{""en_US"": ""Fiscal Categories""}",t,2026-02-02 12:46:20.329835,2026-03-13 18:56:55.182501,\N
264,40,155,1,1,321/153/155/264/,\N,"ir.actions.client,411","{""en_US"": ""Fiscal Report""}",t,2026-02-02 12:46:20.329835,2026-03-13 18:56:55.182501,\N
267,10,266,1,1,321/149/266/267/,\N,"ir.actions.act_window,418","{""en_US"": ""Invoices To Be Issued""}",t,2026-02-02 12:46:22.232166,2026-03-13 18:57:13.883529,\N
268,10,266,1,1,321/149/266/268/,\N,"ir.actions.act_window,419","{""en_US"": ""Invoiced Not Delivered""}",t,2026-02-02 12:46:22.232166,2026-03-13 18:57:13.883529,\N
766,15,763,1,1,750/763/766/,\N,"ir.actions.act_window,1214","{""en_US"": ""Stages"", ""th_TH"": ""สถานะ""}",t,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323,\N
767,40,763,1,1,750/763/767/,\N,"ir.actions.act_window,962","{""en_US"": ""Tags"", ""th_TH"": ""แท็ก""}",t,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323,\N
752,10,751,1,1,750/751/752/,\N,"ir.actions.server,1189","{""en_US"": ""Tasks"", ""th_TH"": ""งาน""}",t,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323,\N
770,10,761,1,1,750/761/770/,\N,"ir.actions.act_window,1215","{""en_US"": ""Tasks Analysis"", ""th_TH"": ""วิเคราะห์งาน""}",t,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323,\N
756,20,754,1,1,750/754/756/,\N,"ir.actions.server,1198","{""en_US"": ""To Schedule"", ""th_TH"": ""กำหนดเวลา""}",t,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323,\N
887,20,885,1,1,882/885/887/,\N,"ir.actions.act_window,1639","{""en_US"": ""By Role"", ""th_TH"": ""ตามหน้าที่""}",t,2026-02-09 14:40:21.562716,2026-03-28 09:54:25.985122,\N
