id,sequence,company_id,product_id,product_uom,location_id,location_dest_id,location_final_id,partner_id,picking_id,scrap_id,rule_id,picking_type_id,origin_returned_move_id,restrict_partner_id,warehouse_id,next_serial_count,orderpoint_id,packaging_uom_id,create_uid,write_uid,priority,state,origin,procure_method,inventory_name,reference,next_serial,reservation_date,description_picking_manual,product_qty,product_uom_qty,quantity,picked,propagate_cancel,is_inventory,additional,date,date_deadline,delay_alert_date,create_date,write_date,price_unit,packaging_uom_qty,account_move_id,value,to_refund,is_in,is_out,is_dropship,sale_line_id,purchase_line_id,weight,unit_factor,manual_consumption,created_production_id,production_id,raw_material_production_id,production_group_id,unbuild_id,consume_unbuild_id,operation_id,workorder_id,bom_line_id,byproduct_id,cost_share,repair_id,repair_line_type,is_subcontract,sequence_no,created_purchase_request_line_id
100234,5,1,157473,1,1,6,5,\N,60491,\N,\N,1,\N,\N,1,\N,\N,1,434,434,0,assigned,PO-2604-00447,make_to_stock,\N,WH/IN/2605-00006,\N,2026-05-20,\N,10.0,10.00,10.00,f,t,\N,f,2026-04-27 00:00:00,2026-04-27 00:00:00,\N,2026-05-20 00:13:26.214976,2026-05-20 00:13:26.214976,140,10,\N,\N,t,f,f,f,\N,169609,0.00,1,f,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,\N
100235,5,1,88721,1,1,6,5,\N,60492,\N,\N,1,\N,\N,1,\N,\N,1,434,434,0,assigned,PO-2604-00448,make_to_stock,\N,WH/IN/2605-00007,\N,2026-05-20,\N,3.0,3.00,3.00,f,t,\N,f,2026-04-27 00:00:00,2026-04-27 00:00:00,\N,2026-05-20 00:18:17.010956,2026-05-20 00:18:17.010956,2300,3,\N,\N,t,f,f,f,\N,169610,0.00,1,f,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,\N
100236,10,1,84150,1,1,6,5,\N,60493,\N,\N,1,\N,\N,1,\N,\N,1,434,434,0,assigned,PO-2604-00449,make_to_stock,\N,WH/IN/2605-00008,\N,2026-05-20,\N,296.0,296.00,296.00,f,t,\N,f,2026-04-28 00:00:00,2026-04-28 00:00:00,\N,2026-05-20 00:33:21.318283,2026-05-20 00:33:21.318283,3.4023,296,\N,\N,t,f,f,f,\N,169611,0.00,1,f,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2,\N
100237,25,1,107234,1,1,6,5,\N,60493,\N,\N,1,\N,\N,1,\N,\N,1,434,434,0,assigned,PO-2604-00449,make_to_stock,\N,WH/IN/2605-00008,\N,2026-05-20,\N,414.0,414.00,414.00,f,t,\N,f,2026-05-06 00:00:00,2026-05-06 00:00:00,\N,2026-05-20 00:33:21.318283,2026-05-20 00:33:21.318283,37.2636,414,\N,\N,t,f,f,f,\N,169612,0.00,1,f,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,5,\N
100238,15,1,112418,1,1,6,5,\N,60493,\N,\N,1,\N,\N,1,\N,\N,1,434,434,0,assigned,PO-2604-00449,make_to_stock,\N,WH/IN/2605-00008,\N,2026-05-20,\N,186.0,186.00,186.00,f,t,\N,f,2026-05-05 00:00:00,2026-05-05 00:00:00,\N,2026-05-20 00:33:21.318283,2026-05-20 00:33:21.318283,55.2328,186,\N,\N,t,f,f,f,\N,169613,0.00,1,f,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,\N
100239,20,1,112300,1,1,6,5,\N,60493,\N,\N,1,\N,\N,1,\N,\N,1,434,434,0,assigned,PO-2604-00449,make_to_stock,\N,WH/IN/2605-00008,\N,2026-05-20,\N,148.0,148.00,148.00,f,t,\N,f,2026-05-05 00:00:00,2026-05-05 00:00:00,\N,2026-05-20 00:33:21.318283,2026-05-20 00:33:21.318283,52.1804,148,\N,\N,t,f,f,f,\N,169614,0.00,1,f,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4,\N
100240,5,1,84153,1,1,6,5,\N,60493,\N,\N,1,\N,\N,1,\N,\N,1,434,434,0,assigned,PO-2604-00449,make_to_stock,\N,WH/IN/2605-00008,\N,2026-05-20,\N,572.0,572.00,572.00,f,t,\N,f,2026-04-27 00:00:00,2026-04-27 00:00:00,\N,2026-05-20 00:33:21.318283,2026-05-20 00:33:21.318283,2.2199,572,\N,\N,t,f,f,f,\N,169615,0.00,1,f,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,\N
100241,5,1,77789,13,1,6,5,\N,60494,\N,\N,1,\N,\N,1,\N,\N,135,434,434,0,assigned,PO-2604-00450,make_to_stock,\N,WH/IN/2605-00009,\N,2026-05-20,\N,17.5,17.50,17.50,f,t,\N,f,2026-04-27 00:00:00,2026-04-27 00:00:00,\N,2026-05-20 00:37:33.338192,2026-05-20 00:37:33.338192,114.8197,5,\N,\N,t,f,f,f,\N,169617,0.00,1,f,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,\N
100224,5,1,89562,7,1,6,5,\N,60484,\N,\N,1,\N,\N,1,\N,\N,7,2,2,0,cancel,PO-2604-00442,make_to_stock,\N,WH/IN/2604-00001,\N,2026-04-29,\N,200.0,200.00,0.00,f,t,\N,f,2026-04-29 03:26:13,2026-04-29 03:26:13,\N,2026-04-29 03:26:16.114713,2026-04-29 03:26:21.203697,13,200,\N,\N,t,f,f,f,\N,169597,0.00,1,f,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,\N
100225,10,1,89497,7,1,6,5,\N,60484,\N,\N,1,\N,\N,1,\N,\N,7,2,2,0,cancel,PO-2604-00442,make_to_stock,\N,WH/IN/2604-00001,\N,2026-04-29,\N,600.0,600.00,0.00,f,t,\N,f,2026-04-29 03:26:13,2026-04-29 03:26:13,\N,2026-04-29 03:26:16.114713,2026-04-29 03:26:21.203697,9,600,\N,\N,t,f,f,f,\N,169598,0.00,1,f,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2,\N
