id,backorder_id,return_id,location_id,location_dest_id,picking_type_id,partner_id,company_id,user_id,owner_id,create_uid,write_uid,name,origin,move_type,state,priority,picking_properties,note,shipping_weight,has_deadline_issue,printed,is_locked,scheduled_date,date_deadline,date_done,create_date,write_date,sale_id,carrier_id,carrier_tracking_ref,weight,carrier_price,project_id,ticket_id,is_replacement,batch_id,batch_sequence,website_id,job_type_id
60490,\N,\N,1,6,1,27099,1,\N,\N,1,524,WH/IN/2605-00005,PO-2603-00284,direct,assigned,0,\N,\N,0.00,f,t,t,2026-03-04 00:00:00,2026-03-04 00:00:00,\N,2026-05-05 09:43:42.614895,2026-05-08 07:12:49.532723,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60485,\N,\N,1,6,1,26663,1,\N,\N,1,2,WH/IN/2604-00002,PO-2604-00443,direct,cancel,0,\N,\N,0.00,f,\N,t,2026-04-29 03:45:25,2026-04-29 03:45:25,\N,2026-04-29 03:45:36.196727,2026-04-29 03:45:43.960192,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60491,\N,\N,1,6,1,26529,1,\N,\N,1,434,WH/IN/2605-00006,PO-2604-00447,direct,assigned,0,\N,\N,0.00,f,\N,t,2026-04-27 00:00:00,2026-04-27 00:00:00,\N,2026-05-20 00:13:26.214976,2026-05-20 00:13:26.214976,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60492,\N,\N,1,6,1,27339,1,\N,\N,1,434,WH/IN/2605-00007,PO-2604-00448,direct,assigned,0,\N,\N,0.00,f,\N,t,2026-04-27 00:00:00,2026-04-27 00:00:00,\N,2026-05-20 00:18:17.010956,2026-05-20 00:18:17.010956,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60493,\N,\N,1,6,1,27092,1,\N,\N,1,434,WH/IN/2605-00008,PO-2604-00449,direct,assigned,0,\N,\N,0.00,f,\N,t,2026-04-27 00:00:00,2026-04-27 00:00:00,\N,2026-05-20 00:33:21.318283,2026-05-20 00:33:21.318283,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60494,\N,\N,1,6,1,26592,1,\N,\N,1,434,WH/IN/2605-00009,PO-2604-00450,direct,assigned,0,\N,\N,0.00,f,\N,t,2026-04-27 00:00:00,2026-04-27 00:00:00,\N,2026-05-20 00:37:33.338192,2026-05-20 00:37:33.338192,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60495,\N,\N,1,6,1,26745,1,\N,\N,1,434,WH/IN/2605-00010,PO-2604-00452,direct,assigned,0,\N,\N,0.00,f,\N,t,2026-05-20 00:45:51,2026-05-20 00:45:51,\N,2026-05-20 00:46:47.728247,2026-05-20 00:46:47.728247,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60496,\N,\N,1,6,1,27339,1,\N,\N,1,434,WH/IN/2605-00011,PO-2604-00453,direct,assigned,0,\N,\N,0.00,f,\N,t,2026-04-27 00:00:00,2026-04-27 00:00:00,\N,2026-05-20 00:49:49.144633,2026-05-20 00:49:49.144633,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60497,\N,\N,1,6,1,28869,1,\N,\N,1,434,WH/IN/2605-00012,PO-2604-00454,direct,assigned,0,\N,\N,0.00,f,\N,t,2026-04-28 00:00:00,2026-04-28 00:00:00,\N,2026-05-20 10:50:31.046162,2026-05-20 10:50:31.046162,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60486,\N,\N,1,6,1,26340,1,\N,\N,1,2,WH/IN/2604-00003,PO-2604-00444,direct,cancel,0,\N,\N,0.00,f,\N,t,2026-04-29 08:50:29,2026-04-29 08:50:29,\N,2026-04-29 08:50:32.302832,2026-04-29 08:50:39.410121,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60498,\N,\N,1,6,1,27228,1,\N,\N,1,434,WH/IN/2605-00013,PO-2604-00455,direct,assigned,0,\N,\N,0.00,f,\N,t,2026-05-02 00:00:00,2026-05-02 00:00:00,\N,2026-05-20 10:56:48.609681,2026-05-20 10:56:48.609681,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60499,\N,\N,1,6,1,27558,1,\N,\N,1,434,WH/IN/2605-00014,PO-2604-00456,direct,assigned,0,\N,\N,0.00,f,\N,t,2026-04-28 00:00:00,2026-04-28 00:00:00,\N,2026-05-20 10:59:42.136593,2026-05-20 10:59:42.136593,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60500,\N,\N,1,6,1,27084,1,\N,\N,1,434,WH/IN/2605-00015,PO-2604-00457,direct,assigned,0,\N,\N,0.00,f,\N,t,2026-04-28 00:00:00,2026-04-28 00:00:00,\N,2026-05-20 11:04:10.776066,2026-05-20 11:04:10.776066,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60501,\N,\N,1,6,1,27365,1,\N,\N,1,434,WH/IN/2605-00016,PO-2604-00458,direct,assigned,0,\N,\N,0.00,f,\N,t,2026-05-01 00:00:00,2026-05-01 00:00:00,\N,2026-05-20 11:08:58.002322,2026-05-20 11:08:58.002322,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60502,\N,\N,1,6,1,26648,1,\N,\N,1,434,WH/IN/2605-00017,PO-2604-00461,direct,assigned,0,\N,\N,0.00,f,\N,t,2026-04-28 00:00:00,2026-04-28 00:00:00,\N,2026-05-20 11:21:01.402616,2026-05-20 11:21:01.402616,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60503,\N,\N,1,6,1,27092,1,\N,\N,1,434,WH/IN/2605-00018,PO-2604-00462,direct,assigned,0,\N,\N,0.00,f,\N,t,2026-04-28 00:00:00,2026-04-28 00:00:00,\N,2026-05-20 11:35:28.137283,2026-05-20 11:35:28.137283,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60504,\N,\N,1,6,1,26522,1,\N,\N,1,434,WH/IN/2605-00019,PO-2604-00463,direct,assigned,0,\N,\N,0.00,f,\N,t,2026-04-28 00:00:00,2026-04-28 00:00:00,\N,2026-05-20 11:43:31.458875,2026-05-20 11:43:31.458875,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60487,\N,\N,1,6,1,26212,1,\N,\N,1,2,WH/IN/2604-00004,PO-2604-00445,direct,cancel,0,\N,\N,0.00,f,\N,t,2026-04-29 08:55:18,2026-04-29 08:55:18,\N,2026-04-29 08:55:32.176737,2026-04-29 08:55:37.272366,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60505,\N,\N,1,6,1,26544,1,\N,\N,1,434,WH/IN/2605-00020,PO-2604-00465,direct,assigned,0,\N,\N,0.00,f,\N,t,2026-05-13 00:00:00,2026-05-13 00:00:00,\N,2026-05-20 11:50:19.23501,2026-05-20 11:50:19.23501,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60506,\N,\N,1,6,1,26544,1,\N,\N,1,434,WH/IN/2605-00021,PO-2604-00466,direct,assigned,0,\N,\N,0.00,f,\N,t,2026-04-24 00:00:00,2026-04-24 00:00:00,\N,2026-05-20 11:56:26.783689,2026-05-20 11:56:26.783689,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60507,\N,\N,1,6,1,26685,1,\N,\N,1,434,WH/IN/2605-00022,PO-2604-00467,direct,assigned,0,\N,\N,0.00,f,\N,t,2026-04-24 00:00:00,2026-04-24 00:00:00,\N,2026-05-20 11:57:31.426959,2026-05-20 11:57:31.426959,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60488,\N,\N,5,9,3,28686,1,\N,\N,2,2,WH/PICK/2604-00001,SO-2604-00012,direct,cancel,0,\N,\N,0.00,f,\N,t,2026-04-26 11:05:15,2026-04-29 11:05:15,\N,2026-04-29 11:05:15.936505,2026-05-22 04:44:17.736777,13,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,3
60489,60488,\N,5,9,3,26212,1,\N,\N,2,2,WH/PICK/2604-00002,SO-2604-00012,direct,cancel,0,\N,\N,0.00,f,\N,t,2026-04-26 11:05:15,2026-04-29 11:05:15,\N,2026-04-29 11:05:32.567128,2026-05-22 04:44:17.736777,13,\N,\N,0.00,0,\N,\N,f,\N,0,\N,3
60508,\N,\N,1,6,1,27432,1,\N,\N,1,434,WH/IN/2605-00023,PO-2604-00468,direct,cancel,0,\N,\N,0.00,f,\N,t,2026-05-03 00:00:00,2026-05-03 00:00:00,\N,2026-05-20 11:59:33.42048,2026-05-22 08:16:26.639397,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60484,\N,\N,1,6,1,26340,1,\N,\N,1,2,WH/IN/2604-00001,PO-2604-00442,direct,cancel,0,\N,\N,0.00,f,\N,t,2026-04-29 03:26:13,2026-04-29 03:26:13,\N,2026-04-29 03:26:16.114713,2026-04-29 03:26:21.203697,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60512,\N,\N,1,6,1,26685,1,\N,\N,1,2,WH/IN/2605-00027,PO-2604-00474,direct,cancel,0,\N,\N,0.00,f,\N,t,2026-05-22 08:41:17,2026-05-22 08:41:17,\N,2026-05-22 08:45:09.610022,2026-05-22 08:45:16.798303,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60516,\N,\N,1,6,1,26685,1,\N,\N,1,434,WH/IN/2605-00031,PO-2604-00479,direct,cancel,0,\N,\N,0.00,f,\N,t,2026-05-22 10:00:01,2026-05-22 10:00:01,\N,2026-05-22 10:00:22.585555,2026-05-22 10:04:43.6065,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60515,\N,\N,1,6,1,26685,1,\N,\N,1,434,WH/IN/2605-00030,PO-2604-00478,direct,cancel,0,\N,\N,0.00,f,\N,t,2026-05-22 09:20:28,2026-05-22 09:20:28,\N,2026-05-22 09:20:46.759985,2026-05-22 10:20:06.237198,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60514,\N,\N,1,6,1,27432,1,\N,\N,1,2,WH/IN/2605-00029,PO-2604-00476,direct,cancel,0,\N,\N,0.00,f,\N,t,2026-05-22 09:09:06,2026-05-22 09:09:06,\N,2026-05-22 09:09:49.524617,2026-05-22 10:20:42.712341,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60509,\N,\N,1,6,1,27432,1,\N,\N,1,395,WH/IN/2605-00024,PO-2604-00471,direct,cancel,0,\N,\N,0.00,f,\N,t,2026-05-22 08:33:55,2026-05-22 08:33:55,\N,2026-05-22 08:37:08.348559,2026-05-25 10:43:08.285708,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60510,\N,\N,1,6,1,27432,1,\N,\N,1,395,WH/IN/2605-00025,PO-2604-00472,direct,cancel,0,\N,\N,0.00,f,\N,t,2026-05-22 08:37:27,2026-05-22 08:37:27,\N,2026-05-22 08:38:15.139122,2026-05-25 10:43:26.623769,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
60511,\N,\N,1,6,1,27432,1,\N,\N,1,395,WH/IN/2605-00026,PO-2604-00473,direct,cancel,0,\N,\N,0.00,f,\N,t,2026-05-22 08:39:14,2026-05-22 08:39:14,\N,2026-05-22 08:40:49.367557,2026-05-25 10:43:46.281903,\N,\N,\N,0.00,\N,\N,\N,f,\N,\N,\N,\N
