id,create_uid,create_date,write_date,write_uid,website,summary,name,author,icon,state,latest_version,shortdesc,category_id,description,application,demo,web,license,sequence,auto_install,to_buy,maintainer,published_version,url,contributors,menus_by_module,reports_by_module,views_by_module,module_type,imported
138,\N,\N,2026-08-18 10:32:14.113554,1,https://github.com/OCA/server-ux,"{""en_US"": ""Manage all kind of date range""}",date_range,"ACSONE SA/NV, Odoo Community Association (OCA)",/date_range/static/description/icon.png,installed,18.0.1.2.0,"{""en_US"": ""Date Range""}",6,"{""en_US"": ""==========\\nDate Range\\n==========\\n\\n.. \\n   !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!\\n   !! This file is generated by oca-gen-addon-readme !!\\n   !! changes will be overwritten.                   !!\\n   !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!\\n   !! source digest: sha256:bef360f14e07013cc293245f850d87fd6cfd11edbb6f8384310c65afc5f86b0a\\n   !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!\\n\\n.. |badge1| image:: https://img.shields.io/badge/maturity-Mature-brightgreen.png\\n    :target: https://odoo-community.org/page/development-status\\n    :alt: Mature\\n.. |badge2| image:: https://img.shields.io/badge/licence-LGPL--3-blue.png\\n    :target: http://www.gnu.org/licenses/lgpl-3.0-standalone.html\\n    :alt: License: LGPL-3\\n.. |badge3| image:: https://img.shields.io/badge/github-OCA%2Fserver--ux-lightgray.png?logo=github\\n    :target: https://github.com/OCA/server-ux/tree/17.0/date_range\\n    :alt: OCA/server-ux\\n.. |badge4| image:: https://img.shields.io/badge/weblate-Translate%20me-F47D42.png\\n    :target: https://translation.odoo-community.org/projects/server-ux-17-0/server-ux-17-0-date_range\\n    :alt: Translate me on Weblate\\n.. |badge5| image:: https://img.shields.io/badge/runboat-Try%20me-875A7B.png\\n    :target: https://runboat.odoo-community.org/builds?repo=OCA/server-ux&target_branch=17.0\\n    :alt: Try me on Runboat\\n\\n|badge1| |badge2| |badge3| |badge4| |badge5|\\n\\nThis module lets you define global date ranges that can be used to\\nfilter your values in tree views.\\n\\nIt also provides a mixin model for developers that extends the model's\\nsearch view so that date ranges can be search as any relational field.\\n\\n**Table of contents**\\n\\n.. contents::\\n   :local:\\n\\nInstallation\\n============\\n\\nThe addon use the daterange method from postgres. This method is\\nsupported as of postgresql 9.2\\n\\nConfiguration\\n=============\\n\\nFor regular usage, see Usage below. This section is to clarify optional\\nfunctionality to developers.\\n\\nTo configure a model to use the Many2one style search field, make the\\nmodel inherit from \\\\`date.range.search.mixin\\\\`:\\n\\n::\\n\\n   class AccountMove(models.Model):\\n       _name = \\""account.move\\""\\n       _inherit = [\\""account.move\\"", \\""date.range.search.mixin\\""]\\n\\nThis will make a Period field show up in the search view:\\n\\n   |search_view|\\n\\nBy default, the mixin works on the date field. If you want the mixin to\\nwork on a field with a different name, you can set a property on your\\nmodel:\\n\\n::\\n\\n   _date_range_search_field = \\""invoice_date\\""\\n\\n.. |search_view| image:: https://raw.githubusercontent.com/OCA/server-tools/17.0/date_range/static/description/date_range_many2one_search_field.png\\n\\nUsage\\n=====\\n\\nTo configure this module, you need to:\\n\\n-  Go to Settings > Technical > Date ranges > Date Range Types where you\\n   can create types of date ranges.\\n\\n   |image1|\\n\\n-  Go to Settings > Technical > Date ranges > Date Ranges where you can\\n   create date ranges.\\n\\n   |image2|\\n\\n   It's also possible to launch a wizard from the 'Generate Date Ranges'\\n   menu.\\n\\n   |image3|\\n\\n   The wizard is useful to generate recurring periods. Set an end date\\n   or enter the number of ranges to create.\\n\\n   |image4|\\n\\n-  Your date ranges are now available in the search filter for any date\\n   or datetime fields\\n\\n   Date range types are proposed as a filter operator\\n\\n   |image5|\\n\\n   Once a type is selected, date ranges of this type are porposed as a\\n   filter value\\n\\n   |image6|\\n\\n   And the dates specified into the date range are used to filter your\\n   result.\\n\\n   |image7|\\n\\n-  You can configure date range types with default values for the\\n   generation wizard on the Generation tab. In the same tab you can also\\n   configure date range types for auto-generation. New ranges for types\\n   configured for this are generated by a scheduled task that runs\\n   daily.\\n\\n   |image8|\\n\\n.. |image1| image:: https://raw.githubusercontent.com/OCA/server-tools/17.0/date_range/static/description/date_range_type_create.png\\n.. |image2| image:: https://raw.githubusercontent.com/OCA/server-tools/17.0/date_range/static/description/date_range_create.png\\n.. |image3| image:: https://raw.githubusercontent.com/OCA/server-tools/17.0/date_range/static/description/date_range_wizard.png\\n.. |image4| image:: https://raw.githubusercontent.com/OCA/server-tools/17.0/date_range/static/description/date_range_wizard_result.png\\n.. |image5| image:: https://raw.githubusercontent.com/OCA/server-tools/17.0/date_range/static/description/date_range_type_as_filter.png\\n.. |image6| image:: https://raw.githubusercontent.com/OCA/server-tools/17.0/date_range/static/description/date_range_as_filter.png\\n.. |image7| image:: https://raw.githubusercontent.com/OCA/server-tools/17.0/date_range/static/description/date_range_as_filter_result.png\\n.. |image8| image:: https://raw.githubusercontent.com/OCA/server-tools/17.0/date_range/static/description/date_range_type_autogeneration.png\\n\\nBug Tracker\\n===========\\n\\nBugs are tracked on `GitHub Issues <https://github.com/OCA/server-ux/issues>`_.\\nIn case of trouble, please check there if your issue has already been reported.\\nIf you spotted it first, help us to smash it by providing a detailed and welcomed\\n`feedback <https://github.com/OCA/server-ux/issues/new?body=module:%20date_range%0Aversion:%2017.0%0A%0A**Steps%20to%20reproduce**%0A-%20...%0A%0A**Current%20behavior**%0A%0A**Expected%20behavior**>`_.\\n\\nDo not contact contributors directly about support or help with technical issues.\\n\\nCredits\\n=======\\n\\nAuthors\\n-------\\n\\n* ACSONE SA/NV\\n\\nContributors\\n------------\\n\\n-  Laurent Mignon <laurent.mignon@acsone.eu>\\n-  Alexis de Lattre <alexis.delattre@akretion.com>\\n-  Miquel Raïch <miquel.raich@forgeflow.com>\\n-  Andrea Stirpe <a.stirpe@onestein.nl>\\n-  Stefan Rijnhart <stefan@opener.amsterdam>\\n-  David Ramia <<@ramiadavid>>\\n-  Son Ho <sonhd@trobz.com>\\n\\nMaintainers\\n-----------\\n\\nThis module is maintained by the OCA.\\n\\n.. image:: https://odoo-community.org/logo.png\\n   :alt: Odoo Community Association\\n   :target: https://odoo-community.org\\n\\nOCA, or the Odoo Community Association, is a nonprofit organization whose\\nmission is to support the collaborative development of Odoo features and\\npromote its widespread use.\\n\\n.. |maintainer-lmignon| image:: https://github.com/lmignon.png?size=40px\\n    :target: https://github.com/lmignon\\n    :alt: lmignon\\n\\nCurrent `maintainer <https://odoo-community.org/page/maintainer-role>`__:\\n\\n|maintainer-lmignon| \\n\\nThis module is part of the `OCA/server-ux <https://github.com/OCA/server-ux/tree/17.0/date_range>`_ project on GitHub.\\n\\nYou are welcome to contribute. To learn how please visit https://odoo-community.org/page/Contribute.\\n""}",f,f,f,LGPL-3,100,f,f,\N,\N,\N,\N,Settings/Technical/Date ranges\nSettings/Technical/Date ranges/Date Range Types\nSettings/Technical/Date ranges/Date Ranges\nSettings/Technical/Date ranges/Generate Date Ranges,,date.range search (search)\ndate.range.form (form)\ndate.range.generator.form (form)\ndate.range.list (list)\ndate.range.type search (search)\ndate.range.type.form (form)\ndate.range.type.list (list),official,\N
171,\N,\N,2026-08-19 04:27:40.375105,1, ,"{""en_US"": ""Store employee payslips in the Document app"", ""th_TH"": ""จัดเก็บสลิปเงินเดือนของพนักงานในแอปเอกสาร""}",documents_hr_payroll,Odoo S.A.,/base/static/description/icon.png,installed,18.0.1.0,"{""en_US"": ""Documents - Payroll"", ""th_TH"": ""เอกสาร - บัญชีเงินเดือน""}",38,"{""en_US"": ""\\nEmployee payslips will be automatically integrated to the Document app.\\n"", ""th_TH"": ""\\nสลิปเงินเดือนของพนักงานจะถูกรวมเข้ากับแอปเอกสารโดยอัตโนมัติ\\n""}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,,,* INHERIT hr.payroll.employee.declaration.list.inherit.documents.hr.payroll (list)\n* INHERIT res.config.settings.view.form.inherit.documents (form),official,\N
161,\N,\N,2026-08-18 09:27:47.254749,1,https://www.odoo.com/app/documents,"{""en_US"": ""Collect, organize and share documents."", ""th_TH"": ""รวบรวม จัดระเบียบ และแชร์เอกสาร""}",documents,Odoo S.A.,/documents/static/description/icon.png,installed,18.0.1.4,"{""en_US"": ""Documents"", ""th_TH"": ""เอกสาร""}",38,"{""en_US"": ""\\nApp to upload and manage your documents.\\n"", ""th_TH"": ""\\nแอปเพื่ออัปโหลดและจัดการเอกสารของคุณ\\n""}",t,f,f,OEEL-1,80,f,f,\N,\N,\N,\N,Documents\nDocuments/Configuration\nDocuments/Configuration/Activities\nDocuments/Configuration/Activities/Activity Plans\nDocuments/Configuration/Activities/Activity Types\nDocuments/Configuration/Settings\nDocuments/Configuration/Structure\nDocuments/Configuration/Structure/Tags\nDocuments/Documents,,* INHERIT document.mail.alias.view.form (form)\n* INHERIT documents list (list)\n* INHERIT documents.document kanban portal (kanban)\n* INHERIT documents.document.list.portal (list)\n* INHERIT documents.portal_my_home (qweb)\n* INHERIT mail.activity.type.form.inherit.documents (form)\n* INHERIT res.config.settings.view.form.inherit.documents (form)\n* INHERIT res.partner.view.documents.document.form (form)\nDocument Portal View (qweb)\nDocument search view (search)\nDocuments public pages main layout (qweb)\nFolder Deletion (form)\nFormat file size (qweb)\nNew Folder form (form)\nPublic Folder Page (qweb)\nRename form (form)\nRequest File (form)\nRequested Documents Share (qweb)\nShare a file (qweb)\ndocuments form (form)\ndocuments form details (form)\ndocuments list (list)\ndocuments.access.list (list)\ndocuments.document activity (activity)\ndocuments.document kanban (kanban)\ndocuments.link_to_record_wizard.form (form)\ndocuments.not_available (qweb)\ndocuments.tag.form (form)\ndocuments.tag.list (list)\nmail_template_document_share (qweb)\ntag search (search)\nupload url (form),official,\N
1105,\N,\N,2026-08-18 09:32:58.589859,1,,"{""en_US"": ""Process Manufacturing Orders from the barcode application"", ""th_TH"": ""ประมวลผลใบสั่งผลิตจากแอปพลิเคชันบาร์โค้ด""}",stock_barcode_mrp,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""MRP Barcode"", ""th_TH"": ""บาร์โค้ด MRP""}",100,"{""en_US"": """"}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,,,,official,\N
121,\N,\N,2026-08-18 09:28:06.771959,1,,"{""en_US"": ""Advanced features for CRM"", ""th_TH"": ""ฟีเจอร์ขั้นสูงสำหรับลูกค้าสัมพันธ์""}",crm_enterprise,Odoo S.A.,/base/static/description/icon.png,installed,18.0.1.0,"{""en_US"": ""CRM enterprise"", ""th_TH"": ""CRM""}",29,"{""en_US"": ""\\nContains advanced features for CRM such as new views\\n"", ""th_TH"": ""\\nประกอบด้วยฟีเจอร์ขั้นสูงสำหรับ CRM เช่น มุมมองใหม่\\n""}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,,,* INHERIT crm.activity.report.search (search)\n* INHERIT crm.lead.view.graph.forecast.inherit (graph)\n* INHERIT crm.lead.view.pivot.forecast.inherit (pivot)\ncrm.lead.graph.view (graph)\ncrm.lead.graph.view (graph)\ncrm.lead.pivot.view (pivot)\ncrm.lead.view.cohort (cohort)\ncrm.lead.view.map (map),official,\N
707,\N,\N,2026-08-18 06:34:59.471297,1,,"{""en_US"": """"}",l10n_th_reports,Odoo PS,/base/static/description/icon.png,installed,18.0.1.0,"{""en_US"": ""Thailand - Accounting Reports"", ""th_TH"": ""ประเทศไทย - รายงานการบัญชี""}",1,"{""en_US"": ""\\nAccounting reports for Thailand\\n==============================================================================\\n"", ""th_TH"": ""\\nรายงานทางบัญชีสำหรับประเทศไทย\\n==============================================================================\\n""}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,,,,official,\N
926,\N,\N,2026-08-18 06:36:44.824338,1,,"{""en_US"": ""Bridge module for project and enterprise"", ""th_TH"": ""โมดูลตัวเชื่อมต่อสำหรับโปรเจ็กต์และองค์กร""}",project_enterprise,Odoo S.A.,/base/static/description/icon.png,installed,18.0.1.0,"{""en_US"": ""Project Enterprise"", ""th_TH"": ""โปรเจ็กต์องค์กร""}",115,"{""en_US"": ""\\nBridge module for project and enterprise\\n"", ""th_TH"": ""\\nโมดูลตัวเชื่อมต่อสำหรับโปรเจ็กต์และองค์กร\\n""}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,,,* INHERIT portal_my_task (qweb)\n* INHERIT project.enterprise.task.activity.view (activity)\n* INHERIT project.enterprise.task.graph (graph)\n* INHERIT project.enterprise.task.kanban.nonprimary (kanban)\n* INHERIT project.enterprise.task.pivot (pivot)\n* INHERIT project.sharing.project.task.view.kanban.inherit (kanban)\n* INHERIT project.task.all.calendar (calendar)\n* INHERIT project.task.all.gantt (gantt)\n* INHERIT project.task.dependency.view.gantt (gantt)\n* INHERIT project.task.form.timesheet.inherited (form)\n* INHERIT project.task.list (list)\n* INHERIT project.task.my.gantt (gantt)\n* INHERIT project.task.view.form.gantt (form)\n* INHERIT project.task.view.form.gantt.res.partner (form)\n* INHERIT project.task.view.form.inherit.project.enterprise (form)\n* INHERIT project.task.view.gantt.res.partner (gantt)\n* INHERIT project.task.view.list.inherit.project.enterprise (list)\n* INHERIT project.task.view.search.conflict.task.project.enterprise (search)\n* INHERIT project_enterprise.project.task.view.list.inherit (list)\n* INHERIT project_sharing_embed (qweb)\n* INHERIT res.config.settings.view.form.inherit.project.enterprise (form)\nproject.project.view.gantt (gantt)\nproject.task.view.gantt (gantt)\nproject.task.view.map (map)\nproject.task.view.map (map),official,\N
1,\N,\N,2026-08-18 06:34:43.027999,1,https://www.odoo.com/app/invoicing,"{""en_US"": ""Invoices, Payments, Follow-ups & Bank Synchronization"", ""th_TH"": ""ใบแจ้งหนี้ การชำระเงิน การติดตามผลและการซิงโครไนซ์ร่วมกับธนาคาร""}",account,Odoo S.A.,/account/static/description/icon.png,installed,18.0.1.3,"{""en_US"": ""Invoicing"", ""th_TH"": ""ใบแจ้งหนี้""}",2,"{""en_US"": ""\\nInvoicing & Payments\\n====================\\nThe specific and easy-to-use Invoicing system in Odoo allows you to keep track of your accounting, even when you are not an accountant. It provides an easy way to follow up on your vendors and customers.\\n\\nYou could use this simplified accounting in case you work with an (external) account to keep your books, and you still want to keep track of payments. This module also offers you an easy method of registering payments, without having to encode complete abstracts of account.\\n"", ""th_TH"": ""\\nการออกใบแจ้งหนี้และการชำระเงิน\\n====================\\nระบบออกใบแจ้งหนี้และการชำระเงินที่เป็นเอกลักษณ์และใช้งานง่ายบน Odoo ช่วยให้คุณสามารถติดตามบัญชีของคุณได้อย่างง่ายดาย แม้ว่าคุณจะไม่ใช่นักบัญชี ระบบจะให้วิธีง่ายๆ ในการติดตามผู้ขายและลูกค้าของคุณ\\n\\nคุณสามารถใช้การบัญชีแบบง่ายนี้ในกรณีที่คุณทำงานกับสำนักงานบัญชี (ภายนอก) เพื่อบันทึกบัญชีของคุณ และคุณยังต้องการติดตามการชำระเงิน โมดูลนี้นำเสนอวิธีการลงทะเบียนการชำระเงินที่ง่ายดาย โดยไม่ต้องเข้ารหัสบทคัดย่อบัญชีให้ครบถ้วน\\n""}",t,f,f,LGPL-3,10,f,f,\N,\N,\N,\N,Invoicing\nInvoicing/Accounting\nInvoicing/Accounting/Analytic Items\nInvoicing/Accounting/Journal Entries\nInvoicing/Accounting/Journal Items\nInvoicing/Accounting/Secure Entries\nInvoicing/Configuration\nInvoicing/Configuration/Accounting\nInvoicing/Configuration/Accounting/Chart of Accounts\nInvoicing/Configuration/Accounting/Currencies\nInvoicing/Configuration/Accounting/Fiscal Positions\nInvoicing/Configuration/Accounting/Journals\nInvoicing/Configuration/Accounting/Multi-Ledger\nInvoicing/Configuration/Accounting/Reporting\nInvoicing/Configuration/Accounting/Tax Groups\nInvoicing/Configuration/Accounting/Taxes\nInvoicing/Configuration/Analytic Accounting\nInvoicing/Configuration/Analytic Accounting/Analytic Accounts\nInvoicing/Configuration/Analytic Accounting/Analytic Distribution Models\nInvoicing/Configuration/Analytic Accounting/Analytic Plans\nInvoicing/Configuration/Banks\nInvoicing/Configuration/Banks/Add a Bank Account\nInvoicing/Configuration/Banks/Reconciliation Models\nInvoicing/Configuration/Invoicing\nInvoicing/Configuration/Invoicing/Incoterms\nInvoicing/Configuration/Invoicing/Payment Terms\nInvoicing/Configuration/Management\nInvoicing/Configuration/Management/Cash Roundings\nInvoicing/Configuration/Management/Product Categories\nInvoicing/Configuration/Online Payments\nInvoicing/Configuration/Settings\nInvoicing/Customers\nInvoicing/Customers/Credit Notes\nInvoicing/Customers/Customers\nInvoicing/Customers/Invoices\nInvoicing/Customers/Payments\nInvoicing/Customers/Products\nInvoicing/Customers/Receipts\nInvoicing/Dashboard\nInvoicing/Reporting\nInvoicing/Reporting/Management\nInvoicing/Reporting/Management/Analytic Report\nInvoicing/Reporting/Management/Audit Trail\nInvoicing/Reporting/Management/Invoice Analysis\nInvoicing/Reporting/Partner Reports\nInvoicing/Reporting/Statement Reports\nInvoicing/Vendors\nInvoicing/Vendors/Bills\nInvoicing/Vendors/Payments\nInvoicing/Vendors/Products\nInvoicing/Vendors/Receipts\nInvoicing/Vendors/Refunds\nInvoicing/Vendors/Vendors,Hash integrity result PDF\nOriginal Bills\nPDF\nPDF without Payment\nPayment Receipt\nStatement,* INHERIT Document Layout (form)\n* INHERIT Invoice/Bill (qweb)\n* INHERIT Invoices / Bills (qweb)\n* INHERIT Portal layout : invoice menu entries (qweb)\n* INHERIT account.analytic.account.form.inherit (form)\n* INHERIT account.analytic.account.list.inherit (list)\n* INHERIT account.analytic.distribution.model.inherit.form (form)\n* INHERIT account.analytic.distribution.model.inherit.list (list)\n* INHERIT account.analytic.line.form.inherit.account (form)\n* INHERIT account.analytic.line.list.inherit.account (list)\n* INHERIT account.analytic.line.pivot (pivot)\n* INHERIT account.analytic.line.select.inherit.account (search)\n* INHERIT account.analytic.plan.inherit.form (form)\n* INHERIT account.duplicated.moves.list.js (list)\n* INHERIT account.invoice.select (search)\n* INHERIT account.move.line.kanban.mobile (kanban)\n* INHERIT account.move.line.list.grouped.bank.cash (list)\n* INHERIT account.move.line.list.grouped.misc (list)\n* INHERIT account.move.line.list.grouped.misc (list)\n* INHERIT account.move.line.list.grouped.partner (list)\n* INHERIT account.move.line.list.grouped.sales.purchase (list)\n* INHERIT account.move.line.tax.audit.list (list)\n* INHERIT account.move.list.multi.edit (list)\n* INHERIT account.move.with.gaps.in.sequence.filter (search)\n* INHERIT account.onboarding.tax.list (list)\n* INHERIT account.out.invoice.list (list)\n* INHERIT account.out.invoice.list (list)\n* INHERIT account.out.invoice.list (list)\n* INHERIT account.out.invoice.list (list)\n* INHERIT account.out.invoice.list (list)\n* INHERIT account.out.invoice.list (list)\n* INHERIT account.supplier.payment.list (list)\n* INHERIT account.supplier.payment.list (list)\n* INHERIT digest.digest.view.form.inherit.account.account (form)\n* INHERIT document_tax_totals (qweb)\n* INHERIT ir.actions.report.form.inherit.account (form)\n* INHERIT ir.module.module.list.inherit.account (search)\n* INHERIT partner.view.buttons (form)\n* INHERIT portal_my_details_fields (qweb)\n* INHERIT product.category.property.form.inherit (form)\n* INHERIT product.product.view.form.normalized.account.inherit (form)\n* INHERIT product.template.form.inherit (form)\n* INHERIT product.view.search.catalog.inherit.account (search)\n* INHERIT product_uom_form_view_inherit (form)\n* INHERIT report_invoice_document_preview (qweb)\n* INHERIT report_statement_internal_layout (qweb)\n* INHERIT res.company.form.inherit.account (form)\n* INHERIT res.config.settings.view.form.inherit.account (form)\n* INHERIT res.currency.form.inherit (form)\n* INHERIT res.partner.bank.form.inherit.account (form)\n* INHERIT res.partner.bank.search.inherit (search)\n* INHERIT res.partner.list.inherit.account (list)\n* INHERIT res.partner.property.form.inherit (form)\n* INHERIT res.partner.search.inherit (search)\nAccount Terms and Conditions Setting Banner (qweb)\nAutopost Bills (form)\nConfirm Entries (form)\nInvoice error/warning display (qweb)\nInvoice success display (qweb)\nMy Invoices and Payments (qweb)\nRe-sequence Journal Entries (form)\nTags (form)\nTags (list)\nTerms & Conditions (qweb)\naccount.account.form (form)\naccount.account.kanban (kanban)\naccount.account.list (list)\naccount.account.search (search)\naccount.accrued.orders.wizard.view (form)\naccount.automatic.entry.wizard.form (form)\naccount.bank.statement.graph (graph)\naccount.bank.statement.list (list)\naccount.bank.statement.pivot (pivot)\naccount.bank.statement.search (search)\naccount.cash.rounding.form (form)\naccount.cash.rounding.list (list)\naccount.cash.rounding.search (search)\naccount.financial.year.op.setup.wizard.form (form)\naccount.fiscal.position.filter (search)\naccount.fiscal.position.form (form)\naccount.fiscal.position.list (list)\naccount.full.reconcile.form (form)\naccount.group.form (form)\naccount.group.list (list)\naccount.group.search (search)\naccount.incoterms.form (form)\naccount.incoterms.list (list)\naccount.incoterms.search (search)\naccount.invoice.line.tax.search (list)\naccount.invoice.list (list)\naccount.invoice.report.graph (graph)\naccount.invoice.report.pivot (pivot)\naccount.invoice.report.search (search)\naccount.invoice.report.view.list (list)\naccount.invoice.select (search)\naccount.journal.dashboard.kanban (kanban)\naccount.journal.form (form)\naccount.journal.group.form (form)\naccount.journal.group.list (list)\naccount.journal.kanban (kanban)\naccount.journal.list (list)\naccount.journal.search (search)\naccount.lock_exception.form (form)\naccount.merge.wizard.form (form)\naccount.move.form (form)\naccount.move.kanban (kanban)\naccount.move.line.form (form)\naccount.move.line.graph (graph)\naccount.move.line.kanban (kanban)\naccount.move.line.list (list)\naccount.move.line.payment.list (list)\naccount.move.line.payment.search (search)\naccount.move.line.pivot (pivot)\naccount.move.line.search (search)\naccount.move.list (list)\naccount.move.reversal.form (form)\naccount.move.select (search)\naccount.move.send.batch.wizard.form (form)\naccount.move.send.wizard.form (form)\naccount.move.view.activity (activity)\naccount.online.sync.res.partner.bank.setup.form (form)\naccount.payment.form (form)\naccount.payment.graph (graph)\naccount.payment.kanban (kanban)\naccount.payment.list (list)\naccount.payment.method.line.kanban (kanban)\naccount.payment.method.line.list (list)\naccount.payment.register.form (form)\naccount.payment.search (search)\naccount.payment.term.form (form)\naccount.payment.term.kanban (kanban)\naccount.payment.term.list (list)\naccount.payment.term.search (search)\naccount.reconcile.model.form (form)\naccount.reconcile.model.line.form (form)\naccount.reconcile.model.list (list)\naccount.reconcile.model.search (search)\naccount.secure.entries.wizard.form (form)\naccount.setup.opening.move.line.list (list)\naccount.tag.view.search (search)\naccount.tax.form (form)\naccount.tax.group.form (form)\naccount.tax.group.list (list)\naccount.tax.group.search.filters (search)\naccount.tax.kanban (kanban)\naccount.tax.list (list)\naccount.tax.repartition.line.list (list)\naccount.tax.search (search)\naccount.tax.search.filters (search)\naccount_default_terms_and_conditions (qweb)\nbill_preview (qweb)\ndocument_tax_totals_company_currency_template (qweb)\ndocument_tax_totals_template (qweb)\nemail_template_mail_gateway_failed (qweb)\nmail.message.list.inherit.audit.log (list)\nmail.message.search (search)\nportal_invoice_required_fields_form (qweb)\nproduct.template.list (list)\nreport_hash_integrity (qweb)\nreport_invoice (qweb)\nreport_invoice_document (qweb)\nreport_invoice_with_payments (qweb)\nreport_invoice_wizard_iframe (qweb)\nreport_original_vendor_bill (qweb)\nreport_payment_receipt (qweb)\nreport_payment_receipt_document (qweb)\nreport_statement (qweb)\nres.company.form.view.onboarding (form)\nres.company.form.view.onboarding.sale.tax (form)\nres.company.view.form.terms (form)\nres.partner.list (list)\ntests_shared_js_python (qweb),official,\N
3,\N,\N,2026-08-18 06:34:43.027999,1,https://www.odoo.com/app/accounting,"{""en_US"": ""Invoices, Payments, Follow-ups & Bank synchronization (Enterprise)"", ""th_TH"": ""ใบแจ้งหนี้ การชำระเงิน การติดตามผลและการซิงโครไนซ์ร่วมกับธนาคาร (องค์กร)""}",account_accountant,Odoo S.A.,/account/static/description/icon.png,installed,18.0.1.1,"{""en_US"": ""Invoicing"", ""th_TH"": ""ใบแจ้งหนี้""}",2,"{""en_US"": ""\\nInvoicing Access Rights\\n========================\\nIt gives the Administrator user access to important invoicing features such as bank recon and payment follow-up.\\n\\n"", ""th_TH"": ""\\nสิทธิ์ในการเข้าถึงใบแจ้งหนี้\\n=========================\\nสิทธิ์นี้ช่วยให้ผู้ใช้ผู้ดูแลระบบสามารถเข้าถึงฟีเจอร์การออกใบแจ้งหนี้ที่สำคัญ เช่น การตรวจสอบบัญชีธนาคารและการติดตามการชำระเงิน\\n\\n""}",f,f,f,OEEL-1,30,t,f,\N,\N,\N,\N,Invoicing/Accounting/Lock Dates\nInvoicing/Accounting/Reconcile\nInvoicing/Configuration/Accounting/Account Groups\nInvoicing/Configuration/Accounting/Account Tags\nInvoicing/Configuration/Accounting/Fiscal Years,,* INHERIT account.account.form (form)\n* INHERIT account.bank.statement.list (list)\n* INHERIT account.journal.dashboard.kanban (kanban)\n* INHERIT account.move.form.inherit (form)\n* INHERIT account.move.line.deferral.entries.list (list)\n* INHERIT account.move.line.list (list)\n* INHERIT account.move.line.payment.list (list)\n* INHERIT account.payment.form.inherit.account_accountant (form)\n* INHERIT account.reconcile.model.form.inherit.account_accountant (form)\n* INHERIT digest.digest.view.form.inherit.account.accountant (form)\n* INHERIT product.template.form.inherit (form)\n* INHERIT report_invoice_document (qweb)\n* INHERIT res.config.settings.view.form.inherit.account.accountant (form)\n* INHERIT res.partner.form (form)\naccount.auto.reconcile.wizard.form (form)\naccount.bank.statement.form.bank_rec_widget (form)\naccount.bank.statement.line.form.bank_rec_widget (form)\naccount.bank.statement.line.form.bank_rec_widget (form)\naccount.bank.statement.line.kanban.bank_rec_widget (kanban)\naccount.bank.statement.line.list.bank_rec_widget (list)\naccount.bank.statement.line.search.bank_rec_widget (search)\naccount.change.lock.date.form (form)\naccount.fiscal.year.form (form)\naccount.fiscal.year.list (list)\naccount.fiscal.year.search (search)\naccount.move.form.bank_rec_widget (form)\naccount.move.line.list.bank_rec_widget (list)\naccount.move.line.list.reconcile (list)\naccount.move.line.reconcile.search (search)\naccount.move.line.search.bank_rec_widget (search)\naccount.reconcile.model.form (form)\naccount.reconcile.wizard.form (form),official,\N
9,\N,\N,2026-08-18 06:34:43.027999,1,,"{""en_US"": """"}",account_auto_transfer,Odoo S.A.,/account_auto_transfer/static/description/icon.png,installed,18.0.1.0,"{""en_US"": ""Account Automatic Transfers"", ""th_TH"": ""บัญชีการโอนเงินอัตโนมัติ""}",2,"{""en_US"": ""\\nAccount Automatic Transfers\\n===========================\\nManage automatic transfers between your accounts.\\n"", ""th_TH"": ""\\nบัญชีการโอนเงินอัตโนมัติ\\n===========================\\nจัดการการโอนเงินอัตโนมัติระหว่างบัญชีของคุณ\\n""}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,Invoicing/Accounting/Transfers,,* INHERIT account.auto.transfer.search (search)\naccount.auto.transfer.model.form (form)\naccount.auto.transfer.model.list (list)\naccount.auto.transfer.model.search (search),official,\N
