id,product_id,company_id,location_id,storage_category_id,lot_id,package_id,owner_id,user_id,create_uid,write_uid,inventory_date,quantity,reserved_quantity,inventory_quantity,inventory_diff_quantity,inventory_quantity_set,in_date,create_date,write_date,accounting_date
443,2607,1,97,\N,\N,\N,\N,\N,1,1,2026-12-31,53.000000,0,0.000000,0.000000,f,2026-08-25 12:19:38,2026-08-25 12:19:38.281736,2026-08-25 19:22:09.033854,\N
4,1284,1,14,\N,\N,\N,\N,\N,1,1,\N,-1.000000,0.000000,\N,1.000000,f,2026-08-25 12:19:14,2026-08-25 12:19:13.83922,2026-08-25 12:19:13.83922,\N
5,3475,1,8,\N,\N,\N,\N,\N,1,1,2026-12-31,2.000000,0.000000,0.000000,0.000000,f,2026-08-25 12:19:14,2026-08-25 12:19:14.199087,2026-08-25 12:22:30.475111,\N
6,3475,1,14,\N,\N,\N,\N,\N,1,1,\N,-2.000000,0.000000,\N,2.000000,f,2026-08-25 12:19:14,2026-08-25 12:19:14.199087,2026-08-25 12:19:14.199087,\N
7,2635,1,8,\N,\N,\N,\N,\N,1,1,2026-12-31,1.000000,0.000000,0.000000,0.000000,f,2026-08-25 12:19:14,2026-08-25 12:19:14.302142,2026-08-25 12:22:30.535377,\N
40,1473,1,14,\N,\N,\N,\N,\N,1,1,\N,-65.590000,0.000000,\N,65.590000,f,2026-08-25 12:19:15,2026-08-25 12:19:15.942334,2026-08-25 12:19:15.942334,\N
8,2635,1,14,\N,\N,\N,\N,\N,1,1,\N,-1.000000,0.000000,\N,1.000000,f,2026-08-25 12:19:14,2026-08-25 12:19:14.302142,2026-08-25 12:19:14.302142,\N
9,3670,1,8,\N,\N,\N,\N,\N,1,1,2026-12-31,1.000000,0.000000,0.000000,0.000000,f,2026-08-25 12:19:14,2026-08-25 12:19:14.427859,2026-08-25 12:22:30.594022,\N
10,3670,1,14,\N,\N,\N,\N,\N,1,1,\N,-1.000000,0.000000,\N,1.000000,f,2026-08-25 12:19:14,2026-08-25 12:19:14.427859,2026-08-25 12:19:14.427859,\N
11,3487,1,8,\N,\N,\N,\N,\N,1,1,2026-12-31,2.000000,0.000000,0.000000,0.000000,f,2026-08-25 12:19:14,2026-08-25 12:19:14.52728,2026-08-25 12:22:30.65143,\N
12,3487,1,14,\N,\N,\N,\N,\N,1,1,\N,-2.000000,0.000000,\N,2.000000,f,2026-08-25 12:19:14,2026-08-25 12:19:14.52728,2026-08-25 12:19:14.52728,\N
13,3671,1,8,\N,\N,\N,\N,\N,1,1,2026-12-31,68.000000,0.000000,0.000000,0.000000,f,2026-08-25 12:19:14,2026-08-25 12:19:14.621404,2026-08-25 12:22:30.704706,\N
14,3671,1,14,\N,\N,\N,\N,\N,1,1,\N,-68.000000,0.000000,\N,68.000000,f,2026-08-25 12:19:14,2026-08-25 12:19:14.621404,2026-08-25 12:19:14.621404,\N
15,1472,1,8,\N,\N,\N,\N,\N,1,1,2026-12-31,31.940000,0.000000,0.000000,0.000000,f,2026-08-25 12:19:14,2026-08-25 12:19:14.715122,2026-08-25 12:22:30.761426,\N
16,1472,1,14,\N,\N,\N,\N,\N,1,1,\N,-31.940000,0.000000,\N,31.940000,f,2026-08-25 12:19:14,2026-08-25 12:19:14.715122,2026-08-25 12:19:14.715122,\N
17,3384,1,8,\N,\N,\N,\N,\N,1,1,2026-12-31,597.910000,0.000000,0.000000,0.000000,f,2026-08-25 12:19:14,2026-08-25 12:19:14.807875,2026-08-25 12:22:30.819133,\N
18,3384,1,14,\N,\N,\N,\N,\N,1,1,\N,-597.910000,0.000000,\N,597.910000,f,2026-08-25 12:19:14,2026-08-25 12:19:14.807875,2026-08-25 12:19:14.807875,\N
19,1471,1,8,\N,\N,\N,\N,\N,1,1,2026-12-31,1448.630000,0.000000,0.000000,0.000000,f,2026-08-25 12:19:15,2026-08-25 12:19:15.029585,2026-08-25 12:22:30.875777,\N
20,1471,1,14,\N,\N,\N,\N,\N,1,1,\N,-1448.630000,0.000000,\N,1448.630000,f,2026-08-25 12:19:15,2026-08-25 12:19:15.029585,2026-08-25 12:19:15.029585,\N
22,3672,1,8,\N,\N,\N,\N,\N,1,1,2026-12-31,-85.670000,0.000000,0.000000,0.000000,f,2026-08-25 12:19:15,2026-08-25 12:19:15.141296,2026-08-25 12:22:30.954768,\N
1431,2234,1,14,\N,\N,\N,\N,\N,1,1,\N,-4.000000,0.000000,\N,4.000000,f,2026-08-25 12:20:32,2026-08-25 12:20:32.752348,2026-08-25 12:20:32.752348,\N
23,3672,1,14,\N,\N,\N,\N,\N,1,1,\N,85.670000,0.000000,\N,-85.670000,f,2026-08-25 12:19:15,2026-08-25 12:19:15.141296,2026-08-25 12:19:15.141296,\N
24,3382,1,8,\N,\N,\N,\N,\N,1,1,2026-12-31,74.500000,0.000000,0.000000,0.000000,f,2026-08-25 12:19:15,2026-08-25 12:19:15.24293,2026-08-25 12:22:31.012429,\N
25,3382,1,14,\N,\N,\N,\N,\N,1,1,\N,-74.500000,0.000000,\N,74.500000,f,2026-08-25 12:19:15,2026-08-25 12:19:15.24293,2026-08-25 12:19:15.24293,\N
26,28,1,8,\N,\N,\N,\N,\N,1,1,2026-12-31,20.000000,0.000000,0.000000,0.000000,f,2026-08-25 12:19:15,2026-08-25 12:19:15.336579,2026-08-25 12:22:31.068878,\N
27,28,1,14,\N,\N,\N,\N,\N,1,1,\N,-20.000000,0.000000,\N,20.000000,f,2026-08-25 12:19:15,2026-08-25 12:19:15.336579,2026-08-25 12:19:15.336579,\N
28,3675,1,8,\N,\N,\N,\N,\N,1,1,2026-12-31,4.000000,0.000000,0.000000,0.000000,f,2026-08-25 12:19:15,2026-08-25 12:19:15.429372,2026-08-25 12:22:31.124898,\N
29,3675,1,14,\N,\N,\N,\N,\N,1,1,\N,-4.000000,0.000000,\N,4.000000,f,2026-08-25 12:19:15,2026-08-25 12:19:15.429372,2026-08-25 12:19:15.429372,\N
31,3674,1,8,\N,\N,\N,\N,\N,1,1,2026-12-31,10.000000,0.000000,0.000000,0.000000,f,2026-08-25 12:19:15,2026-08-25 12:19:15.543092,2026-08-25 12:22:31.199785,\N
1033,1828,1,105,\N,\N,\N,\N,\N,1,1,2026-12-31,2.000000,0,0.000000,0.000000,f,2026-08-25 12:20:11,2026-08-25 12:20:11.235144,2026-08-25 19:22:09.033854,\N
32,3674,1,14,\N,\N,\N,\N,\N,1,1,\N,-10.000000,0.000000,\N,10.000000,f,2026-08-25 12:19:15,2026-08-25 12:19:15.543092,2026-08-25 12:19:15.543092,\N
33,482,1,8,\N,\N,\N,\N,\N,1,1,2026-12-31,1.000000,0.000000,0.000000,0.000000,f,2026-08-25 12:19:15,2026-08-25 12:19:15.636744,2026-08-25 12:22:31.256503,\N
