kind,identity,module,discovery,source_pointer,observed_on,n_deployments
ACCESS,delivery_easypost.access_delivery_carrier_easypost,delivery_easypost,SOURCE ONLY,delivery_easypost/security/ir.model.access.csv,,0
ACCESS,delivery_easypost.access_delivery_easypost_service,delivery_easypost,SOURCE ONLY,delivery_easypost/security/ir.model.access.csv,,0
ACCESS,delivery_easypost.access_delivery_easypost_service_manager,delivery_easypost,SOURCE ONLY,delivery_easypost/security/ir.model.access.csv,,0
ACCESS,delivery_easypost.access_delivery_easypost_service_partner_manager,delivery_easypost,SOURCE ONLY,delivery_easypost/security/ir.model.access.csv,,0
ACCESS,delivery_easypost.access_delivery_easypost_service_stock_manager,delivery_easypost,SOURCE ONLY,delivery_easypost/security/ir.model.access.csv,,0
ACCESS,delivery_easypost.access_delivery_easypost_service_stock_user,delivery_easypost,SOURCE ONLY,delivery_easypost/security/ir.model.access.csv,,0
ACCESS,delivery_envia.access_envia_shipping_wizard_sale,delivery_envia,SOURCE ONLY,delivery_envia/security/ir.model.access.csv,,0
ACCESS,delivery_envia.access_envia_shipping_wizard_stock,delivery_envia,SOURCE ONLY,delivery_envia/security/ir.model.access.csv,,0
ACCESS,delivery_sendcloud.access_sendcloud_shipping_product_sale,delivery_sendcloud,SOURCE ONLY,delivery_sendcloud/security/ir.model.access.csv,,0
ACCESS,delivery_sendcloud.access_sendcloud_shipping_product_stock,delivery_sendcloud,SOURCE ONLY,delivery_sendcloud/security/ir.model.access.csv,,0
ACCESS,delivery_sendcloud.access_sendcloud_shipping_wizard_sale,delivery_sendcloud,SOURCE ONLY,delivery_sendcloud/security/ir.model.access.csv,,0
ACCESS,delivery_sendcloud.access_sendcloud_shipping_wizard_stock,delivery_sendcloud,SOURCE ONLY,delivery_sendcloud/security/ir.model.access.csv,,0
ACCESS,delivery_shiprocket.access_shiprocket_channel,delivery_shiprocket,SOURCE ONLY,delivery_shiprocket/security/ir.model.access.csv,,0
ACCESS,delivery_shiprocket.access_shiprocket_channel_manager,delivery_shiprocket,SOURCE ONLY,delivery_shiprocket/security/ir.model.access.csv,,0
ACCESS,delivery_shiprocket.access_shiprocket_channel_stock_manager,delivery_shiprocket,SOURCE ONLY,delivery_shiprocket/security/ir.model.access.csv,,0
ACCESS,delivery_shiprocket.access_shiprocket_channel_stock_user,delivery_shiprocket,SOURCE ONLY,delivery_shiprocket/security/ir.model.access.csv,,0
ACCESS,delivery_shiprocket.access_shiprocket_courier,delivery_shiprocket,SOURCE ONLY,delivery_shiprocket/security/ir.model.access.csv,,0
ACCESS,delivery_shiprocket.access_shiprocket_courier_manager,delivery_shiprocket,SOURCE ONLY,delivery_shiprocket/security/ir.model.access.csv,,0
ACCESS,delivery_shiprocket.access_shiprocket_courier_stock_manager,delivery_shiprocket,SOURCE ONLY,delivery_shiprocket/security/ir.model.access.csv,,0
ACCESS,delivery_shiprocket.access_shiprocket_courier_stock_user,delivery_shiprocket,SOURCE ONLY,delivery_shiprocket/security/ir.model.access.csv,,0
ACCESS,delivery_starshipit.access_starshipit_shipping_wizard_sale,delivery_starshipit,SOURCE ONLY,delivery_starshipit/security/ir.model.access.csv,,0
ACCESS,delivery_starshipit.access_starshipit_shipping_wizard_stock,delivery_starshipit,SOURCE ONLY,delivery_starshipit/security/ir.model.access.csv,,0
ACCESS,industry_fsm_repair.access_fsm_repair,industry_fsm_repair,BOTH,industry_fsm_repair/security/ir.model.access.csv,iTEST02,1
ACCESS,industry_fsm_stock.access_fsm_stock_move,industry_fsm_stock,BOTH,industry_fsm_stock/security/ir.model.access.csv,iTEST02;idemo18_uat,2
ACCESS,industry_fsm_stock.access_fsm_stock_picking,industry_fsm_stock,BOTH,industry_fsm_stock/security/ir.model.access.csv,iTEST02;idemo18_uat,2
ACCESS,industry_fsm_stock.access_fsm_stock_tracking,industry_fsm_stock,BOTH,industry_fsm_stock/security/ir.model.access.csv,iTEST02;idemo18_uat,2
ACCESS,industry_fsm_stock.access_fsm_stock_tracking_line,industry_fsm_stock,BOTH,industry_fsm_stock/security/ir.model.access.csv,iTEST02;idemo18_uat,2
ACCESS,industry_fsm_stock.write_access_fsm_stock_tracking,industry_fsm_stock,BOTH,industry_fsm_stock/security/ir.model.access.csv,iTEST02;idemo18_uat,2
ACCESS,industry_fsm_stock.write_access_fsm_stock_tracking_line,industry_fsm_stock,BOTH,industry_fsm_stock/security/ir.model.access.csv,iTEST02;idemo18_uat,2
ACCESS,l10n_cl_edi_stock.access_dte_caf_manager,l10n_cl_edi_stock,SOURCE ONLY,l10n_cl_edi_stock/security/ir.model.access.csv,,0
ACCESS,l10n_in_ewaybill_stock.l10n_in_ewaybill_stock.access_l10n_in_ewaybill_stock,l10n_in_ewaybill_stock,SOURCE ONLY,l10n_in_ewaybill_stock/security/ir.model.access.csv,,0
ACCESS,l10n_in_ewaybill_stock.l10n_in_ewaybill_stock.access_l10n_in_ewaybill_stock_cancel,l10n_in_ewaybill_stock,SOURCE ONLY,l10n_in_ewaybill_stock/security/ir.model.access.csv,,0
ACCESS,l10n_ke_edi_oscu_stock.access_customs_import_purchase_user,l10n_ke_edi_oscu_stock,SOURCE ONLY,l10n_ke_edi_oscu_stock/security/ir.model.access.csv,,0
ACCESS,l10n_ke_edi_oscu_stock.l10n_ke_edi_customs_import_invoice,l10n_ke_edi_oscu_stock,SOURCE ONLY,l10n_ke_edi_oscu_stock/security/ir.model.access.csv,,0
ACCESS,l10n_mx_edi_stock.access_l10n_mx_edi_customs_document_type,l10n_mx_edi_stock,SOURCE ONLY,l10n_mx_edi_stock/security/ir.model.access.csv,,0
ACCESS,l10n_mx_edi_stock.access_l10n_mx_edi_customs_regime,l10n_mx_edi_stock,SOURCE ONLY,l10n_mx_edi_stock/security/ir.model.access.csv,,0
ACCESS,l10n_mx_edi_stock.access_l10n_mx_edi_figure,l10n_mx_edi_stock,SOURCE ONLY,l10n_mx_edi_stock/security/ir.model.access.csv,,0
ACCESS,l10n_mx_edi_stock.access_l10n_mx_edi_hazardous_material,l10n_mx_edi_stock,SOURCE ONLY,l10n_mx_edi_stock/security/ir.model.access.csv,,0
ACCESS,l10n_mx_edi_stock.access_l10n_mx_edi_part,l10n_mx_edi_stock,SOURCE ONLY,l10n_mx_edi_stock/security/ir.model.access.csv,,0
