Evidence ID,Source Module,Source Zip (Inventory),Manifest Name,Category,Present In Source Zip,Also In addons_extra.zip,Preliminary Classification,Classification Rule,Status
PS04-MOD-0001,account,01 ACCOUNT.zip,Invoicing,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0002,account_3way_match,01 ACCOUNT.zip,Vendor Bill: Release to Pay,Supply Chain/Purchase,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0003,account_accountant,01 ACCOUNT.zip,Invoicing,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0004,account_accountant_batch_payment,01 ACCOUNT.zip,Account Batch Payment Reconciliation,Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0005,account_accountant_check_printing,01 ACCOUNT.zip,Account accountant check printing,Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0006,account_accountant_fleet,01 ACCOUNT.zip,Accounting/Fleet bridge,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0007,account_add_gln,01 ACCOUNT.zip,Add Partner GLN,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0008,account_asset,01 ACCOUNT.zip,Assets Management,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0009,account_asset_fleet,01 ACCOUNT.zip,Assets/Fleet bridge,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0010,account_avatax,01 ACCOUNT.zip,Avatax,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0011,account_avatax_geolocalize,01 ACCOUNT.zip,Avatax for geo localization,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
