module	group	phase
base	01_PLATFORM_BASE	CURRENT_STUDY
web	01_PLATFORM_BASE	CURRENT_STUDY
base_setup	01_PLATFORM_BASE	CURRENT_STUDY
bus	01_PLATFORM_BASE	CURRENT_STUDY
html_editor	01_PLATFORM_BASE	CURRENT_STUDY
web_tour	01_PLATFORM_BASE	CURRENT_STUDY
mail	01_PLATFORM_BASE	CURRENT_STUDY
auth_signup	01_PLATFORM_BASE	CURRENT_STUDY
http_routing	01_PLATFORM_BASE	CURRENT_STUDY
portal	01_PLATFORM_BASE	CURRENT_STUDY
resource	01_PLATFORM_BASE	CURRENT_STUDY
digest	01_PLATFORM_BASE	CURRENT_STUDY
utm	01_PLATFORM_BASE	CURRENT_STUDY
onboarding	01_PLATFORM_BASE	CURRENT_STUDY
phone_validation	01_PLATFORM_BASE	CURRENT_STUDY
google_recaptcha	01_PLATFORM_BASE	CURRENT_STUDY
html_builder	01_PLATFORM_BASE	CURRENT_STUDY
resource_mail	01_PLATFORM_BASE	CURRENT_STUDY
web_hierarchy	01_PLATFORM_BASE	CURRENT_STUDY
base_automation	01_PLATFORM_BASE	CURRENT_STUDY
base_sparse_field	01_PLATFORM_BASE	CURRENT_STUDY
privacy_lookup	01_PLATFORM_BASE	CURRENT_STUDY
web_unsplash	01_PLATFORM_BASE	CURRENT_STUDY
auth_totp	02_IDENTITY_ACCESS	CURRENT_STUDY
auth_passkey	02_IDENTITY_ACCESS	CURRENT_STUDY
auth_password_policy	02_IDENTITY_ACCESS	CURRENT_STUDY
auth_totp_mail	02_IDENTITY_ACCESS	CURRENT_STUDY
auth_ldap	02_IDENTITY_ACCESS	CURRENT_STUDY
auth_oauth	02_IDENTITY_ACCESS	CURRENT_STUDY
auth_passkey_portal	02_IDENTITY_ACCESS	CURRENT_STUDY
auth_password_policy_portal	02_IDENTITY_ACCESS	CURRENT_STUDY
auth_password_policy_signup	02_IDENTITY_ACCESS	CURRENT_STUDY
auth_timeout	02_IDENTITY_ACCESS	CURRENT_STUDY
auth_totp_portal	02_IDENTITY_ACCESS	CURRENT_STUDY
uom	03_MASTER_DATA	CURRENT_STUDY
analytic	03_MASTER_DATA	CURRENT_STUDY
product	03_MASTER_DATA	CURRENT_STUDY
contacts	03_MASTER_DATA	CURRENT_STUDY
base_geolocalize	03_MASTER_DATA	CURRENT_STUDY
partnership	03_MASTER_DATA	CURRENT_STUDY
product_matrix	03_MASTER_DATA	CURRENT_STUDY
base_address_extended	03_MASTER_DATA	CURRENT_STUDY
partner_autocomplete	03_MASTER_DATA	CURRENT_STUDY
product_email_template	03_MASTER_DATA	CURRENT_STUDY
product_margin	03_MASTER_DATA	CURRENT_STUDY
account	04_ACCOUNT_BASE	CURRENT_STUDY
account_add_gln	04_ACCOUNT_BASE	CURRENT_STUDY
account_tax_python	04_ACCOUNT_BASE	CURRENT_STUDY
account_test	04_ACCOUNT_BASE	CURRENT_STUDY
account_update_tax_tags	04_ACCOUNT_BASE	CURRENT_STUDY
base_iban	04_ACCOUNT_BASE	CURRENT_STUDY
base_vat	04_ACCOUNT_BASE	CURRENT_STUDY
l10n_account_withholding_tax	04_ACCOUNT_BASE	CURRENT_STUDY
l10n_th	04_ACCOUNT_BASE	CURRENT_STUDY
barcodes	05_INVENTORY	CURRENT_STUDY
barcodes_gs1_nomenclature	05_INVENTORY	CURRENT_STUDY
stock	05_INVENTORY	CURRENT_STUDY
stock_account	05_INVENTORY	CURRENT_STUDY
stock_landed_costs	05_INVENTORY	CURRENT_STUDY
repair	05_INVENTORY	CURRENT_STUDY
product_expiry	05_INVENTORY	CURRENT_STUDY
stock_picking_batch	05_INVENTORY	CURRENT_STUDY
stock_delivery	05_INVENTORY	CURRENT_STUDY
stock_dropshipping	05_INVENTORY	CURRENT_STUDY
delivery_stock_picking_batch	05_INVENTORY	CURRENT_STUDY
stock_fleet	05_INVENTORY	CURRENT_STUDY
stock_maintenance	05_INVENTORY	CURRENT_STUDY
stock_sms	05_INVENTORY	CURRENT_STUDY
mrp	06_MANUFACTURING	CURRENT_STUDY
mrp_subcontracting	06_MANUFACTURING	CURRENT_STUDY
mrp_account	06_MANUFACTURING	CURRENT_STUDY
maintenance	06_MANUFACTURING	CURRENT_STUDY
mrp_landed_costs	06_MANUFACTURING	CURRENT_STUDY
mrp_product_expiry	06_MANUFACTURING	CURRENT_STUDY
mrp_repair	06_MANUFACTURING	CURRENT_STUDY
mrp_subcontracting_account	06_MANUFACTURING	CURRENT_STUDY
mrp_subcontracting_dropshipping	06_MANUFACTURING	CURRENT_STUDY
mrp_subcontracting_landed_costs	06_MANUFACTURING	CURRENT_STUDY
mrp_subcontracting_purchase	06_MANUFACTURING	CURRENT_STUDY
mrp_subcontracting_repair	06_MANUFACTURING	CURRENT_STUDY
purchase	07_PURCHASE	CURRENT_STUDY
purchase_stock	07_PURCHASE	CURRENT_STUDY
purchase_requisition	07_PURCHASE	CURRENT_STUDY
purchase_mrp	07_PURCHASE	CURRENT_STUDY
purchase_edi_ubl_bis3	07_PURCHASE	CURRENT_STUDY
purchase_product_matrix	07_PURCHASE	CURRENT_STUDY
purchase_repair	07_PURCHASE	CURRENT_STUDY
purchase_requisition_sale	07_PURCHASE	CURRENT_STUDY
purchase_requisition_stock	07_PURCHASE	CURRENT_STUDY
sales_team	08_SALES	CURRENT_STUDY
sale	08_SALES	CURRENT_STUDY
sale_management	08_SALES	CURRENT_STUDY
sale_stock	08_SALES	CURRENT_STUDY
sale_service	08_SALES	CURRENT_STUDY
sale_project	08_SALES	CURRENT_STUDY
delivery	08_SALES	CURRENT_STUDY
sale_purchase	08_SALES	CURRENT_STUDY
