menu_id	depth	is_leaf	children	opens	path
15	1	0	4		Apps
55	2	1	0	ir.actions.act_window,46	Apps / Apply Scheduled Upgrades
48	2	0	4		Apps / Apps
49	3	1	0	ir.actions.act_window,39	Apps / Apps / Main Apps
52	3	1	0	ir.actions.act_url,41	Apps / Apps / Theme Store
50	3	1	0		Apps / Apps / Theme Store
51	3	1	0	ir.actions.act_url,40	Apps / Apps / Third-Party Apps
67	2	1	0	ir.actions.act_window,84	Apps / Import Module
53	2	1	0	ir.actions.act_window,43	Apps / Update Apps List
595	1	0	5		Attendances
603	2	0	3		Attendances / Configuration
604	3	1	0	ir.actions.server,912	Attendances / Configuration / Onboarding
606	3	1	0	ir.actions.act_window,922	Attendances / Configuration / Overtime Rulesets
605	3	1	0	ir.actions.act_window,920	Attendances / Configuration / Settings
596	2	1	0	ir.actions.server,918	Attendances / Kiosk Mode
602	2	1	0	ir.actions.act_window,916	Attendances / Management
599	2	0	2		Attendances / Overview
600	3	1	0	ir.actions.act_window,914	Attendances / Overview / Dashboard
601	3	1	0	ir.actions.act_window,818	Attendances / Overview / Employees
597	2	0	2		Attendances / Reporting
598	3	1	0	ir.actions.act_window,915	Attendances / Reporting / Attendances
643	3	1	0	ir.actions.act_window,982	Attendances / Reporting / Time Off Ledger
203	1	0	5		CRM
215	2	0	9	ir.actions.server,315	CRM / Configuration
220	3	0	2		CRM / Configuration / Activities
222	4	1	0	ir.actions.act_window,336	CRM / Configuration / Activities / Activity Plans
221	4	1	0	ir.actions.act_window,209	CRM / Configuration / Activities / Activity Types
237	3	0	2		CRM / Configuration / Lead Generation
238	4	1	0	ir.actions.act_window,357	CRM / Configuration / Lead Generation / Lead Mining Requests
709	4	1	0	ir.actions.act_window,1090	CRM / Configuration / Lead Generation / Visits to Leads Rules
688	3	0	2		CRM / Configuration / Members
689	4	1	0	ir.actions.act_window,1061	CRM / Configuration / Members / Levels
711	4	1	0	ir.actions.act_window,1094	CRM / Configuration / Members / Partner Activations
217	3	1	0		CRM / Configuration / Opportunities
224	3	0	3		CRM / Configuration / Pipeline
227	4	1	0	ir.actions.act_window,324	CRM / Configuration / Pipeline / Lost Reasons
225	4	1	0	ir.actions.act_window,325	CRM / Configuration / Pipeline / Stages
226	4	1	0	ir.actions.act_window,204	CRM / Configuration / Pipeline / Tags
223	3	1	0	ir.actions.act_window,323	CRM / Configuration / Recurring Plans
218	3	1	0	ir.actions.act_window,207	CRM / Configuration / Sales Teams
216	3	1	0	ir.actions.act_window,337	CRM / Configuration / Settings
219	3	1	0	ir.actions.act_window,208	CRM / Configuration / Teams Members
228	2	1	0		CRM / Import & Synchronize
209	2	1	0	ir.actions.act_window,329	CRM / Leads
210	2	0	6		CRM / Reporting
214	3	1	0	ir.actions.act_window,338	CRM / Reporting / Activities
211	3	1	0	ir.actions.server,316	CRM / Reporting / Forecast
710	3	1	0	ir.actions.act_window,1091	CRM / Reporting / Lead Generation Views
213	3	1	0	ir.actions.act_window,341	CRM / Reporting / Leads
712	3	1	0	ir.actions.act_window,1095	CRM / Reporting / Partnerships
212	3	1	0	ir.actions.act_window,340	CRM / Reporting / Pipeline
204	2	0	5		CRM / Sales
208	3	1	0	ir.actions.act_window,55	CRM / Sales / Customers
206	3	1	0	ir.actions.act_window,330	CRM / Sales / My Activities
205	3	1	0	ir.actions.server,315	CRM / Sales / My Pipeline
276	3	1	0	ir.actions.act_window,379	CRM / Sales / My Quotations
207	3	1	0	ir.actions.act_window,206	CRM / Sales / Teams
121	1	0	2		Calendar
122	2	1	0	ir.actions.act_window,167	Calendar / Calendar
123	2	0	2	ir.actions.act_window,167	Calendar / Configuration
125	3	1	0	ir.actions.act_window,166	Calendar / Configuration / Reminders
124	3	1	0	ir.actions.act_window,168	Calendar / Configuration / Settings
129	1	0	2		Contacts
131	2	0	5		Contacts / Configuration
138	3	0	2		Contacts / Configuration / Bank Accounts
140	4	1	0	ir.actions.act_window,61	Contacts / Configuration / Bank Accounts / Bank Accounts
139	4	1	0	ir.actions.act_window,60	Contacts / Configuration / Bank Accounts / Banks
132	3	1	0	ir.actions.act_window,58	Contacts / Configuration / Contact Tags
133	3	1	0	ir.actions.act_window,59	Contacts / Configuration / Industries
134	3	0	4		Contacts / Configuration / Localization
735	4	1	0	ir.actions.act_window,1126	Contacts / Configuration / Localization / Cities
135	4	1	0	ir.actions.act_window,62	Contacts / Configuration / Localization / Countries
136	4	1	0	ir.actions.act_window,63	Contacts / Configuration / Localization / Country Group
137	4	1	0	ir.actions.act_window,64	Contacts / Configuration / Localization / Fed. States
732	3	1	0	ir.actions.act_window,1119	Contacts / Configuration / Website Tags
130	2	1	0	ir.actions.act_window,170	Contacts / Contacts
229	1	0	3	ir.actions.client,348	Dashboards
231	2	0	1		Dashboards / Configuration
232	3	1	0	ir.actions.act_window,349	Dashboards / Configuration / Dashboards
230	2	1	0	ir.actions.client,348	Dashboards / Dashboards
736	2	1	0	ir.actions.act_window,1128	Dashboards / My Dashboard
83	1	0	4	ir.actions.client,124	Discuss
85	2	1	0	ir.actions.act_window,123	Discuss / Channels
86	2	0	4		Discuss / Configuration
89	3	1	0	ir.actions.act_window,125	Discuss / Configuration / Canned Responses
87	3	1	0	ir.actions.client,140	Discuss / Configuration / Notifications
90	3	1	0	ir.actions.act_window,126	Discuss / Configuration / Roles
88	3	1	0	ir.actions.client,141	Discuss / Configuration / Voice & Video
84	2	1	0	ir.actions.client,124	Discuss / Discuss
119	2	0	1		Discuss / Technical
120	3	1	0	ir.actions.act_window,152	Discuss / Technical / Call History
515	1	0	7		Employees
521	2	0	5		Employees / Configuration
544	3	0	3		Employees / Configuration / Challenges
545	4	1	0	ir.actions.act_window,696	Employees / Configuration / Challenges / Badges
546	4	1	0	ir.actions.act_window,846	Employees / Configuration / Challenges / Challenges
547	4	1	0	ir.actions.act_window,845	Employees / Configuration / Challenges / Goals History
522	3	0	6		Employees / Configuration / Employee
526	4	1	0	ir.actions.act_window,810	Employees / Configuration / Employee / Departure Reasons
523	5	1	0	ir.actions.act_window,806	Employees / Configuration / Employee / Onboarding / Offboarding
550	4	1	0	ir.actions.act_window,851	Employees / Configuration / Employee / Skill Types
527	4	1	0	ir.actions.act_window,814	Employees / Configuration / Employee / Tags
524	4	1	0	ir.actions.act_window,825	Employees / Configuration / Employee / Work Locations
525	4	1	0	ir.actions.act_window,99	Employees / Configuration / Employee / Working Schedules
528	3	0	3		Employees / Configuration / Recruitment
530	4	1	0	ir.actions.act_window,809	Employees / Configuration / Recruitment / Contract Templates
531	4	1	0	ir.actions.act_window,811	Employees / Configuration / Recruitment / Employment Types
529	4	1	0	ir.actions.act_window,813	Employees / Configuration / Recruitment / Job Positions
548	3	0	1		Employees / Configuration / Resume
549	4	1	0	ir.actions.act_window,849	Employees / Configuration / Resume / Sections
532	3	1	0	ir.actions.act_window,826	Employees / Configuration / Settings
520	2	1	0	ir.actions.act_window,824	Employees / Departments
518	2	1	0	ir.actions.act_window,815	Employees / Directory
517	2	1	0	ir.actions.act_window,818	Employees / Employees
516	2	1	0		Employees / Human Resources
552	2	0	3		Employees / Learning
553	3	1	0	ir.actions.act_window,852	Employees / Learning / Certifications
557	3	0	2		Employees / Learning / Courses
558	4	1	0	ir.actions.act_window,862	Employees / Learning / Courses / Onsite
677	4	1	0	ir.actions.act_window,1031	Employees / Learning / Courses / eLearning
554	3	1	0	ir.actions.act_window,850	Employees / Learning / Training Attendances
519	2	0	1		Employees / Reporting
551	3	0	2		Employees / Reporting / Skills
555	4	1	0	ir.actions.act_window,856	Employees / Reporting / Skills / Certifications
556	4	1	0	ir.actions.act_window,857	Employees / Reporting / Skills / Skills Inventory
443	1	0	4		Events
446	2	0	9		Events / Configuration
578	3	1	0	ir.actions.act_window,894	Events / Configuration / Booth Categories
579	3	1	0	ir.actions.act_window,896	Events / Configuration / Booths
451	3	1	0	ir.actions.act_window,736	Events / Configuration / Event Questions
448	3	1	0	ir.actions.act_window,725	Events / Configuration / Event Stages
450	3	1	0	ir.actions.act_window,735	Events / Configuration / Event Tags Categories
447	3	1	0	ir.actions.act_window,722	Events / Configuration / Event Templates
474	3	1	0	ir.actions.act_window,764	Events / Configuration / Lead Generation
449	3	1	0	ir.actions.act_window,714	Events / Configuration / Mail Schedulers
454	3	1	0	ir.actions.act_window,734	Events / Configuration / Settings
444	2	1	0	ir.actions.act_window,724	Events / Events
453	2	1	0	ir.actions.client,723	Events / Registration Desk
445	2	0	2		Events / Reporting
452	3	1	0	ir.actions.act_window,719	Events / Reporting / Attendees
492	3	1	0	ir.actions.act_window,779	Events / Reporting / Revenues
533	1	0	3		Expenses
539	2	0	3		Expenses / Configuration
542	3	1	0	ir.actions.act_window,840	Expenses / Configuration / Activity Types
540	3	1	0	ir.actions.act_window,833	Expenses / Configuration / Expense Categories
543	3	1	0	ir.actions.act_window,843	Expenses / Configuration / Settings
534	2	0	2		Expenses / My Expenses
536	3	1	0	ir.actions.act_window,835	Expenses / My Expenses / Expenses to Process
535	3	1	0	ir.actions.act_window,834	Expenses / My Expenses / My Expenses
537	2	0	1		Expenses / Reporting
538	3	1	0	ir.actions.act_window,836	Expenses / Reporting / Expenses Analysis
494	1	0	3		Fleet
495	2	0	5		Fleet / Configuration
512	3	1	0	ir.actions.act_window,800	Fleet / Configuration / Activity Types
496	3	0	3		Fleet / Configuration / Models
499	4	1	0	ir.actions.act_window,790	Fleet / Configuration / Models / Categories
497	4	1	0	ir.actions.act_window,789	Fleet / Configuration / Models / Manufacturers
498	4	1	0	ir.actions.act_window,788	Fleet / Configuration / Models / Models
503	3	0	1		Fleet / Configuration / Services
504	4	1	0	ir.actions.act_window,793	Fleet / Configuration / Services / Types
513	3	1	0	ir.actions.act_window,801	Fleet / Configuration / Settings
505	3	0	2		Fleet / Configuration / Vehicle
506	4	1	0	ir.actions.act_window,794	Fleet / Configuration / Vehicle / Status
507	4	1	0	ir.actions.act_window,795	Fleet / Configuration / Vehicle / Tags
500	2	0	4		Fleet / Fleet
508	3	1	0	ir.actions.act_window,797	Fleet / Fleet / Contracts
501	3	1	0	ir.actions.act_window,791	Fleet / Fleet / Fleet
502	3	1	0	ir.actions.act_window,792	Fleet / Fleet / Odometers
509	3	1	0	ir.actions.act_window,798	Fleet / Fleet / Services
510	2	0	2		Fleet / Reporting
511	3	1	0	ir.actions.act_window,799	Fleet / Reporting / Costs
514	3	1	0	ir.actions.act_window,802	Fleet / Reporting / Odometers
324	1	0	5		Inventory
329	2	0	4		Inventory / Configuration
361	3	0	3		Inventory / Configuration / Delivery
678	4	1	0	ir.actions.act_window,1010	Inventory / Configuration / Delivery / Delivery Methods
362	4	1	0	ir.actions.act_window,573	Inventory / Configuration / Delivery / Package Types
679	4	1	0	ir.actions.act_window,1011	Inventory / Configuration / Delivery / Zip Prefix
331	3	0	4		Inventory / Configuration / Products
334	4	1	0	ir.actions.act_window,188	Inventory / Configuration / Products / Attributes
332	4	1	0	ir.actions.act_window,478	Inventory / Configuration / Products / Barcode Nomenclatures
333	4	1	0	ir.actions.act_window,189	Inventory / Configuration / Products / Categories
335	4	1	0	ir.actions.act_window,90	Inventory / Configuration / Products / Units & Packagings
358	3	1	0	ir.actions.act_window,571	Inventory / Configuration / Settings
330	3	0	7		Inventory / Configuration / Warehouse Management
354	4	1	0	ir.actions.act_window,563	Inventory / Configuration / Warehouse Management / Locations
349	4	1	0	ir.actions.act_window,552	Inventory / Configuration / Warehouse Management / Operations Types
338	4	1	0	ir.actions.act_window,511	Inventory / Configuration / Warehouse Management / Putaway Rules
355	4	1	0	ir.actions.act_window,565	Inventory / Configuration / Warehouse Management / Routes
359	4	1	0	ir.actions.act_window,572	Inventory / Configuration / Warehouse Management / Rules
357	4	1	0	ir.actions.act_window,569	Inventory / Configuration / Warehouse Management / Storage Categories
343	4	1	0	ir.actions.act_window,523	Inventory / Configuration / Warehouse Management / Warehouses
325	2	0	5		Inventory / Operations
327	3	0	3		Inventory / Operations / Adjustments
690	4	1	0	ir.actions.act_window,1062	Inventory / Operations / Adjustments / Landed Costs
341	4	1	0	ir.actions.server,517	Inventory / Operations / Adjustments / Physical Inventory
340	4	1	0	ir.actions.act_window,516	Inventory / Operations / Adjustments / Scrap
639	3	0	2		Inventory / Operations / Jobs
640	4	1	0	ir.actions.act_window,969	Inventory / Operations / Jobs / Batch Transfers
641	4	1	0	ir.actions.act_window,974	Inventory / Operations / Jobs / Wave Transfers
328	3	0	2		Inventory / Operations / Procurement
364	4	1	0	ir.actions.act_window,577	Inventory / Operations / Procurement / References
356	4	1	0	ir.actions.server,568	Inventory / Operations / Procurement / Replenishment
360	3	1	0	ir.actions.server,479	Inventory / Operations / Procurement: run scheduler
326	3	0	5		Inventory / Operations / Transfers
347	4	1	0	ir.actions.server,539	Inventory / Operations / Transfers / Deliveries
691	4	1	0	ir.actions.act_window,1063	Inventory / Operations / Transfers / Dropships
348	4	1	0	ir.actions.server,540	Inventory / Operations / Transfers / Internal
400	4	1	0	ir.actions.act_window,646	Inventory / Operations / Transfers / Manufacturings
346	4	1	0	ir.actions.server,538	Inventory / Operations / Transfers / Receipts
350	2	1	0	ir.actions.act_window,553	Inventory / Overview
336	2	0	4		Inventory / Products
339	4	1	0	ir.actions.act_window,514	Inventory / Products / Lots / Serial Numbers
363	3	1	0	ir.actions.act_window,574	Inventory / Products / Packages
352	3	1	0	ir.actions.act_window,560	Inventory / Products / Product Variants
351	3	1	0	ir.actions.act_window,559	Inventory / Products / Products
337	2	0	4		Inventory / Reporting
342	3	1	0	ir.actions.server,518	Inventory / Reporting / Locations
345	3	1	0	ir.actions.act_window,526	Inventory / Reporting / Moves Analysis
344	3	1	0	ir.actions.act_window,525	Inventory / Reporting / Moves History
353	3	1	0	ir.actions.act_window,558	Inventory / Reporting / Stock
150	1	0	7		Invoicing
164	2	0	2		Invoicing / Accounting
168	3	0	1		Invoicing / Accounting / Closing
201	4	1	0	ir.actions.act_window,311	Invoicing / Accounting / Closing / Secure Entries
165	3	0	2		Invoicing / Accounting / Transactions
167	4	1	0	ir.actions.act_window,154	Invoicing / Accounting / Transactions / Analytic Items
166	4	1	0	ir.actions.act_window,265	Invoicing / Accounting / Transactions / Journal Entries
180	2	0	5		Invoicing / Configuration
182	3	0	9		Invoicing / Configuration / Accounting
191	4	1	0	ir.actions.act_window,299	Invoicing / Configuration / Accounting / Cash Roundings
183	4	1	0	ir.actions.act_window,281	Invoicing / Configuration / Accounting / Chart of Accounts
187	4	1	0	ir.actions.act_window,66	Invoicing / Configuration / Accounting / Currencies
188	4	1	0	ir.actions.act_window,304	Invoicing / Configuration / Accounting / Fiscal Positions
185	4	1	0	ir.actions.act_window,283	Invoicing / Configuration / Accounting / Journals
189	4	1	0	ir.actions.act_window,284	Invoicing / Configuration / Accounting / Multi-Ledger
186	4	1	0		Invoicing / Configuration / Accounting / Reporting
190	4	1	0	ir.actions.act_window,290	Invoicing / Configuration / Accounting / Tax Groups
184	4	1	0	ir.actions.act_window,289	Invoicing / Configuration / Accounting / Taxes
197	3	0	3		Invoicing / Configuration / Analytic Accounting
199	4	1	0	ir.actions.act_window,156	Invoicing / Configuration / Analytic Accounting / Analytic Accounts
198	4	1	0	ir.actions.act_window,158	Invoicing / Configuration / Analytic Accounting / Analytic Distribution Models
200	4	1	0	ir.actions.act_window,157	Invoicing / Configuration / Analytic Accounting / Analytic Plans
192	3	0	4		Invoicing / Configuration / Invoicing
493	4	1	0	ir.actions.act_window,787	Invoicing / Configuration / Invoicing / EDI Proxy Users
194	4	1	0	ir.actions.act_window,310	Invoicing / Configuration / Invoicing / Incoterms
193	4	1	0	ir.actions.act_window,291	Invoicing / Configuration / Invoicing / Payment Terms
