evidence,module,path,class,model,table,decorator_count,business_method_count,sample_methods
01 ACCOUNT.zip,account_fleet,01 ACCOUNT/account_fleet/models/account_move.py,AccountMoveLine,account.move.line,account_move_line,0,3,_compute_need_vehicle|write|unlink
01 ACCOUNT.zip,account_fleet,01 ACCOUNT/account_fleet/models/fleet_vehicle_log_services.py,FleetVehicleLogServices,fleet.vehicle.log.services,fleet_vehicle_log_services,2,4,_compute_vehicle_id|_inverse_amount|_compute_amount|action_open_account_move
01 ACCOUNT.zip,account_fleet,01 ACCOUNT/account_fleet/models/fleet_vehicle.py,FleetVehicle,fleet.vehicle,fleet_vehicle,0,2,_compute_move_ids|action_view_bills
01 ACCOUNT.zip,account_qr_code_emv,01 ACCOUNT/account_qr_code_emv/models/res_bank.py,ResPartnerBank,res.partner.bank,res_partner_bank,6,3,_compute_country_proxy_keys|_compute_display_qr_setting|_check_for_qr_code_errors
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/tests/test_sepa_credit_transfer.py,TestSEPACreditTransfer,,,0,1,_check_structured_reference
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/account_journal.py,AccountJournal,account.journal,account_journal,3,3,_compute_sepa_pain_version|_compute_has_sepa_ct_payment_method|_compute_has_iso20022_payment_method
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/account_payment_method.py,AccountPaymentMethod,account.payment.method,account_payment_method,2,1,_compute_is_iso20022
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/account_payment.py,AccountPayment,account.payment,account_payment,9,7,_compute_iso20022_charge_bearer|_check_sepa_bank_account|_check_sepa_currency|_compute_end_to_end_uuid|_compute_iso20022_uetr|_compute_payment_method_priority|create
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/account_journal_dashboard.py,AccountJournal,account.journal,account_journal,0,1,action_sepa_ct_to_send
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/res_company.py,ResCompany,res.company,res_company,2,2,create|_compute_iso20022_orgid
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/res_partner.py,ResPartner,res.partner,res_partner,1,1,_check_iso20022_lei
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/account_move.py,AccountMove,account.move,account_move,1,1,_compute_intrastat_country_id
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/account_move.py,AccountMoveLine,account.move.line,account_move_line,2,2,_compute_origin_country|_compute_intrastat_transaction_id
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/account_intrastat_code.py,AccountIntrastatCode,account.intrastat.code,account_intrastat_code,1,1,_compute_display_name
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/account_return.py,AccountReturnType,account.return.type,account_return_type,1,2,_compute_is_intrastat_return_type|_compute_states_workflow
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/account_return.py,AccountReturn,account.return,account_return,0,1,_check_suite_common_intrastat_goods
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/product.py,ProductTemplate,product.template,product_template,3,6,_compute_intrastat_code_domain|_compute_intrastat_values|_compute_valid_intrastat_code_ids|_inverse_intrastat_code_id|_inverse_intrastat_supplementary_unit_amount|_inverse_intrastat_origin_country_id
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/product.py,ProductProduct,product.product,product_product,1,1,_compute_intrastat_supplementary_unit_amount
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/res_config_settings.py,ResConfigSettings,res.config.settings,res_config_settings,1,1,_compute_has_country_regions
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/account_intrastat_report.py,AccountIntrastatReportHandler,account.intrastat.report.handler,account_intrastat_report_handler,3,8,action_invalid_code_moves|action_invalid_code_products|action_undefined_units_products|action_undefined_weight_products|action_missing_intrastat_product_origin_country_code|action_invalid_transport_mode_moves|action_missing_product|_check_date_range
