table,column,definition
Products,stock_package_destination_id,integer NOT NULL
Products,stock_move_line_id,integer NOT NULL
account_account,id,integer NOT NULL
account_account,currency_id,integer
account_account,create_uid,integer
account_account,write_uid,integer
account_account,account_type,character varying NOT NULL
account_account,name,jsonb NOT NULL
account_account,description,jsonb
account_account,code_store,jsonb
account_account,note,text
account_account,active,boolean
account_account,reconcile,boolean
account_account,non_trade,boolean
account_account,create_date,timestamp without time zone
account_account,write_date,timestamp without time zone
account_account,fiscal_category_id,integer
account_account,create_asset,character varying NOT NULL
account_account,multiple_assets_per_line,boolean
account_account,account_stock_variation_id,integer
account_account,account_stock_expense_id,integer
account_account,wt_account,boolean
account_account_account_asset_rel,account_account_id,integer NOT NULL
account_account_account_asset_rel,account_asset_id,integer NOT NULL
account_account_account_auto_reconcile_wizard_rel,account_auto_reconcile_wizard_id,integer CONSTRAINT account_account_account_aut_account_auto_reconcile_wiz_not_null NOT NULL
account_account_account_auto_reconcile_wizard_rel,account_account_id,integer CONSTRAINT account_account_account_auto_reconc_account_account_id_not_null NOT NULL
account_account_account_import_summary_rel,account_import_summary_id,integer CONSTRAINT account_account_account_impo_account_import_summary_id_not_null NOT NULL
account_account_account_import_summary_rel,account_account_id,integer CONSTRAINT account_account_account_import_summ_account_account_id_not_null NOT NULL
account_account_account_merge_wizard_rel,account_merge_wizard_id,integer CONSTRAINT account_account_account_merge__account_merge_wizard_id_not_null NOT NULL
account_account_account_merge_wizard_rel,account_account_id,integer CONSTRAINT account_account_account_merge_wizar_account_account_id_not_null NOT NULL
account_account_account_tag,account_account_id,integer NOT NULL
account_account_account_tag,account_account_tag_id,integer NOT NULL
account_account_create_withholding_tax_cert_rel,create_withholding_tax_cert_id,integer CONSTRAINT account_account_create_with_create_withholding_tax_cer_not_null NOT NULL
account_account_create_withholding_tax_cert_rel,account_account_id,integer CONSTRAINT account_account_create_withholding__account_account_id_not_null NOT NULL
account_account_exclude_res_currency_provision,account_account_id,integer CONSTRAINT account_account_exclude_res_currenc_account_account_id_not_null NOT NULL
account_account_exclude_res_currency_provision,res_currency_id,integer CONSTRAINT account_account_exclude_res_currency_p_res_currency_id_not_null NOT NULL
account_account_fiscal_rate,id,integer NOT NULL
account_account_fiscal_rate,related_account_id,integer NOT NULL
account_account_fiscal_rate,company_id,integer NOT NULL
account_account_fiscal_rate,create_uid,integer
account_account_fiscal_rate,write_uid,integer
account_account_fiscal_rate,date_from,date NOT NULL
account_account_fiscal_rate,create_date,timestamp without time zone
account_account_fiscal_rate,write_date,timestamp without time zone
account_account_fiscal_rate,rate,double precision NOT NULL
account_account_res_company_rel,account_account_id,integer NOT NULL
account_account_res_company_rel,res_company_id,integer NOT NULL
account_account_tag,id,integer NOT NULL
account_account_tag,color,integer
account_account_tag,country_id,integer
account_account_tag,create_uid,integer
account_account_tag,write_uid,integer
account_account_tag,applicability,character varying NOT NULL
account_account_tag,name,jsonb NOT NULL
account_account_tag,active,boolean
account_account_tag,create_date,timestamp without time zone
account_account_tag,write_date,timestamp without time zone
account_account_tag_account_move_line_rel,account_move_line_id,integer CONSTRAINT account_account_tag_account_move__account_move_line_id_not_null NOT NULL
account_account_tag_account_move_line_rel,account_account_tag_id,integer CONSTRAINT account_account_tag_account_mov_account_account_tag_id_not_null NOT NULL
account_account_tag_account_tax_repartition_line_rel,account_tax_repartition_line_id,integer CONSTRAINT account_account_tag_account_account_tax_repartition_li_not_null NOT NULL
account_account_tag_account_tax_repartition_line_rel,account_account_tag_id,integer CONSTRAINT account_account_tag_account_tax_account_account_tag_id_not_null NOT NULL
account_account_tag_account_withholding_tax_rel,account_withholding_tax_id,integer CONSTRAINT account_account_tag_account_account_withholding_tax_id_not_null NOT NULL
account_account_tag_account_withholding_tax_rel,account_account_tag_id,integer CONSTRAINT account_account_tag_account_wit_account_account_tag_id_not_null NOT NULL
account_account_tag_product_template_rel,product_template_id,integer CONSTRAINT account_account_tag_product_templa_product_template_id_not_null NOT NULL
account_account_tag_product_template_rel,account_account_tag_id,integer CONSTRAINT account_account_tag_product_tem_account_account_tag_id_not_null NOT NULL
account_account_tax_default_rel,account_id,integer NOT NULL
account_account_tax_default_rel,tax_id,integer NOT NULL
account_accrued_orders_wizard,id,integer NOT NULL
account_accrued_orders_wizard,company_id,integer
account_accrued_orders_wizard,journal_id,integer NOT NULL
account_accrued_orders_wizard,currency_id,integer
account_accrued_orders_wizard,account_id,integer NOT NULL
account_accrued_orders_wizard,create_uid,integer
account_accrued_orders_wizard,write_uid,integer
account_accrued_orders_wizard,date,date NOT NULL
account_accrued_orders_wizard,reversal_date,date NOT NULL
account_accrued_orders_wizard,amount,numeric
account_accrued_orders_wizard,create_date,timestamp without time zone
account_accrued_orders_wizard,write_date,timestamp without time zone
account_analytic_account,id,integer NOT NULL
account_analytic_account,plan_id,integer NOT NULL
account_analytic_account,root_plan_id,integer
account_analytic_account,company_id,integer
account_analytic_account,partner_id,integer
account_analytic_account,create_uid,integer
account_analytic_account,write_uid,integer
account_analytic_account,code,character varying
