table,constraint,type,columns,reference_table,definition
Products,Products_pkey,PRIMARY KEY,"stock_package_destination_id, stock_move_line_id",,"PRIMARY KEY (stock_package_destination_id, stock_move_line_id)"
account_account_account_asset_rel,account_account_account_asset_rel_pkey,PRIMARY KEY,"account_account_id, account_asset_id",,"PRIMARY KEY (account_account_id, account_asset_id)"
account_account_account_auto_reconcile_wizard_rel,account_account_account_auto_reconcile_wizard_rel_pkey,PRIMARY KEY,"account_auto_reconcile_wizard_id, account_account_id",,"PRIMARY KEY (account_auto_reconcile_wizard_id, account_account_id)"
account_account_account_import_summary_rel,account_account_account_import_summary_rel_pkey,PRIMARY KEY,"account_import_summary_id, account_account_id",,"PRIMARY KEY (account_import_summary_id, account_account_id)"
account_account_account_merge_wizard_rel,account_account_account_merge_wizard_rel_pkey,PRIMARY KEY,"account_merge_wizard_id, account_account_id",,"PRIMARY KEY (account_merge_wizard_id, account_account_id)"
account_account_account_tag,account_account_account_tag_pkey,PRIMARY KEY,"account_account_id, account_account_tag_id",,"PRIMARY KEY (account_account_id, account_account_tag_id)"
account_account_create_withholding_tax_cert_rel,account_account_create_withholding_tax_cert_rel_pkey,PRIMARY KEY,"create_withholding_tax_cert_id, account_account_id",,"PRIMARY KEY (create_withholding_tax_cert_id, account_account_id)"
account_account_exclude_res_currency_provision,account_account_exclude_res_currency_provision_pkey,PRIMARY KEY,"account_account_id, res_currency_id",,"PRIMARY KEY (account_account_id, res_currency_id)"
account_account_fiscal_rate,account_account_fiscal_rate_pkey,PRIMARY KEY,id,,PRIMARY KEY (id)
account_account,account_account_pkey,PRIMARY KEY,id,,PRIMARY KEY (id)
account_account_res_company_rel,account_account_res_company_rel_pkey,PRIMARY KEY,"account_account_id, res_company_id",,"PRIMARY KEY (account_account_id, res_company_id)"
account_account_tag_account_move_line_rel,account_account_tag_account_move_line_rel_pkey,PRIMARY KEY,"account_move_line_id, account_account_tag_id",,"PRIMARY KEY (account_move_line_id, account_account_tag_id)"
account_account_tag_account_tax_repartition_line_rel,account_account_tag_account_tax_repartition_line_rel_pkey,PRIMARY KEY,"account_tax_repartition_line_id, account_account_tag_id",,"PRIMARY KEY (account_tax_repartition_line_id, account_account_tag_id)"
