table,index,method,expression,is_unique
Products,Products_stock_move_line_id_stock_package_destination_id_idx,btree,"stock_move_line_id, stock_package_destination_id",unknown
account_account,account_account__account_type_index,btree,account_type,unknown
account_account,account_account__code_store_index,btree,((code_store IS NOT NULL))) WHERE (code_store IS NOT NULL,unknown
account_account,account_account__fiscal_category_id_index,btree,fiscal_category_id) WHERE (fiscal_category_id IS NOT NULL,unknown
account_account,account_account__name_index,gin,"((jsonb_path_query_array(name, '$.*'::jsonpath))::text) public.gin_trgm_ops",unknown
account_account_account_asset_rel,account_account_account_asset_account_asset_id_account_acco_idx,btree,"account_asset_id, account_account_id",unknown
account_account_account_auto_reconcile_wizard_rel,account_account_account_auto__account_account_id_account_au_idx,btree,"account_account_id, account_auto_reconcile_wizard_id",unknown
account_account_account_import_summary_rel,account_account_account_impor_account_account_id_account_im_idx,btree,"account_account_id, account_import_summary_id",unknown
account_account_account_merge_wizard_rel,account_account_account_merge_account_account_id_account_me_idx,btree,"account_account_id, account_merge_wizard_id",unknown
account_account_account_tag,account_account_account_tag_account_account_tag_id_account__idx,btree,"account_account_tag_id, account_account_id",unknown
account_account_create_withholding_tax_cert_rel,account_account_create_withho_account_account_id_create_wit_idx,btree,"account_account_id, create_withholding_tax_cert_id",unknown
account_account_exclude_res_currency_provision,account_account_exclude_res_c_res_currency_id_account_accou_idx,btree,"res_currency_id, account_account_id",unknown
account_account_fiscal_rate,account_account_fiscal_rate__related_account_id_index,btree,related_account_id,unknown
account_account_res_company_rel,account_account_res_company_r_res_company_id_account_accoun_idx,btree,"res_company_id, account_account_id",unknown
account_account_tag_account_move_line_rel,account_account_tag_account_m_account_account_tag_id_accoun_idx,btree,"account_account_tag_id, account_move_line_id",unknown
account_account_tag_account_tax_repartition_line_rel,account_account_tag_account_t_account_account_tag_id_accoun_idx,btree,"account_account_tag_id, account_tax_repartition_line_id",unknown
account_account_tag_account_withholding_tax_rel,account_account_tag_account_w_account_account_tag_id_accoun_idx,btree,"account_account_tag_id, account_withholding_tax_id",unknown
account_account_tag_product_template_rel,account_account_tag_product_t_account_account_tag_id_produc_idx,btree,"account_account_tag_id, product_template_id",unknown
account_account_tax_default_rel,account_account_tax_default_rel_tax_id_account_id_idx,btree,"tax_id, account_id",unknown
account_analytic_account,account_analytic_account__code_index,btree,code,unknown
account_analytic_account,account_analytic_account__name_index,gin,"((jsonb_path_query_array(name, '$.*'::jsonpath))::text) public.gin_trgm_ops",unknown
account_analytic_account,account_analytic_account__partner_id_index,btree,partner_id) WHERE (partner_id IS NOT NULL,unknown
account_analytic_account,account_analytic_account__plan_id_index,btree,plan_id,unknown
account_analytic_account_mrp_bom_rel,account_analytic_account_mrp__mrp_bom_id_account_analytic_a_idx,btree,"mrp_bom_id, account_analytic_account_id",unknown
account_analytic_account_mrp_production_rel,account_analytic_account_mrp__mrp_production_id_account_ana_idx,btree,"mrp_production_id, account_analytic_account_id",unknown
account_analytic_account_mrp_workcenter_rel,account_analytic_account_mrp__mrp_workcenter_id_account_ana_idx,btree,"mrp_workcenter_id, account_analytic_account_id",unknown
account_analytic_applicability,account_analytic_applicability__analytic_plan_id_index,btree,analytic_plan_id) WHERE (analytic_plan_id IS NOT NULL,unknown
account_analytic_distribution_model,account_analytic_distribution_model_analytic_distribution_accou,gin,"regexp_split_to_array((jsonb_path_query_array(analytic_distribution, '$.keyvalue().""key""'::jsonpath))::text, '\D+'::text)",unknown
account_analytic_line,account_analytic_line__account_id_index,btree,account_id,unknown
account_analytic_line,account_analytic_line__date_index,btree,date,unknown
account_analytic_line,account_analytic_line__employee_id_index,btree,employee_id,unknown
account_analytic_line,account_analytic_line__global_leave_id_index,btree,global_leave_id) WHERE (global_leave_id IS NOT NULL,unknown
account_analytic_line,account_analytic_line__holiday_id_index,btree,holiday_id) WHERE (holiday_id IS NOT NULL,unknown
account_analytic_line,account_analytic_line__move_line_id_index,btree,move_line_id,unknown
account_analytic_line,account_analytic_line__order_id_index,btree,order_id,unknown
account_analytic_line,account_analytic_line__parent_task_id_index,btree,parent_task_id) WHERE (parent_task_id IS NOT NULL,unknown
account_analytic_line,account_analytic_line__project_id_index,btree,project_id,unknown
account_analytic_line,account_analytic_line__so_line_index,btree,so_line) WHERE (so_line IS NOT NULL,unknown
account_analytic_line,account_analytic_line__task_id_index,btree,task_id) WHERE (task_id IS NOT NULL,unknown
account_analytic_line,account_analytic_line__timesheet_invoice_id_index,btree,timesheet_invoice_id) WHERE (timesheet_invoice_id IS NOT NULL,unknown
account_analytic_line,account_analytic_line__user_id_index,btree,user_id,unknown
account_analytic_line_hr_timesheet_merge_wizard_rel,account_analytic_line_hr_time_account_analytic_line_id_hr_t_idx,btree,"account_analytic_line_id, hr_timesheet_merge_wizard_id",unknown
account_analytic_line_mrp_workorder_rel,account_analytic_line_mrp_wor_account_analytic_line_id_mrp__idx,btree,"account_analytic_line_id, mrp_workorder_id",unknown
account_analytic_line_stock_move_rel,account_analytic_line_stock_m_account_analytic_line_id_stoc_idx,btree,"account_analytic_line_id, stock_move_id",unknown
account_analytic_line,account_analytic_line_timeoff_timesheet_idx,btree,task_id) WHERE (((global_leave_id IS NOT NULL) OR (holiday_id IS NOT NULL)) AND (project_id IS NOT NULL),unknown
account_analytic_plan,account_analytic_plan__default_applicability_index,btree,((default_applicability IS NOT NULL))) WHERE (default_applicability IS NOT NULL,unknown
account_analytic_plan,account_analytic_plan__parent_id_index,btree,parent_id) WHERE (parent_id IS NOT NULL,unknown
account_analytic_plan,account_analytic_plan__parent_path_index,btree,parent_path,unknown
account_asset,account_asset__asset_group_id_index,btree,asset_group_id,unknown
account_asset,account_asset__parent_id_index,btree,parent_id,unknown
account_asset,account_asset_analytic_distribution_accounts_gin_index,gin,"regexp_split_to_array((jsonb_path_query_array(analytic_distribution, '$.keyvalue().""key""'::jsonpath))::text, '\D+'::text)",unknown
account_asset_group,account_asset_group__name_index,gin,name public.gin_trgm_ops,unknown
account_asset_maintenance_equipment_category_rel,account_asset_maintenance_equ_account_asset_id_maintenance__idx,btree,"account_asset_id, maintenance_equipment_category_id",unknown
account_audit_account_status,account_audit_account_status__account_id_index,btree,account_id,unknown
account_audit_account_status,account_audit_account_status__audit_id_index,btree,audit_id,unknown
account_auto_reconcile_wizard_account_move_line_rel,account_auto_reconcile_wizard_account_move_line_id_account__idx,btree,"account_move_line_id, account_auto_reconcile_wizard_id",unknown
account_auto_reconcile_wizard_res_partner_rel,account_auto_reconcile_wizard_res_partner_id_account_auto_r_idx,btree,"res_partner_id, account_auto_reconcile_wizard_id",unknown
account_automatic_entry_wizard_account_move_line_rel,account_automatic_entry_wizar_account_move_line_id_account__idx,btree,"account_move_line_id, account_automatic_entry_wizard_id",unknown
account_bank_statement,account_bank_statement__date_index,btree,date,unknown
account_bank_statement,account_bank_statement__message_main_attachment_id_index,btree,message_main_attachment_id) WHERE (message_main_attachment_id IS NOT NULL,unknown
account_bank_statement,account_bank_statement_first_line_index_idx,btree,"journal_id, first_line_index",unknown
account_bank_statement_ir_attachment_rel,account_bank_statement_ir_att_ir_attachment_id_account_bank_idx,btree,"ir_attachment_id, account_bank_statement_id",unknown
account_bank_statement,account_bank_statement_journal_id_date_desc_id_desc_idx,btree,"journal_id, date DESC, id DESC",unknown
account_bank_statement_line,account_bank_statement_line__message_main_attachment_id_index,btree,message_main_attachment_id) WHERE (message_main_attachment_id IS NOT NULL,unknown
account_bank_statement_line,account_bank_statement_line__move_id_index,btree,move_id,unknown
account_bank_statement_line,account_bank_statement_line__partner_name_index,btree,partner_name) WHERE (partner_name IS NOT NULL,unknown
account_bank_statement_line,account_bank_statement_line__payment_ref_index,gin,payment_ref public.gin_trgm_ops,unknown
account_bank_statement_line,account_bank_statement_line__statement_id_index,btree,statement_id,unknown
account_bank_statement_line,account_bank_statement_line_main_idx,btree,"journal_id, company_id, internal_index",unknown
account_bank_statement_line,account_bank_statement_line_orphan_idx,btree,"journal_id, company_id, internal_index) WHERE (statement_id IS NULL",unknown
account_bank_statement_line,account_bank_statement_line_unreconciled_idx,btree,"journal_id, company_id, internal_index) WHERE (is_reconciled IS NOT TRUE",unknown
account_cash_rounding,account_cash_rounding__loss_account_id_index,btree,((loss_account_id IS NOT NULL))) WHERE (loss_account_id IS NOT NULL,unknown
account_cash_rounding,account_cash_rounding__profit_account_id_index,btree,((profit_account_id IS NOT NULL))) WHERE (profit_account_id IS NOT NULL,unknown
account_fiscal_position,account_fiscal_position__company_id_index,btree,company_id,unknown
account_fiscal_position_account_tax_rel,account_fiscal_position_accou_account_tax_id_account_fiscal_idx,btree,"account_tax_id, account_fiscal_position_id",unknown
account_fiscal_position_res_country_state_rel,account_fiscal_position_res_c_res_country_state_id_account__idx,btree,"res_country_state_id, account_fiscal_position_id",unknown
account_followup_followup_line_res_users_rel,account_followup_followup_lin_res_users_id_account_followup_idx,btree,"res_users_id, account_followup_followup_line_id",unknown
account_followup_manual_reminder_ir_attachment_rel,account_followup_manual_remin_ir_attachment_id_account_foll_idx,btree,"ir_attachment_id, account_followup_manual_reminder_id",unknown
account_group,account_group__parent_id_index,btree,parent_id,unknown
account_import_summary_account_journal_rel,account_import_summary_accoun_account_journal_id_account_im_idx,btree,"account_journal_id, account_import_summary_id",unknown
account_import_summary_account_move_rel,account_import_summary_accoun_account_move_id_account_impor_idx,btree,"account_move_id, account_import_summary_id",unknown
account_import_summary_account_tax_rel,account_import_summary_accoun_account_tax_id_account_import_idx,btree,"account_tax_id, account_import_summary_id",unknown
account_import_summary_res_partner_rel,account_import_summary_res_pa_res_partner_id_account_import_idx,btree,"res_partner_id, account_import_summary_id",unknown
account_invoice_transaction_rel,account_invoice_transaction_rel_transaction_id_invoice_id_idx,btree,"transaction_id, invoice_id",unknown
account_journal,account_journal__account_online_account_id_index,btree,account_online_account_id) WHERE (account_online_account_id IS NOT NULL,unknown
account_journal,account_journal__bank_account_id_index,btree,bank_account_id) WHERE (bank_account_id IS NOT NULL,unknown
account_journal,account_journal__company_id_index,btree,company_id,unknown
account_journal_account_journal_group_rel,account_journal_account_journ_account_journal_id_account_jo_idx,btree,"account_journal_id, account_journal_group_id",unknown
account_journal_account_reconcile_model_rel,account_journal_account_recon_account_journal_id_account_re_idx,btree,"account_journal_id, account_reconcile_model_id",unknown
account_loan,account_loan__asset_group_id_index,btree,asset_group_id,unknown
account_loan,account_loan__date_index,btree,date) WHERE (date IS NOT NULL,unknown
account_loan,account_loan__name_index,gin,name public.gin_trgm_ops,unknown
account_loan_line,account_loan_line__loan_id_index,btree,loan_id,unknown
account_lock_exception,account_lock_exception_company_id_end_datetime_idx,btree,"company_id, user_id, end_datetime) WHERE (active IS TRUE",unknown
account_move__account_payment,account_move__account_payment_payment_id_invoice_id_idx,btree,"payment_id, invoice_id",unknown
account_move,account_move__asset_id_index,btree,asset_id,unknown
account_move,account_move__auto_invoice_id_index,btree,auto_invoice_id) WHERE (auto_invoice_id IS NOT NULL,unknown
account_move,account_move__auto_post_origin_id_index,btree,auto_post_origin_id) WHERE (auto_post_origin_id IS NOT NULL,unknown
account_move,account_move__campaign_id_index,btree,campaign_id) WHERE (campaign_id IS NOT NULL,unknown
account_move,account_move__closing_return_id_index,btree,closing_return_id) WHERE (closing_return_id IS NOT NULL,unknown
account_move,account_move__company_id_index,btree,company_id,unknown
account_move,account_move__date_index,btree,date,unknown
account_move,account_move__generating_loan_line_id_index,btree,generating_loan_line_id,unknown
account_move,account_move__inalterable_hash_index,btree,inalterable_hash) WHERE (inalterable_hash IS NOT NULL,unknown
account_move,account_move__invoice_date_due_index,btree,invoice_date_due,unknown
account_move,account_move__invoice_date_index,btree,invoice_date,unknown
account_move,account_move__medium_id_index,btree,medium_id) WHERE (medium_id IS NOT NULL,unknown
account_move,account_move__message_main_attachment_id_index,btree,message_main_attachment_id) WHERE (message_main_attachment_id IS NOT NULL,unknown
account_move,account_move__move_type_index,btree,move_type,unknown
account_move,account_move__name_index,gin,name public.gin_trgm_ops,unknown
account_move,account_move__origin_payment_id_index,btree,origin_payment_id) WHERE (origin_payment_id IS NOT NULL,unknown
account_move,account_move__partner_bank_id_index,btree,partner_bank_id) WHERE (partner_bank_id IS NOT NULL,unknown
account_move,account_move__partner_id_index,btree,partner_id,unknown
account_move,account_move__payment_reference_index,gin,payment_reference public.gin_trgm_ops,unknown
account_move,account_move__ref_index,gin,ref public.gin_trgm_ops,unknown
