table,column_count,domain_prefix
Products,2,Products
account_account,20,account
account_account_account_asset_rel,2,account
account_account_account_auto_reconcile_wizard_rel,2,account
account_account_account_import_summary_rel,2,account
account_account_account_merge_wizard_rel,2,account
account_account_account_tag,2,account
account_account_create_withholding_tax_cert_rel,2,account
account_account_exclude_res_currency_provision,2,account
account_account_fiscal_rate,9,account
account_account_res_company_rel,2,account
account_account_tag,10,account
account_account_tag_account_move_line_rel,2,account
account_account_tag_account_tax_repartition_line_rel,2,account
account_account_tag_account_withholding_tax_rel,2,account
account_account_tag_product_template_rel,2,account
account_account_tax_default_rel,2,account
account_accrued_orders_wizard,12,account
account_analytic_account,12,account
account_analytic_account_mrp_bom_rel,2,account
account_analytic_account_mrp_production_rel,2,account
account_analytic_account_mrp_workcenter_rel,2,account
account_analytic_applicability,11,account
account_analytic_distribution_model,13,account
account_analytic_line,36,account
account_analytic_line_calendar_employee,8,account
account_analytic_line_hr_timesheet_merge_wizard_rel,2,account
account_analytic_line_mrp_workorder_rel,2,account
account_analytic_line_stock_move_rel,2,account
account_analytic_plan,13,account
account_asset,38,account
account_asset_group,7,account
account_asset_maintenance_equipment_category_rel,2,account
account_audit_account_status,8,account
account_auto_reconcile_wizard,9,account
account_auto_reconcile_wizard_account_move_line_rel,2,account
account_auto_reconcile_wizard_res_partner_rel,2,account
account_automatic_entry_wizard,12,account
account_automatic_entry_wizard_account_move_line_rel,2,account
account_autopost_bills_wizard,7,account
account_bank_selection,7,account
account_bank_statement,17,account
account_bank_statement_ir_attachment_rel,2,account
account_bank_statement_line,28,account
account_bank_statement_line_transient,18,account
account_cash_rounding,11,account
account_change_lock_date,14,account
account_duplicate_transaction_wizard,7,account
account_financial_year_op,6,account
account_fiscal_category,10,account
account_fiscal_position,17,account
account_fiscal_position_account,9,account
account_fiscal_position_account_tax_rel,2,account
account_fiscal_position_res_country_state_rel,2,account
account_fiscal_year,9,account
account_followup_followup_line,20,account
account_followup_followup_line_res_users_rel,2,account
account_followup_manual_reminder,17,account
account_followup_manual_reminder_ir_attachment_rel,2,account
account_followup_missing_information_wizard,5,account
account_full_reconcile,5,account
account_group,10,account
account_import_summary,6,account
account_import_summary_account_journal_rel,2,account
account_import_summary_account_move_rel,2,account
account_import_summary_account_tax_rel,2,account
account_import_summary_res_partner_rel,2,account
account_incoterms,8,account
account_intrastat_code,13,account
account_invoice_transaction_rel,2,account
account_journal,35,account
account_journal_account_journal_group_rel,2,account
account_journal_account_reconcile_model_rel,2,account
account_journal_group,8,account
account_loan,21,account
account_loan_close_wizard,7,account
account_loan_compute_wizard,13,account
account_loan_line,12,account
account_lock_exception,13,account
account_merge_wizard,6,account
account_merge_wizard_line,11,account
account_missing_transaction_wizard,7,account
account_move,96,account
account_move__account_payment,2,account
account_move_account_move_send_batch_wizard_rel,2,account
account_move_account_resequence_wizard_rel,2,account
account_move_asset_modify_rel,2,account
account_move_deferred_rel,2,account
account_move_discount,9,account
account_move_helpdesk_ticket_rel,2,account
account_move_line,76,account
account_move_line_account_reconcile_wizard_rel,2,account
account_move_line_account_tax_rel,2,account
account_move_line_asset_modify_rel,2,account
account_move_purchase_order_rel,2,account
account_move_reversal,11,account
account_move_reversal_move,2,account
account_move_reversal_new_move,2,account
account_move_send_batch_wizard,5,account
account_move_send_wizard,17,account
account_move_send_wizard_res_partner_rel,2,account
account_move_validate_account_move_rel,2,account
account_multicurrency_revaluation_wizard,8,account
account_online_account,17,account
account_online_link,18,account
account_partial_reconcile,17,account
account_payment,39,account
account_payment_account_bank_statement_line_rel,2,account
account_payment_deduction,11,account
account_payment_dev_print_cheque_wizard_rel,2,account
account_payment_method,8,account
account_payment_method_line,11,account
account_payment_method_line_res_company_rel,2,account
account_payment_register,33,account
account_payment_register_move_line_rel,2,account
account_payment_term,15,account
account_payment_term_line,11,account
account_reconcile_model,19,account
account_reconcile_model_line,15,account
account_reconcile_model_line_account_tax_rel,2,account
account_reconcile_model_res_partner_rel,2,account
account_reconcile_wizard,14,account
account_report,40,account
account_report_account_report_horizontal_group_rel,2,account
account_report_annotation,7,account
account_report_budget,8,account
account_report_budget_item,9,account
account_report_column,13,account
account_report_expression,16,account
account_report_external_value,13,account
account_report_file_download_error_wizard,7,account
account_report_horizontal_group,6,account
account_report_horizontal_group_rule,8,account
account_report_line,18,account
account_report_section_rel,2,account
account_report_send,14,account
account_report_send_res_partner_rel,2,account
account_reports_export_wizard,8,account
account_reports_export_wizard_format,9,account
account_resequence_wizard,9,account
account_return,28,account
account_return_check,19,account
account_return_check_ir_attachment_rel,2,account
account_return_check_res_users_rel,2,account
account_return_check_template,18,account
account_return_check_template_res_country_rel,2,account
account_return_creation_wizard,21,account
account_return_ir_attachment_rel,2,account
account_return_payment_wizard,9,account
account_return_res_company_rel,2,account
account_return_submission_wizard,7,account
account_return_type,18,account
account_secure_entries_wizard,7,account
account_setup_bank_manual_config,9,account
account_tax,28,account
account_tax_alternatives,2,account
account_tax_filiation_rel,2,account
account_tax_group,14,account
account_tax_hr_expense_split_rel,2,account
account_tax_purchase_advance_payment_bill_rel,2,account
account_tax_purchase_order_line_rel,2,account
account_tax_repartition_line,13,account
account_tax_sale_order_line_rel,2,account
account_tax_unit,9,account
account_tax_unit_res_company_rel,2,account
account_withholding_tax,12,account
activity_attachment_rel,2,activity
