evidence,module,path,class,model,table,field,field_type,inherited_model,expected_db_column,mapping_status
01 ACCOUNT.zip,account_fleet,01 ACCOUNT/account_fleet/models/account_move.py,AccountMoveLine,account.move.line,account_move_line,vehicle_id,Many2one,account.move.line,vehicle_id,MATCHED_COLUMN
01 ACCOUNT.zip,account_fleet,01 ACCOUNT/account_fleet/models/account_move.py,AccountMoveLine,account.move.line,account_move_line,need_vehicle,Boolean,account.move.line,need_vehicle,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_fleet,01 ACCOUNT/account_fleet/models/account_move.py,AccountMoveLine,account.move.line,account_move_line,vehicle_log_service_ids,One2many,account.move.line,vehicle_log_service_ids,NON_STORED_OR_RELATION_TABLE_REVIEW
01 ACCOUNT.zip,account_fleet,01 ACCOUNT/account_fleet/models/fleet_vehicle_log_services.py,FleetVehicleLogServices,fleet.vehicle.log.services,fleet_vehicle_log_services,account_move_line_id,Many2one,fleet.vehicle.log.services,account_move_line_id,MATCHED_COLUMN
01 ACCOUNT.zip,account_fleet,01 ACCOUNT/account_fleet/models/fleet_vehicle_log_services.py,FleetVehicleLogServices,fleet.vehicle.log.services,fleet_vehicle_log_services,account_move_state,Selection,fleet.vehicle.log.services,account_move_state,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_fleet,01 ACCOUNT/account_fleet/models/fleet_vehicle_log_services.py,FleetVehicleLogServices,fleet.vehicle.log.services,fleet_vehicle_log_services,amount,Monetary,fleet.vehicle.log.services,amount,MATCHED_COLUMN
01 ACCOUNT.zip,account_fleet,01 ACCOUNT/account_fleet/models/fleet_vehicle_log_services.py,FleetVehicleLogServices,fleet.vehicle.log.services,fleet_vehicle_log_services,vehicle_id,Many2one,fleet.vehicle.log.services,vehicle_id,MATCHED_COLUMN
01 ACCOUNT.zip,account_fleet,01 ACCOUNT/account_fleet/models/fleet_vehicle.py,FleetVehicle,fleet.vehicle,fleet_vehicle,bill_count,Integer,fleet.vehicle,bill_count,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_fleet,01 ACCOUNT/account_fleet/models/fleet_vehicle.py,FleetVehicle,fleet.vehicle,fleet_vehicle,account_move_ids,One2many,fleet.vehicle,account_move_ids,NON_STORED_OR_RELATION_TABLE_REVIEW
01 ACCOUNT.zip,account_qr_code_emv,01 ACCOUNT/account_qr_code_emv/models/res_bank.py,ResPartnerBank,res.partner.bank,res_partner_bank,display_qr_setting,Boolean,res.partner.bank,display_qr_setting,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_qr_code_emv,01 ACCOUNT/account_qr_code_emv/models/res_bank.py,ResPartnerBank,res.partner.bank,res_partner_bank,include_reference,Boolean,res.partner.bank,include_reference,MATCHED_COLUMN
01 ACCOUNT.zip,account_qr_code_emv,01 ACCOUNT/account_qr_code_emv/models/res_bank.py,ResPartnerBank,res.partner.bank,res_partner_bank,proxy_type,Selection,res.partner.bank,proxy_type,MATCHED_COLUMN
01 ACCOUNT.zip,account_qr_code_emv,01 ACCOUNT/account_qr_code_emv/models/res_bank.py,ResPartnerBank,res.partner.bank,res_partner_bank,country_proxy_keys,Char,res.partner.bank,country_proxy_keys,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_qr_code_emv,01 ACCOUNT/account_qr_code_emv/models/res_bank.py,ResPartnerBank,res.partner.bank,res_partner_bank,proxy_value,Char,res.partner.bank,proxy_value,MATCHED_COLUMN
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/account_batch_payment.py,AccountBatchPayment,account.batch.payment,account_batch_payment,iso20022_batch_booking,Boolean,account.batch.payment,iso20022_batch_booking,TABLE_NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/account_batch_payment.py,AccountBatchPayment,account.batch.payment,account_batch_payment,payment_method_is_iso20022,Boolean,account.batch.payment,payment_method_is_iso20022,TABLE_NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/account_journal.py,AccountJournal,account.journal,account_journal,sepa_pain_version,Selection,account.journal,sepa_pain_version,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/account_journal.py,AccountJournal,account.journal,account_journal,has_sepa_ct_payment_method,Boolean,account.journal,has_sepa_ct_payment_method,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/account_journal.py,AccountJournal,account.journal,account_journal,iso20022_default_priority,Selection,account.journal,iso20022_default_priority,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/account_journal.py,AccountJournal,account.journal,account_journal,iso20022_charge_bearer,Selection,account.journal,iso20022_charge_bearer,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/account_journal.py,AccountJournal,account.journal,account_journal,has_iso20022_payment_method,Boolean,account.journal,has_iso20022_payment_method,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/account_payment_method.py,AccountPaymentMethod,account.payment.method,account_payment_method,is_iso20022,Boolean,account.payment.method,is_iso20022,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/account_payment.py,AccountPayment,account.payment,account_payment,end_to_end_uuid,Char,account.payment,end_to_end_uuid,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/account_payment.py,AccountPayment,account.payment,account_payment,sepa_pain_version,Selection,account.payment,sepa_pain_version,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/account_payment.py,AccountPayment,account.payment,account_payment,iso20022_uetr,Char,account.payment,iso20022_uetr,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/account_payment.py,AccountPayment,account.payment,account_payment,iso20022_priority,Selection,account.payment,iso20022_priority,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/account_payment.py,AccountPayment,account.payment,account_payment,payment_method_is_iso20022,Boolean,account.payment,payment_method_is_iso20022,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/account_payment.py,AccountPayment,account.payment,account_payment,iso20022_charge_bearer,Selection,account.payment,iso20022_charge_bearer,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/res_company.py,ResCompany,res.company,res_company,iso20022_orgid_id,Char,res.company,iso20022_orgid_id,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/res_company.py,ResCompany,res.company,res_company,iso20022_orgid_issr,Char,res.company,iso20022_orgid_issr,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/res_company.py,ResCompany,res.company,res_company,iso20022_initiating_party_name,Char,res.company,iso20022_initiating_party_name,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/res_company.py,ResCompany,res.company,res_company,iso20022_lei,Char,res.company,iso20022_lei,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/res_config_settings.py,ResConfigSettings,res.config.settings,res_config_settings,iso20022_orgid_id,Char,res.config.settings,iso20022_orgid_id,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/res_config_settings.py,ResConfigSettings,res.config.settings,res_config_settings,iso20022_orgid_issr,Char,res.config.settings,iso20022_orgid_issr,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/res_config_settings.py,ResConfigSettings,res.config.settings,res_config_settings,iso20022_initiating_party_name,Char,res.config.settings,iso20022_initiating_party_name,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/account_bank_statement_line.py,AccountBankStatementLine,account.bank.statement.line,account_bank_statement_line,end_to_end_uuid,Char,account.bank.statement.line,end_to_end_uuid,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/models/res_partner.py,ResPartner,res.partner,res_partner,iso20022_lei,Char,res.partner,iso20022_lei,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/account_move.py,AccountMove,account.move,account_move,intrastat_transport_mode_id,Many2one,account.move,intrastat_transport_mode_id,MATCHED_COLUMN
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/account_move.py,AccountMove,account.move,account_move,intrastat_country_id,Many2one,account.move,intrastat_country_id,MATCHED_COLUMN
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/account_move.py,AccountMoveLine,account.move.line,account_move_line,intrastat_transaction_id,Many2one,account.move.line,intrastat_transaction_id,MATCHED_COLUMN
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/account_move.py,AccountMoveLine,account.move.line,account_move_line,intrastat_product_origin_country_id,Many2one,account.move.line,intrastat_product_origin_country_id,MATCHED_COLUMN
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/account_intrastat_code.py,AccountIntrastatCode,account.intrastat.code,account_intrastat_code,name,Char,,name,MATCHED_COLUMN
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/account_intrastat_code.py,AccountIntrastatCode,account.intrastat.code,account_intrastat_code,code,Char,,code,MATCHED_COLUMN
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/account_intrastat_code.py,AccountIntrastatCode,account.intrastat.code,account_intrastat_code,country_id,Many2one,,country_id,MATCHED_COLUMN
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/account_intrastat_code.py,AccountIntrastatCode,account.intrastat.code,account_intrastat_code,description,Char,,description,MATCHED_COLUMN
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/account_intrastat_code.py,AccountIntrastatCode,account.intrastat.code,account_intrastat_code,type,Selection,,type,MATCHED_COLUMN
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/account_intrastat_code.py,AccountIntrastatCode,account.intrastat.code,account_intrastat_code,supplementary_unit,Selection,,supplementary_unit,MATCHED_COLUMN
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/account_intrastat_code.py,AccountIntrastatCode,account.intrastat.code,account_intrastat_code,expiry_date,Date,,expiry_date,MATCHED_COLUMN
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/account_intrastat_code.py,AccountIntrastatCode,account.intrastat.code,account_intrastat_code,start_date,Date,,start_date,MATCHED_COLUMN
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/res_company.py,ResCompany,res.company,res_company,intrastat_region_id,Many2one,res.company,intrastat_region_id,MATCHED_COLUMN
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/res_company.py,ResCompany,res.company,res_company,intrastat_transport_mode_id,Many2one,res.company,intrastat_transport_mode_id,MATCHED_COLUMN
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/res_company.py,ResCompany,res.company,res_company,intrastat_default_invoice_transaction_code_id,Many2one,res.company,intrastat_default_invoice_transaction_code_id,MATCHED_COLUMN
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/res_company.py,ResCompany,res.company,res_company,intrastat_default_refund_transaction_code_id,Many2one,res.company,intrastat_default_refund_transaction_code_id,MATCHED_COLUMN
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/account_return.py,AccountReturnType,account.return.type,account_return_type,is_intrastat_return_type,Boolean,account.return.type,is_intrastat_return_type,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/account_return.py,AccountReturn,account.return,account_return,is_intrastat_return,Boolean,account.return,is_intrastat_return,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/product.py,ProductTemplate,product.template,product_template,intrastat_code_id,Many2one,product.template,intrastat_code_id,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/product.py,ProductTemplate,product.template,product_template,intrastat_supplementary_unit,Selection,product.template,intrastat_supplementary_unit,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/product.py,ProductTemplate,product.template,product_template,intrastat_supplementary_unit_amount,Float,product.template,intrastat_supplementary_unit_amount,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/product.py,ProductTemplate,product.template,product_template,intrastat_origin_country_id,Many2one,product.template,intrastat_origin_country_id,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/product.py,ProductTemplate,product.template,product_template,valid_intrastat_code_ids,Many2many,product.template,valid_intrastat_code_ids,NON_STORED_OR_RELATION_TABLE_REVIEW
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/product.py,ProductTemplate,product.template,product_template,intrastat_code_domain,Char,product.template,intrastat_code_domain,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/product.py,ProductTemplate,product.template,product_template,account_fiscal_country_group_codes,Json,product.template,account_fiscal_country_group_codes,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/product.py,ProductProduct,product.product,product_product,intrastat_code_id,Many2one,product.product,intrastat_code_id,MATCHED_COLUMN
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/product.py,ProductProduct,product.product,product_product,intrastat_supplementary_unit,Selection,product.product,intrastat_supplementary_unit,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/product.py,ProductProduct,product.product,product_product,intrastat_supplementary_unit_amount,Float,product.product,intrastat_supplementary_unit_amount,MATCHED_COLUMN
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/product.py,ProductProduct,product.product,product_product,intrastat_origin_country_id,Many2one,product.product,intrastat_origin_country_id,MATCHED_COLUMN
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/res_config_settings.py,ResConfigSettings,res.config.settings,res_config_settings,company_country_id,Many2one,res.config.settings,company_country_id,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/res_config_settings.py,ResConfigSettings,res.config.settings,res_config_settings,intrastat_default_invoice_transaction_code_id,Many2one,res.config.settings,intrastat_default_invoice_transaction_code_id,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/res_config_settings.py,ResConfigSettings,res.config.settings,res_config_settings,intrastat_default_refund_transaction_code_id,Many2one,res.config.settings,intrastat_default_refund_transaction_code_id,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/res_config_settings.py,ResConfigSettings,res.config.settings,res_config_settings,intrastat_region_id,Many2one,res.config.settings,intrastat_region_id,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/models/res_config_settings.py,ResConfigSettings,res.config.settings,res_config_settings,has_country_regions,Boolean,res.config.settings,has_country_regions,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/wizard/account_journal_duplicate_transactions.py,AccountDuplicateTransactionWizard,account.duplicate.transaction.wizard,account_duplicate_transaction_wizard,date,Date,,date,MATCHED_COLUMN
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/wizard/account_journal_duplicate_transactions.py,AccountDuplicateTransactionWizard,account.duplicate.transaction.wizard,account_duplicate_transaction_wizard,journal_id,Many2one,,journal_id,MATCHED_COLUMN
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/wizard/account_journal_duplicate_transactions.py,AccountDuplicateTransactionWizard,account.duplicate.transaction.wizard,account_duplicate_transaction_wizard,transaction_ids,One2many,,transaction_ids,NON_STORED_OR_RELATION_TABLE_REVIEW
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/wizard/account_journal_duplicate_transactions.py,AccountDuplicateTransactionWizard,account.duplicate.transaction.wizard,account_duplicate_transaction_wizard,first_ids_in_group,Json,,first_ids_in_group,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/wizard/account_journal_duplicate_transactions.py,AccountDuplicateTransactionWizard,account.duplicate.transaction.wizard,account_duplicate_transaction_wizard,provider_duplicate_ids,One2many,,provider_duplicate_ids,NON_STORED_OR_RELATION_TABLE_REVIEW
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/wizard/account_bank_selection_wizard.py,AccountBankSelection,account.bank.selection,account_bank_selection,account_online_link_id,Many2one,,account_online_link_id,MATCHED_COLUMN
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/wizard/account_bank_selection_wizard.py,AccountBankSelection,account.bank.selection,account_bank_selection,account_online_account_ids,One2many,,account_online_account_ids,NON_STORED_OR_RELATION_TABLE_REVIEW
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/wizard/account_bank_selection_wizard.py,AccountBankSelection,account.bank.selection,account_bank_selection,institution_name,Char,,institution_name,NOT_FOUND_IN_DUMP
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/wizard/account_bank_selection_wizard.py,AccountBankSelection,account.bank.selection,account_bank_selection,selected_account,Many2one,,selected_account,MATCHED_COLUMN
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/wizard/account_bank_statement_line.py,AccountBankStatementLineTransient,account.bank.statement.line.transient,account_bank_statement_line_transient,sequence,Integer,,sequence,MATCHED_COLUMN
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/wizard/account_bank_statement_line.py,AccountBankStatementLineTransient,account.bank.statement.line.transient,account_bank_statement_line_transient,date,Date,,date,MATCHED_COLUMN
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/wizard/account_bank_statement_line.py,AccountBankStatementLineTransient,account.bank.statement.line.transient,account_bank_statement_line_transient,amount,Monetary,,amount,MATCHED_COLUMN
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/wizard/account_bank_statement_line.py,AccountBankStatementLineTransient,account.bank.statement.line.transient,account_bank_statement_line_transient,online_transaction_identifier,Char,,online_transaction_identifier,MATCHED_COLUMN
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/wizard/account_bank_statement_line.py,AccountBankStatementLineTransient,account.bank.statement.line.transient,account_bank_statement_line_transient,payment_ref,Char,,payment_ref,MATCHED_COLUMN
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/wizard/account_bank_statement_line.py,AccountBankStatementLineTransient,account.bank.statement.line.transient,account_bank_statement_line_transient,account_number,Char,,account_number,MATCHED_COLUMN
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/wizard/account_bank_statement_line.py,AccountBankStatementLineTransient,account.bank.statement.line.transient,account_bank_statement_line_transient,partner_name,Char,,partner_name,MATCHED_COLUMN
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/wizard/account_bank_statement_line.py,AccountBankStatementLineTransient,account.bank.statement.line.transient,account_bank_statement_line_transient,transaction_details,Json,,transaction_details,MATCHED_COLUMN
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/wizard/account_bank_statement_line.py,AccountBankStatementLineTransient,account.bank.statement.line.transient,account_bank_statement_line_transient,state,Selection,,state,MATCHED_COLUMN
