table,columns,reference_table,constraint,definition
Products,stock_move_line_id,stock_move_line,Products_stock_move_line_id_fkey,FOREIGN KEY (stock_move_line_id) REFERENCES public.stock_move_line(id) ON DELETE CASCADE
Products,stock_package_destination_id,stock_package_destination,Products_stock_package_destination_id_fkey,FOREIGN KEY (stock_package_destination_id) REFERENCES public.stock_package_destination(id) ON DELETE CASCADE
account_account,account_stock_expense_id,account_account,account_account_account_stock_expense_id_fkey,FOREIGN KEY (account_stock_expense_id) REFERENCES public.account_account(id) ON DELETE SET NULL
account_account,account_stock_variation_id,account_account,account_account_account_stock_variation_id_fkey,FOREIGN KEY (account_stock_variation_id) REFERENCES public.account_account(id) ON DELETE SET NULL
account_account,fiscal_category_id,account_fiscal_category,account_account_fiscal_category_id_fkey,FOREIGN KEY (fiscal_category_id) REFERENCES public.account_fiscal_category(id) ON DELETE SET NULL
account_account,currency_id,res_currency,account_account_currency_id_fkey,FOREIGN KEY (currency_id) REFERENCES public.res_currency(id) ON DELETE SET NULL
account_account,create_uid,res_users,account_account_create_uid_fkey,FOREIGN KEY (create_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_account,write_uid,res_users,account_account_write_uid_fkey,FOREIGN KEY (write_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_account_account_asset_rel,account_account_id,account_account,account_account_account_asset_rel_account_account_id_fkey,FOREIGN KEY (account_account_id) REFERENCES public.account_account(id) ON DELETE CASCADE
account_account_account_asset_rel,account_asset_id,account_asset,account_account_account_asset_rel_account_asset_id_fkey,FOREIGN KEY (account_asset_id) REFERENCES public.account_asset(id) ON DELETE CASCADE
account_account_account_auto_reconcile_wizard_rel,account_account_id,account_account,account_account_account_auto_reconcile__account_account_id_fkey,FOREIGN KEY (account_account_id) REFERENCES public.account_account(id) ON DELETE CASCADE
account_account_account_auto_reconcile_wizard_rel,account_auto_reconcile_wizard_id,account_auto_reconcile_wizard,account_account_account_auto__account_auto_reconcile_wizar_fkey,FOREIGN KEY (account_auto_reconcile_wizard_id) REFERENCES public.account_auto_reconcile_wizard(id) ON DELETE CASCADE
account_account_account_import_summary_rel,account_account_id,account_account,account_account_account_import_summary__account_account_id_fkey,FOREIGN KEY (account_account_id) REFERENCES public.account_account(id) ON DELETE CASCADE
account_account_account_import_summary_rel,account_import_summary_id,account_import_summary,account_account_account_import_s_account_import_summary_id_fkey,FOREIGN KEY (account_import_summary_id) REFERENCES public.account_import_summary(id) ON DELETE CASCADE
account_account_account_merge_wizard_rel,account_account_id,account_account,account_account_account_merge_wizard_re_account_account_id_fkey,FOREIGN KEY (account_account_id) REFERENCES public.account_account(id) ON DELETE CASCADE
account_account_account_merge_wizard_rel,account_merge_wizard_id,account_merge_wizard,account_account_account_merge_wiza_account_merge_wizard_id_fkey,FOREIGN KEY (account_merge_wizard_id) REFERENCES public.account_merge_wizard(id) ON DELETE CASCADE
account_account_account_tag,account_account_id,account_account,account_account_account_tag_account_account_id_fkey,FOREIGN KEY (account_account_id) REFERENCES public.account_account(id) ON DELETE CASCADE
account_account_account_tag,account_account_tag_id,account_account_tag,account_account_account_tag_account_account_tag_id_fkey,FOREIGN KEY (account_account_tag_id) REFERENCES public.account_account_tag(id) ON DELETE RESTRICT
account_account_create_withholding_tax_cert_rel,account_account_id,account_account,account_account_create_withholding_tax__account_account_id_fkey,FOREIGN KEY (account_account_id) REFERENCES public.account_account(id) ON DELETE CASCADE
account_account_create_withholding_tax_cert_rel,create_withholding_tax_cert_id,create_withholding_tax_cert,account_account_create_withho_create_withholding_tax_cert__fkey,FOREIGN KEY (create_withholding_tax_cert_id) REFERENCES public.create_withholding_tax_cert(id) ON DELETE CASCADE
account_account_exclude_res_currency_provision,account_account_id,account_account,account_account_exclude_res_currency_pr_account_account_id_fkey,FOREIGN KEY (account_account_id) REFERENCES public.account_account(id) ON DELETE CASCADE
account_account_exclude_res_currency_provision,res_currency_id,res_currency,account_account_exclude_res_currency_provi_res_currency_id_fkey,FOREIGN KEY (res_currency_id) REFERENCES public.res_currency(id) ON DELETE CASCADE
account_account_fiscal_rate,related_account_id,account_account,account_account_fiscal_rate_related_account_id_fkey,FOREIGN KEY (related_account_id) REFERENCES public.account_account(id) ON DELETE CASCADE
