evidence,module,path,row_count,type
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/security/ir.model.access.csv,2,access_csv
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/security/ir.model.access.csv,11,access_csv
01 ACCOUNT.zip,account_update_tax_tags,01 ACCOUNT/account_update_tax_tags/security/ir.model.access.csv,1,access_csv
01 ACCOUNT.zip,account_avatax,01 ACCOUNT/account_avatax/security/ir.model.access.csv,5,access_csv
01 ACCOUNT.zip,account_check_printing,01 ACCOUNT/account_check_printing/security/ir.model.access.csv,1,access_csv
01 ACCOUNT.zip,account_winbooks_import,01 ACCOUNT/account_winbooks_import/security/ir.model.access.csv,1,access_csv
01 ACCOUNT.zip,account_test,01 ACCOUNT/account_test/security/ir.model.access.csv,2,access_csv
01 ACCOUNT.zip,account_peppol,01 ACCOUNT/account_peppol/security/ir.model.access.csv,3,access_csv
01 ACCOUNT.zip,account_sepa_direct_debit,01 ACCOUNT/account_sepa_direct_debit/security/ir.model.access.csv,4,access_csv
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/security/ir.model.access.csv,37,access_csv
01 ACCOUNT.zip,account_saft_import,01 ACCOUNT/account_saft_import/security/ir.model.access.csv,1,access_csv
01 ACCOUNT.zip,account_fiscal_categories,01 ACCOUNT/account_fiscal_categories/security/ir.model.access.csv,4,access_csv
01 ACCOUNT.zip,accountant_knowledge,01 ACCOUNT/accountant_knowledge/security/ir.model.access.csv,1,access_csv
01 ACCOUNT.zip,account_transfer,01 ACCOUNT/account_transfer/security/ir.model.access.csv,6,access_csv
01 ACCOUNT.zip,account_fiscal_categories_fleet,01 ACCOUNT/account_fiscal_categories_fleet/security/ir.model.access.csv,3,access_csv
01 ACCOUNT.zip,account_base_import,01 ACCOUNT/account_base_import/security/ir.model.access.csv,1,access_csv
01 ACCOUNT.zip,account_edi_proxy_client,01 ACCOUNT/account_edi_proxy_client/security/ir.model.access.csv,2,access_csv
01 ACCOUNT.zip,account,01 ACCOUNT/account/security/ir.model.access.csv,145,access_csv
01 ACCOUNT.zip,account_loans,01 ACCOUNT/account_loans/security/ir.model.access.csv,6,access_csv
01 ACCOUNT.zip,account_followup,01 ACCOUNT/account_followup/security/ir.model.access.csv,7,access_csv
01 ACCOUNT.zip,account_payment,01 ACCOUNT/account_payment/security/ir.model.access.csv,3,access_csv
01 ACCOUNT.zip,account_accountant,01 ACCOUNT/account_accountant/security/ir.model.access.csv,8,access_csv
01 ACCOUNT.zip,account_asset,01 ACCOUNT/account_asset/security/ir.model.access.csv,6,access_csv
01 ACCOUNT.zip,account_peppol_response,01 ACCOUNT/account_peppol_response/security/ir.model.access.csv,3,access_csv
01 ACCOUNT.zip,account_batch_payment,01 ACCOUNT/account_batch_payment/security/ir.model.access.csv,5,access_csv
