evidence,module,path,records,views_hint,actions_hint,menus,security_hint
01 ACCOUNT.zip,account_fleet,01 ACCOUNT/account_fleet/data/fleet_service_type_data.xml,1,0,0,0,0
01 ACCOUNT.zip,account_fleet,01 ACCOUNT/account_fleet/views/account_move_views.xml,3,6,0,0,0
01 ACCOUNT.zip,account_fleet,01 ACCOUNT/account_fleet/views/fleet_vehicle_log_services_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_fleet,01 ACCOUNT/account_fleet/views/fleet_vehicle_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_qr_code_emv,01 ACCOUNT/account_qr_code_emv/views/res_bank_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/data/account_payment_method.xml,5,0,0,0,0
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/views/res_company_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/views/account_batch_payment_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/views/account_bank_statement_line_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/views/res_partner_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/views/account_journal_dashboard_view.xml,1,2,0,0,0
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/views/account_payment_views.xml,4,8,0,0,0
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/views/res_config_settings_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_iso20022,01 ACCOUNT/account_iso20022/views/account_journal_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/demo/product_demo.xml,25,0,0,0,0
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/data/intrastat_menus.xml,2,0,0,1,0
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/data/code_transaction_data.xml,28,0,0,0,0
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/data/code_transport_data.xml,8,0,0,0,0
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/data/intrastat_goods_report.xml,30,0,0,0,0
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/data/intrastat_services_report.xml,20,0,0,0,0
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/views/account_intrastat_code_view.xml,7,12,1,1,0
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/views/account_move_view.xml,6,12,0,0,0
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/views/account_return_view.xml,1,2,0,0,0
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/views/product_view.xml,6,12,0,0,0
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/views/res_config_settings_view.xml,1,2,0,0,0
01 ACCOUNT.zip,account_intrastat,01 ACCOUNT/account_intrastat/views/account_invoice_view.xml,2,4,0,0,0
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/security/account_online_sync_security.xml,2,0,0,0,2
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/wizard/account_bank_statement_line.xml,2,4,0,0,0
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/wizard/account_journal_duplicate_transactions.xml,1,2,0,0,0
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/wizard/account_bank_selection_wizard.xml,1,2,0,0,0
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/wizard/account_journal_missing_transactions.xml,1,2,0,0,0
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/data/mail_template.xml,1,0,0,0,0
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/data/config_parameter.xml,2,0,0,0,0
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/data/ir_cron.xml,4,0,0,0,0
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/data/mail_subtype_data.xml,1,0,0,0,0
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/views/account_journal_view.xml,1,2,0,0,0
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/views/account_online_sync_views.xml,4,6,1,1,0
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/views/account_bank_statement_view.xml,3,6,0,0,0
01 ACCOUNT.zip,account_online_synchronization,01 ACCOUNT/account_online_synchronization/views/account_journal_dashboard_view.xml,1,2,0,0,0
01 ACCOUNT.zip,account_update_tax_tags,01 ACCOUNT/account_update_tax_tags/wizard/account_update_tax_tags_wizard.xml,1,2,0,0,0
01 ACCOUNT.zip,account_update_tax_tags,01 ACCOUNT/account_update_tax_tags/views/res_config_settings_views.xml,2,2,1,0,0
01 ACCOUNT.zip,account_avatax,01 ACCOUNT/account_avatax/wizard/avatax_validate_address_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_avatax,01 ACCOUNT/account_avatax/wizard/avatax_connection_test_result_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_avatax,01 ACCOUNT/account_avatax/views/account_fiscal_position_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_avatax,01 ACCOUNT/account_avatax/views/account_move_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_avatax,01 ACCOUNT/account_avatax/views/res_partner_views.xml,1,2,0,0,0
